,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",English Heritage,Chief Executive's Office,1,A,39322,74100,Non generic roles (less than 3 in post),1.0,Other
1,"Department for Culture, Media and Sport",English Heritage,Chief Executive's Office,1,B,29313,54411,Non generic roles (less than 3 in post),2.0,Other
2,"Department for Culture, Media and Sport",English Heritage,Chief Executive's Office,1,C,25012,44945,Non generic roles (less than 3 in post),2.0,Other
3,"Department for Culture, Media and Sport",English Heritage,Chief Executive's Office,1,D,17681,34676,Senior Administrative/Clerical,1.0,Other
4,"Department for Culture, Media and Sport",English Heritage,Chief Executive's Office,1,E,14261,27765,Administrative/Clerical,1.0,Other
5,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,2,A,39322,74100,Non generic roles (less than 3 in post),1.0,Other
6,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,2,C,25012,44945,Non generic roles (less than 3 in post),1.9,Other
7,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,2,D,17681,34676,Senior Administrative/Clerical,1.0,Other
8,"Department for Culture, Media and Sport",English Heritage,National Advice and Information,3,Band 3,42200,75900,Non generic roles (less than 3 in post),1.0,Other
9,"Department for Culture, Media and Sport",English Heritage,National Advice and Information,3,D,17681,34676,Senior Administrative/Clerical,1.0,Other
10,"Department for Culture, Media and Sport",English Heritage,National Advice and Information,3,E,14261,27765,Administrative/Clerical,1.0,Other
11,"Department for Culture, Media and Sport",English Heritage,National Collections,4,A,39322,74100,Non generic roles (less than 3 in post),1.0,Other
12,"Department for Culture, Media and Sport",English Heritage,National Collections,4,B,29313,54411,Finance Manager,4.7,Other
13,"Department for Culture, Media and Sport",English Heritage,National Collections,4,C,25012,44945,Non generic roles (less than 3 in post),1.8,Other
14,"Department for Culture, Media and Sport",English Heritage,National Collections,4,D,17681,34676,Senior Administrative/Clerical,1.0,Other
15,"Department for Culture, Media and Sport",English Heritage,National Collections,4,E,14261,27765,Administrative/Clerical,1.0,Other
16,"Department for Culture, Media and Sport",English Heritage,Resources,5,A,39322,74100,Non generic roles (less than 3 in post),2.0,Other
17,"Department for Culture, Media and Sport",English Heritage,Resources,5,C,25012,44945,Non generic roles (less than 3 in post),1.0,Other
18,"Department for Culture, Media and Sport",English Heritage,Resources,5,D,17681,34676,Senior Administrative/Clerical,1.0,Other
19,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,A,39322,74100,Senior Manager - Designation,4.0,Other
20,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,B,29313,54411,Heritage Technical Expert,29.7,Other
21,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,B,29313,54411,Non generic roles (less than 3 in post),3.0,Other
22,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,C,25012,44945,Data Coordinator,4.0,Other
23,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,C,25012,44945,Data Standards Supervisor,3.0,Other
24,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,C,25012,44945,Heritage Technical Expert,13.8,Other
25,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,C,25012,44945,Non generic roles (less than 3 in post),2.0,Other
26,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,C,25012,44945,Senior Administrative/Clerical,1.0,Other
27,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,D,17681,34676,Senior Administrative/Clerical,26.4,Other
28,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,6,E,14261,27765,Administrative/Clerical,1.0,Other
29,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,7,A,39322,74100,Senior Manager/Specialist - Heritage Protection,15.8,Other
30,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,7,B,29313,54411,Heritage Technical Expert,59.6,Other
31,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,7,B,29313,54411,Non generic roles (less than 3 in post),1.0,Other
32,"Department for Culture, Media and Sport",English Heritage,Heritage Protection and Planning,7,C,25012,44945,Heritage Investigator,14.0,Other
