,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Economic & Social Research Council,Communications,1055773,RC-F,42769,54649,Team Head,1.0,Communications
1,Department for Business Innovation and Skills,Economic & Social Research Council,Communications,1055773,RC-E,35282,43164,Senior Communications Manager,4.0,Communications
2,Department for Business Innovation and Skills,Economic & Social Research Council,Communications,1055773,RC-D,27792,34002,Communications Manager,1.61,Communications
3,Department for Business Innovation and Skills,Economic & Social Research Council,Communications,1055773,RC-C,22504,26958,Support Manager,4.0,Communications
4,Department for Business Innovation and Skills,Economic & Social Research Council,Communications,1055773,RC-C,22504,26958,Intern,2.0,Communications
5,Department for Business Innovation and Skills,Economic & Social Research Council,Communications,1055773,RC-B,17493,20956,Administrator,2.81,Communications
6,Department for Business Innovation and Skills,Economic & Social Research Council,Evaluation Strategy & Analysis,1055773,RC-F,42769,54649,Team Head,1.0,Planning
7,Department for Business Innovation and Skills,Economic & Social Research Council,Evaluation Strategy & Analysis,1055773,RC-E,35282,43164,Senior Manager,1.61,Planning
8,Department for Business Innovation and Skills,Economic & Social Research Council,Evaluation Strategy & Analysis,1055773,RC-D,27792,34002,Manager,4.0,Planning
9,Department for Business Innovation and Skills,Economic & Social Research Council,Evaluation Strategy & Analysis,1055773,RC-C,22504,26958,Support Manager,4.65,Planning
10,Department for Business Innovation and Skills,Economic & Social Research Council,Evaluation Strategy & Analysis,1055773,RC-C,22504,26958,Intern,1.0,Planning
11,Department for Business Innovation and Skills,Economic & Social Research Council,Evaluation Strategy & Analysis,1055773,RC-B,17493,20956,Administrator,2.5,Planning
12,Department for Business Innovation and Skills,Economic & Social Research Council,Finance,1055773,RC-E,35282,43164,Senior Finance Manager,1.0,Finance
13,Department for Business Innovation and Skills,Economic & Social Research Council,Finance,1055773,RC-D,27792,34002,Finance Officer,2.0,Finance
14,Department for Business Innovation and Skills,Economic & Social Research Council,Finance,1055773,RC-C,22504,26958,Finance Support Officer,0.8,Finance
15,Department for Business Innovation and Skills,Economic & Social Research Council,Finance,1055773,RC-B,17493,20956,Administrator,1.0,Finance
16,Department for Business Innovation and Skills,Economic & Social Research Council,Human Resources,1055773,RC-E,35282,43164,Head of Department,1.0,Human Resources
17,Department for Business Innovation and Skills,Economic & Social Research Council,Human Resources,1055773,RC-D,27792,34002,HR Manager,1.0,Human Resources
18,Department for Business Innovation and Skills,Economic & Social Research Council,Human Resources,1055773,RC-C,22504,26958,HR Support Officer,1.0,Human Resources
19,Department for Business Innovation and Skills,Economic & Social Research Council,Information Services,1055773,RC-D,27792,34002,IT Manager,1.0,Information Technology
20,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-G,54565,69721,Deputy Director,1.0,Operational Delivery
21,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-F,42769,54649,Team Head,7.9,Operational Delivery
22,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-E,35282,43164,Senior Manager,18.41,Operational Delivery
23,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-D,27792,34002,Manager,20.42,Operational Delivery
24,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-C,22504,26958,Support Manager,8.55,Operational Delivery
25,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-C,22504,26958,Intern,2.0,Operational Delivery
26,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055857,RC-B,17493,20956,Administrator,4.96,Operational Delivery
27,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-G,54565,69721,Deputy Director,1.0,Operational Delivery
28,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-F,42769,54649,Team Head,4.0,Operational Delivery
29,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-E,35282,43164,Senior Manager,6.9,Operational Delivery
30,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-D,27792,34002,Manager,6.62,Operational Delivery
31,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-C,22504,26958,Support Manager,6.55,Operational Delivery
32,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-C,22504,26958,Intern,3.0,Operational Delivery
33,Department for Business Innovation and Skills,Economic & Social Research Council,Operational Delivery,1055773,RC-B,17493,20956,Administrator,2.42,Operational Delivery
