,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,61,Executive Officer London,25242,29060,Policy Support Officer,1.0,Economics
1,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,61,Higher Executive Officer London,29554,34424,Policy Support Officer,1.0,Economics
2,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,61,Fast Stream London,27270,33654,Policy Support Officer,5.0,Economics
3,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,61,Grade 7 London,47445,56597,Economist,8.0,Economics
4,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,61,Grade 6 London,57275,68322,Economist,1.0,Economics
5,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,88,Higher Executive Officer London,29554,34424,Policy Support Officer,2.0,Policy
6,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,88,Fast Stream London,27270,33654,Policy Support Officer,2.0,Policy
7,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,88,Senior Executive Officer London,35061,41851,Policy Adviser,1.0,Policy
8,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,88,Grade 7 London,47445,56597,Senior Policy Adviser,2.89,Policy
9,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,88,Grade 6 London,57275,68322,Senior Policy Adviser,1.0,Policy
10,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,83,Higher Executive Officer London,29554,34424,Policy Support Officer,7.0,Policy
11,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,83,Fast Stream London,27270,33654,Policy Support Officer,1.0,Policy
12,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,83,Grade 7 London,47445,56597,Senior Policy Adviser,5.0,Policy
13,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,83,Grade 6 London,57275,68322,Senior Policy Adviser,2.0,Policy
14,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,76,Higher Executive Officer London,29554,34424,Policy Support Officer,1.0,Policy
15,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,86,Administrative Officer London,21463,22646,Policy Support Officer,2.0,Policy
16,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,86,Executive Officer London,25242,29060,Policy Support Officer,2.0,Policy
17,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,86,Higher Executive Officer London,29554,34424,Policy Support Officer,9.61,Policy
18,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,86,Senior Executive Officer London,35061,41851,Policy Adviser,8.0,Policy
19,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,86,Grade 7 London,47445,56597,Senior Policy Adviser,9.0,Policy
20,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,86,Grade 6 London,57275,68322,Senior Policy Adviser,4.89,Policy
21,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Administrative Officer London,21463,22646,Policy Support Officer,2.0,Policy
22,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Executive Officer London,25242,29060,Policy Support Officer,2.0,Policy
23,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Higher Executive Officer London,29554,34424,Policy Support Officer,6.0,Policy
24,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Fast Stream London,27270,33654,Policy Support Officer,2.0,Policy
25,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Senior Executive Officer London,35061,41851,Policy Adviser,6.0,Policy
26,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Grade 7 London,47445,56597,Senior Policy Adviser,10.37,Policy
27,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,92,Grade 6 London,57275,68322,Senior Policy Adviser,3.49,Policy
28,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,89,Executive Officer London,25242,29060,Policy Support Officer,3.0,Policy
29,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,89,Higher Executive Officer London,29554,34424,Policy Support Officer,13.0,Policy
30,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,89,Fast Stream London,27270,33654,Policy Support Officer,1.0,Policy
31,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,89,Grade 7 London,47445,56597,Senior Policy Adviser,11.99,Policy
32,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,89,Grade 6 London,57275,68322,Senior Policy Adviser,4.8,Policy
33,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,76,Higher Executive Officer London,29554,34424,Policy Support Officer,1.0,Policy
34,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,119,Executive Officer London,25242,29060,Policy Support Officer,1.0,Policy
35,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,119,Higher Executive Officer London,29554,34424,Policy Support Officer,3.0,Policy
36,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,119,Fast Stream London,27270,33654,Policy Support Officer,1.0,Policy
37,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,119,Senior Executive Officer London,35061,41851,Policy Adviser,4.0,Policy
38,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,119,Grade 7 London,47445,56597,Senior Policy Adviser,2.81,Policy
39,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,119,Grade 6 London,57275,68322,Senior Policy Adviser,2.2,Policy
40,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,76,Higher Executive Officer London,29554,34424,Policy Support Officer,0.8,Policy
41,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,111,Executive Officer London,25242,29060,Policy Support Officer,4.0,Policy
42,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,111,Higher Executive Officer London,29554,34424,Policy Support Officer,2.0,Policy
43,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,111,Senior Executive Officer London,35061,41851,Policy Adviser,9.0,Policy
44,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,111,Grade 7 London,47445,56597,Senior Policy Adviser,11.35,Policy
45,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,111,Grade 6 London,57275,68322,Senior Policy Adviser,3.0,Policy
46,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,108,Executive Officer London,25242,29060,Policy Support Officer,2.0,Policy
47,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,108,Higher Executive Officer London,29554,34424,Policy Support Officer,1.0,Policy
48,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,108,Senior Executive Officer London,35061,41851,Policy Adviser,7.0,Policy
49,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,108,Grade 7 London,47445,56597,Senior Policy Adviser,7.0,Policy
50,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,108,Grade 6 London,57275,68322,Senior Policy Adviser,3.0,Policy
51,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,97,Administrative Officer London,21463,22646,Policy Support Officer,2.0,Policy
52,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,97,Executive Officer London,25242,29060,Policy Support Officer,3.0,Policy
53,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,97,Higher Executive Officer London,29554,34424,Policy Support Officer,8.0,Policy
54,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,97,Senior Executive Officer London,35061,41851,Policy Adviser,8.0,Policy
