,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,AA (L),18787,19785,Administrative Assistant,1.0,Policy
1,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,AO (L),21235,23045,Administrative Officer,1.58,Policy
2,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,AO (L),21235,23045,Personal Secretary,1.0,Policy
3,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,EO (L),25363,29063,Executive Officer,3.0,Policy
4,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,FS (L),27500,36000,Higher Executive Officer (D),1.0,Policy
5,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,G7 (L),48326,58007,Grade 7,3.69,Policy
6,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,HEO (L),30147,34930,Higher Executive Officer,4.5,Policy
7,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,SEO (L),35946,42968,Senior Executive Officer,3.0,Policy
8,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD20,SEO (L),35946,42968,Senior Scientific Officer,1.0,Science and Engineering
9,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,AO (L),21235,23045,Administrative Officer,0.5,Policy
10,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,EO (L),25363,29063,Executive Officer,1.0,Policy
11,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,EO (N),22698,25903,Executive Officer,1.0,Statisticians
12,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,FS (L),27500,36000,Assistant Economist,1.0,Economics
13,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,FS (L),27500,36000,Assistant Economist Provisional,1.0,Economics
14,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,G7 (L),48326,58007,Grade 7,2.6,Economics
15,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,G7 (N),43654,52333,Grade 7,1.0,Statisticians
16,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD21,HEO (N),27013,31233,Higher Executive Officer,0.8,Statisticians
17,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,AO (L),21235,23045,Administrative Officer,2.0,Policy
18,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,EO (L),25363,29063,Executive Officer,2.0,Policy
19,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,FS (L),27500,36000,Higher Executive Officer (D),1.0,Policy
20,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,G6 (L),58516,69680,Grade 6,2.0,Policy
21,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,G7 (L),48326,58007,Grade 7,5.2,Policy
22,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,G7 (L),48326,58007,Not in post,1.0,Policy
23,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,HEO (L),30147,34930,Higher Executive Officer,4.5,Policy
24,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,HEO (L),30147,34930,Higher Scientific Officer,1.0,Science and Engineering
25,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,HEO (N),27013,31233,Higher Executive Officer,1.58,Policy
26,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD22,SEO (L),35946,42968,Senior Executive Officer,4.9,Policy
27,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD77,G6 (L),58516,69680,Grade 6,1.0,Policy
28,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD77,G7 (L),48326,58007,Grade 7,2.64,Policy
29,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD77,HEO (L),30147,34930,Higher Executive Officer,2.0,Policy
30,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD77,SEO (L),35946,42968,Senior Executive Officer,1.0,Policy
31,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD82,AO (L),21235,23045,Administrative Officer,4.0,Policy
32,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD82,AO (L),21235,23045,Personal Secretary,1.0,Policy
33,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,DD82,EO (L),25363,29063,Executive Officer,6.44,Policy
