,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,4.0,17427,21138,Adminstrator,4.14,Operational Delivery
1,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5.0,19546,23725,Adminstrator,0.43,Operational Delivery
2,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7.0,26062,31633,Analyst,16.35,Operational Delivery
3,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,Analyst,8.26,Operational Delivery
4,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,4.0,17427,21138,Assistant Analyst,5.0,Operational Delivery
5,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,Assurance Advisor,4.81,Finance
6,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10.0,50936,61824,Assurance Consultant,6.0,Finance
7,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,Corporate Services Support Manager,2.0,Operational Delivery
8,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7.0,26062,31633,Executive Assistant,0.9,Operational Delivery
9,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7.0,26062,31633,Finance Officer,1.0,Finance
10,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,Finance Officer,1.0,Finance
11,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,4.0,17427,21138,Finance Support Officer,0.45,Operational Delivery
12,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5.0,19546,23725,Finance Support Officer,1.54,Operational Delivery
13,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,Finance Support Officer,2.4,Operational Delivery
14,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11.0,61598,70838,Head of Corporate Service Team,2.0,Finance
15,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10.0,50936,61824,Head of Corporate Service Team,0.92,Human Resources
16,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11.0,61598,70838,Head of Corporate Service Team,1.0,Information Technology
17,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11.0,61598,70838,Head of Corporate Service Team,1.0,Internal Audit
18,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10.0,50936,61824,Head of Corporate Service Team,3.0,Policy
19,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11.0,61598,70838,Head of Corporate Service Team,2.0,Policy
20,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,12.0,77959,85792,Head of Group,1.0,Finance
21,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,12.0,77959,85792,Head of Group,1.0,Policy
22,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11.0,61598,70838,Head of Policy,2.0,Policy
23,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,HR Manager,0.61,Human Resources
24,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,HR Manager,1.76,Human Resources
25,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5.0,19546,23725,HR Support Officer,0.5,Operational Delivery
26,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,HR Support Officer,2.0,Operational Delivery
27,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Internal Auditor,2.5,Finance
28,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,IT Manager,4.78,Information Technology
29,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5.0,19546,23725,IT support Officer,1.0,Information Technology
30,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,IT support Officer,1.0,Information Technology
31,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7.0,26062,31633,IT support Officer,2.5,Information Technology
32,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,IT support Officer,8.31,Information Technology
33,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5.0,19546,23725,IT support Officer,1.0,Operational Delivery
34,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,Knowledge Information Management Support,1.0,Knowledge and Information Management (KIM)
35,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,Knowledge Information Management Support,1.0,Knowledge and Information Management (KIM)
36,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7.0,26062,31633,Knowledge Information Management Support,1.0,Knowledge and Information Management (KIM)
37,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Knowledge Information Manager,1.0,Knowledge and Information Management (KIM)
38,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,2.0,13625,16537,Office Assistant/receptionist,3.38,Operational Delivery
39,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,3.0,15399,18691,Office Assistant/receptionist,1.0,Operational Delivery
40,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,4.0,17427,21138,Office Assistant/receptionist,1.0,Operational Delivery
41,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,Office Manager,1.0,Operational Delivery
42,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Other Senior Adviser,1.61,Finance
43,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10.0,50936,61824,Other Senior Adviser,0.61,Finance
44,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Other Senior Adviser,1.65,Operational Delivery
45,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Other Senior Adviser,1.0,Policy
46,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10.0,50936,61824,Other Senior Adviser,2.0,Policy
47,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6.0,22507,27318,Personal Assistant,2.54,Operational Delivery
48,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,Policy Adviser,2.86,Operational Delivery
49,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7.0,26062,31633,Policy Adviser,1.0,Policy
50,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8.0,31984,38821,Policy Adviser,2.21,Policy
51,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Senior Analyst,3.61,Operational Delivery
52,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Senior Assurance Advisor,2.61,Finance
53,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Senior Policy Adviser,1.5,Operational Delivery
54,Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9.0,41461,50324,Senior Policy Adviser,5.96,Policy
55,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,6.0,22507,27318,Adminstrator,1.0,Operational Delivery
56,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,12.0,77959,85792,Associate Director,3.0,Policy
57,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,9.0,41461,50324,Communications Officer,2.53,Communications
58,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,7.0,26062,31633,Comms Support Officer,2.81,Communications
59,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,6.0,22507,27318,Comms Support Officer,0.61,Communications
60,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,11.0,61598,70838,Head of Corporate Service Team,1.0,Communications
61,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,6.0,22507,27318,Personal Assistant,2.0,Operational Delivery
62,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,6.0,22507,27318,Policy Adviser,10.22,Operational Delivery
63,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,7.0,26062,31633,Policy Adviser,7.72,Operational Delivery
64,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,8.0,31984,38821,Policy Adviser,5.8,Operational Delivery
65,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,7.0,26062,31633,Policy Adviser,0.81,Operational Delivery
66,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,8.0,31984,38821,Policy Adviser,1.81,Operational Delivery
67,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,12.0,77959,85792,Regional/project consultant,0.93,Finance
68,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,11.0,61598,70838,Regional/project consultant,6.59,Operational Delivery
69,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,11.0,61598,70838,Regional/project consultant,0.61,Policy
70,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,9.0,41461,50324,Senior Policy Adviser,3.28,Operational Delivery
71,Department for Business Innovation and Skills,Higher Education Funding Council for England,HEFCE,90334,9.0,41461,50324,Senior Policy Adviser,0.46,Policy
72,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,4.0,17427,21138,Adminstrator,4.42,Operational Delivery
73,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,7.0,26062,31633,Executive Assistant,1.0,Operational Delivery
74,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,11.0,61598,70838,Head of Policy,2.61,Policy
75,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,6.0,22507,27318,Personal Assistant,2.0,Operational Delivery
76,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,6.0,22507,27318,Policy Adviser,1.0,Policy
77,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,7.0,26062,31633,Policy Adviser,7.42,Policy
78,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,8.0,31984,38821,Policy Adviser,7.58,Policy
79,Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,9.0,41461,50324,Senior Policy Adviser,5.15,Policy
80,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,3.0,15399,18691,Adminstrator,2.0,Operational Delivery
81,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,4.0,17427,21138,Adminstrator,5.0,Operational Delivery
82,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,6.0,22507,27318,Adminstrator,1.0,Operational Delivery
83,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,7.0,26062,31633,Adminstrator,1.0,Operational Delivery
84,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,7.0,26062,31633,Executive Assistant,0.81,Operational Delivery
85,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,11.0,61598,70838,Head of Policy,3.0,Policy
86,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,9.0,41461,50324,Other Senior Adviser,0.61,Operational Delivery
87,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,6.0,22507,27318,Personal Assistant,2.0,Operational Delivery
88,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,5.0,19546,23725,Policy Adviser,1.0,Operational Delivery
89,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,7.0,26062,31633,Policy Adviser,1.0,Operational Delivery
90,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,6.0,22507,27318,Policy Adviser,1.0,Policy
91,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,7.0,26062,31633,Policy Adviser,1.0,Policy
92,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,8.0,31984,38821,Policy Adviser,2.61,Policy
93,Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,9.0,41461,50324,Senior Policy Adviser,4.0,Policy
