,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,B,17493,20956,Administrator,1.8,Communications
1,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,B,17493,20956,Web Manager,1.0,Communications
2,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Information Officer,1.0,Communications
3,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Programme Manager,1.0,Communications
4,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,UKCDS,SO1,C,22504,26958,Senior Administrator,1.0,Communications
5,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Web Manager,1.0,Communications
6,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Media and Comms Officer,2.6,Communications
7,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Programme Manager,1.0,Communications
8,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Senior Communications Manager,1.0,Communications
9,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Senior Media Officer,4.6,Communications
10,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Senior Web Manager,1.0,Communications
11,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,UKCDS,SO1,F,42769,54649,Deputy Group Director,1.0,Communications
12,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Head of Branch/Unit,1.0,Communications
13,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,B,17493,20956,Administrator,2.0,Finance
14,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Finance Officer,1.0,Finance
15,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Graduate Trainee,2.0,Finance
16,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Senior Administrator,3.8,Finance
17,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Business Manager,2.0,Finance
18,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Senior Finance  Manager,2.0,Finance
19,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Functional Lead,2.0,Finance
20,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Senior Finance  Manager,1.7,Finance
21,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,F,42769,54649,Head of Branch/Unit,1.0,Finance
22,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,F,42769,54649,Programme Manager,1.0,Finance
23,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,F,42769,54649,Senior Finance  Manager,1.0,Finance
24,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Functional Lead,1.0,Finance
25,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Group Deputy Director,1.0,Finance
26,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,B,17493,20956,Administrator,9.7,Human Resources
27,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Graduate Trainee,1.0,Human Resources
28,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,HR Officer,4.1,Human Resources
29,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Senior Administrator,5.8,Human Resources
30,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,HR Officer,1.0,Human Resources
31,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Manager,4.4,Human Resources
32,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Functional Lead,2.0,Human Resources
33,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Senior HR Manager,3.3,Human Resources
34,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,F,42769,54649,Head of Branch/Unit,1.0,Human Resources
35,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Associate Director,2.0,Human Resources
36,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Graduate Trainee,2.0,Information Technology
37,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Technical/Systems Support Administrator,2.0,Information Technology
38,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Technical/Systems Service/Security Manager,2.0,Information Technology
39,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,F,42769,54649,Head of Branch/Unit,1.0,Information Technology
40,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Business Analyst,2.8,Internal Audit
41,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Senior Auditor,2.0,Internal Audit
42,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Business Manager,1.0,Internal Audit
43,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Senior Auditor,6.0,Internal Audit
44,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Associate Director,2.0,Internal Audit
45,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Information Officer,2.0,Knowledge and Information Management (KIM)
46,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,E,35282,43164,Senior Information Manager,1.0,Knowledge and Information Management (KIM)
47,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,F,42769,54649,Senior Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
48,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,B,17493,20956,Administrator,8.6,Operational Delivery
49,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Programme Manager,2.6,Operational Delivery
50,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Review Officer,6.0,Operational Delivery
51,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Review Support Officer,6.0,Operational Delivery
52,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Senior Administrator,1.0,Operational Delivery
53,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,C,22504,26958,Senior Administrator,3.0,Operational Delivery
54,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Finance Officer,1.0,Operational Delivery
55,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Programme Manager,7.4,Operational Delivery
56,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,D,27792,34002,Review Officer,9.1,Operational Delivery
