,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Head Of Settlements,0,0,Senior Operational Manager,1.0,Operational Delivery
1,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Head Of Risk Management,0,0,Senior Operational Manager,1.0,Operational Delivery
2,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Head of Service Management,0,0,Senior IT Manager,1.0,Information Technology
3,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Head of IS Strategy and Policy,0,0,Senior IT Manager,1.0,Information Technology
4,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Head Of Internal Audit,0,0,Senior Internal Auditor,1.0,Internal Audit
5,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,HR Manager,0,0,Senior HR Manager,1.0,Human Resources
6,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Senior Accountant - Funds,0,0,Senior Finance  Manager,1.0,Finance
7,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Head of Finance Team,0,0,Senior Finance  Manager,1.0,Finance
8,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Chief Accountant,0,0,Senior Finance  Manager,1.0,Finance
9,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Senior Market Risk Analyst,0,0,Senior Analyst,1.0,Operational Delivery
10,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Operational Risk and Compliance Manager,0,0,Senior Analyst,1.0,Operational Delivery
11,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Credit Risk Manager,0,0,Senior Analyst,1.0,Operational Delivery
12,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Project Manager,0,0,Project Manager,1.0,Information Technology
13,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Project Manager,0,0,Project Manager,1.0,Information Technology
14,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Project Manager,0,0,Project Manager,1.0,Information Technology
15,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Project Manager,0,0,Not In Post,1.0,Information Technology
16,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Private Secretary to Chief Executive,0,0,Private Secretary,1.0,Operational Delivery
17,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Deputy Head of Settlements,0,0,Operational Manager,1.0,Operational Delivery
18,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Facilities Manager,0,0,Office Manager,1.0,Operational Delivery
19,Her Majesty's Treasury,UK DMO,Operations & Resources,COO1,Assistant Facilities Manager,0,0,Office Manager,1.0,Operational Delivery
