,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,ECITB,Executive,6038,Grade 1,14136,29000,Secretary,2.0,Knowledge and Information Management (KIM)
2,Department for Business Innovation and Skills,ECITB,Commercial,6097,Grade 3,35535,51160,Business Development Manager,1.0,Operational Delivery
3,Department for Business Innovation and Skills,ECITB,Commercial,6097,Grade 3,35535,51160,Senior International Business Dev ,1.0,Operational Delivery
4,Department for Business Innovation and Skills,ECITB,Commercial,6097,Grade 3,35535,51160,Manager,3.0,Operational Delivery
5,Department for Business Innovation and Skills,ECITB,Commercial,6097,Grade 2,25000,40928,Manager,1.0,Operational Delivery
6,Department for Business Innovation and Skills,ECITB,Commercial,6097,Grade 2,25000,40928,International Business Dev,2.0,Operational Delivery
7,Department for Business Innovation and Skills,ECITB,Operations,6119,Grade 3,35535,51160,Regional Account Manager,9.0,Operational Delivery
8,Department for Business Innovation and Skills,ECITB,Operations,6119,Grade 3,35535,51160,Manager,1.0,Operational Delivery
9,Department for Business Innovation and Skills,ECITB,Operations,6119,Grade 2,25000,40928,Account Manager,13.0,Operational Delivery
10,Department for Business Innovation and Skills,ECITB,Operations,6119,Grade 1,14136,29000,Administrator,8.5,Operational Delivery
12,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 3,35535,51160,IT Manager,1.0,Information Technology
13,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 3,35535,51160,Senior Finance  Manager,1.0,Finance
14,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 2,25000,40928,Accountant,1.0,Finance
15,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 2,25000,40928,IT Support Officer,1.0,Information Technology
16,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 3,35535,51160,Manager,2.0,Other
17,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 1,14136,29000,Finance Administrator,4.0,Finance
18,Department for Business Innovation and Skills,ECITB,Finance & Legal,6109,Grade 1,14136,29000,Administrator,10.0,Operational Delivery
20,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 3,35535,51160,Head,5.0,Other
21,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 2,25000,40928,Senior Industry Analyst,1.0,Operational Research
22,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 2,25000,40928,Project Manager,7.2,Operational Research
23,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 2,25000,40928,Internal Auditor,3.0,Internal Audit
24,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 2,25000,40928,Marketing & Comms Officer,2.0,Communications
25,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 1,14136,29000,Marketing & Comms Administrator,2.0,Communications
26,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 1,14136,29000,Industry Analyst,1.0,Operational Research
27,Department for Business Innovation and Skills,ECITB,Development & Quality,6051,Grade 1,14136,29000,Administrator,3.0,Other
