,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,OFF,18643,23500,Assessment Coordinator,1.0,Operational Delivery
1,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,AM,19440,23808,Assistant Manager,14.61,Operational Delivery
2,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,APM,25560,30688,Assistant Policy Manager,3.0,Policy
3,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,SM2,40178,49647,Board Secretary,1.0,Operational Delivery
4,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,OFF,18643,23500,Committee Membership & Training Manager ,1.0,Operational Delivery
5,"Department for Environment, Food and Rural Affairs",CCWATER,Public Relations,EXEC3,OFF,18643,23500,Communications Support Officer,2.0,Communications
6,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,OFF,18643,23500,Complaints & Performance Deputy Manager ,1.0,Operational Delivery
7,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,CA,14770,18300,Complaints Administrator,7.42,Operational Delivery
8,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,SPC,28883,36408,Complaints & Performance Manager ,1.0,Operational Delivery
9,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,CRM,26231,34375,Consumer Relations Manager ,5.0,Operational Delivery
10,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,SPC,28883,36408,Consumer Services Policy Manager,1.0,Operational Delivery
11,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,SM2,40178,49647,Finance Manager,1.0,Operational Delivery
12,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,OFF,18643,23500,Finance Support Officer,2.0,Operational Delivery
13,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,OFF,18643,23500,HR Officer,0.5,Operational Delivery
14,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,SM2,40178,49647,HR Manager,1.0,Operational Delivery
15,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,SM2,40178,49647,IT Manager,1.0,Operational Delivery
16,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,SEC,17828,18374,Secretary,1.0,Operational Delivery
17,"Department for Environment, Food and Rural Affairs",CCWATER,Consumer Relations,EXEC3,PA,19017,30450,Personal Assistant,1.0,Operational Delivery
18,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,PA,19017,30450,Personal Assistant,1.0,Policy
19,"Department for Environment, Food and Rural Affairs",CCWATER,Governance,EXEC1,PA,19017,30450,Personal Assistant,1.79,Operational Delivery
20,"Department for Environment, Food and Rural Affairs",CCWATER,Public Relations,EXEC3,SM1,34827,43027,PR Manager,1.0,Communications
21,"Department for Environment, Food and Rural Affairs",CCWATER,Corporate Services,EXEC2,SM2,40178,49647,Procurements Manager,1.0,Operational Delivery
22,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,ANL,24658,30420,Research Project Manager,1.0,Policy
23,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,SM1,34827,43027,Senior Policy Manager,4.0,Policy
24,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,PM,31508,40625,Temporary Policy Manager,1.0,Policy
25,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,PM,31508,40625,Policy Manager,9.73,Policy
26,"Department for Environment, Food and Rural Affairs",CCWATER,Policy and Research,EXEC4,OFF,18643,23500,Policy & Committee Support Officer,1.0,Policy
