,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,MST,16274,42036,Executive Assistant,1.0,Operational Delivery
1,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,MST,16274,42036,Policy Support Officer,1.0,Planning
2,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,SMSS,30300,62000,Senior Policy Adviser,1.0,Planning
3,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,SMSS,30300,62000,Policy Adviser,1.78,Programme and Project Management (PPM)
4,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,MST,16274,42036,Office Manager,1.0,Operational Delivery
5,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,ADMA,13191,26273,Operations Support Officer,1.0,Operational Delivery
6,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,ADMA,13191,26273,Communications Support Officer,2.0,Communications
7,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,MST,16274,42036,Communications Manager,2.0,Communications
8,"Department for Culture, Media and Sport",Royal Museums Greenwich,Directorate,1,SMSS,30300,62000,Senior Communications Manager,1.0,Communications
9,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,SMSS,30300,62000,Senior Operational Manager,4.0,Operational Delivery
10,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operations Support Officer,0.39,Other
11,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,SMSS,30300,62000,Senior Operational Researcher,7.78,Operational Research
12,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,ADMA,13191,26273,Programme Support Officer,0.59,Operational Research
13,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Programme Support Officer,1.59,Operational Research
14,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operational Researcher,12.0,Operational Research
15,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,ADMA,13191,26273,Operations Support Officer,5.78,Knowledge and Information Management (KIM)
16,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Knowledge Information Management Manager,3.0,Knowledge and Information Management (KIM)
17,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Knowledge Information Management Support Officer,6.59,Knowledge and Information Management (KIM)
18,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,ADMA,13191,26273,Executive Assistant,1.0,Operational Delivery
19,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operations Support Officer,19.0,Operational Research
20,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operational Manager,1.0,Operational Research
21,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,SMSS,30300,62000,Senior Operational Researcher,2.0,Operational Research
22,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,SMSS,30300,62000,Senior Operational Researcher,4.0,Operational Research
23,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operations Support Officer,9.59,Operational Delivery
24,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operational Researcher,7.78,Operational Research
25,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,MST,16274,42036,Operational Manager,5.59,Operational Delivery
26,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,SMSS,30300,62000,Senior Information Manager,1.0,Operational Delivery
27,"Department for Culture, Media and Sport",Royal Museums Greenwich,Collections and Curatorial,2,SMSS,30300,62000,Senior Operational Manager,2.0,Operational Delivery
28,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,SMSS,30300,62000,Senior Operational Manager,2.0,Operational Delivery
29,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,SMSS,30300,62000,Senior Project Manager,0.59,Programme and Project Management (PPM)
30,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,SMSS,30300,62000,Senior Operational Manager,2.0,Programme and Project Management (PPM)
31,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,ADMA,13191,26273,Finance Support Officer,1.0,Programme and Project Management (PPM)
32,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,ADMA,13191,26273,Programme Officer Manager,2.0,Programme and Project Management (PPM)
33,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,MST,16274,42036,Operational Researcher,4.0,Operational Research
34,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,MST,16274,42036,Programme Support Officer,8.78,Operational Delivery
35,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,SMSS,30300,62000,Programme Manager,2.0,Operational Delivery
36,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,MST,16274,42036,Operations Support Officer,17.0,Operational Delivery
37,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,MST,16274,42036,Programme Manager,4.0,Programme and Project Management (PPM)
38,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,SMSS,30300,62000,Programme Manager,3.0,Programme and Project Management (PPM)
39,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,ADMA,13191,26273,Programme Support Officer,1.0,Operational Delivery
40,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,MST,16274,42036,Programme Manager,1.0,Operational Delivery
41,"Department for Culture, Media and Sport",Royal Museums Greenwich,Programming and Exhibitions,8,MST,16274,42036,Programme Support Officer,5.39,Programme and Project Management (PPM)
42,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,SMSS,30300,62000,Senior IT Manager,1.0,Information Technology
43,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,ADMA,13191,26273,Executive Assistant,1.0,Finance
44,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,SMSS,30300,62000,Senior Finance  Manager,2.0,Finance
45,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,MST,16274,42036,Finance Officer,2.0,Finance
46,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,ADMA,13191,26273,Finance Support Officer,2.0,Finance
47,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,ADMA,13191,26273,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
48,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,MST,16274,42036,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
49,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,MST,16274,42036,Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
50,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,MST,16274,42036,IT Support Officer,3.78,Information Technology
51,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,MST,16274,42036,IT Manager,1.0,Information Technology
52,"Department for Culture, Media and Sport",Royal Museums Greenwich,Finance,6,SMSS,30300,62000,Project Manager,0.59,Information Technology
53,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,SMSS,30300,62000,Senior Operational Manager,2.0,Property and asset management
54,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,SMSS,30300,62000,Senior HR Manager,1.0,Human Resources
55,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,SMSS,30300,62000,Senior Tax Officer,0.63,Human Resources
56,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,ADMA,13191,26273,HR Support Officer,3.59,Human Resources
57,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,MST,16274,42036,HR Officer,4.78,Human Resources
58,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,MST,16274,42036,Operational Manager,6.0,Property and asset management
59,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,ADMA,13191,26273,Operations Support Officer,31.4,Property and asset management
60,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,ADMA,13191,26273,Operations Support Officer,29.8,Property and asset management
61,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,MST,16274,42036,Operational Manager,4.0,Property and asset management
62,"Department for Culture, Media and Sport",Royal Museums Greenwich,Operations and Human Resources,3,SMSS,30300,62000,Senior Operational Manager,1.0,Property and asset management
63,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,SMSS,30300,62000,Senior Operational Manager,2.0,Operational Delivery
64,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,SMSS,30300,62000,Senior Operational Manager,1.0,Other
65,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operational Researcher,2.0,Operational Research
66,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,ADMA,13191,26273,Operations Support Officer,31.28,Operational Delivery
67,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operations Support Officer,2.59,Operational Delivery
68,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operational Manager,7.93,Operational Delivery
69,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,SMSS,30300,62000,Senior Operational Researcher,1.0,Operational Research
70,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operational Researcher,1.0,Operational Research
71,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,ADMA,13191,26273,Operations Support Officer,1.0,Operational Research
72,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,ADMA,13191,26273,Operations Support Officer,22.73,Operational Delivery
73,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operational Manager,0.61,Operational Research
74,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operational Researcher,3.0,Operational Research
75,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,ADMA,13191,26273,Operations Support Officer,0.78,Operational Research
76,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,ADMA,13191,26273,Operations Support Officer,5.0,Other
77,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Operations Support Officer,3.73,Other
78,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Communications Support Officer,3.0,Communications
79,"Department for Culture, Media and Sport",Royal Museums Greenwich,Commercial,9,MST,16274,42036,Communications Manager,1.0,Communications
