,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band A,42034,67969,Inspection Team Leader,6.0,Operational Delivery
1,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band A,42034,67969,Head of Healthcare Inspection,1.0,Operational Delivery
2,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band A,42034,67969,"Head of Research, Develoment and Thematics",1.0,Operational Research
3,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band A,42034,67969,"Head of Finance, HR and Inspection Support",1.0,Human Resources
4,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band A,42034,67969,Press & Media Relations Manager,1.0,Communications
5,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band A,42034,67969,Inspector,32.0,Operational Delivery
6,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band B,29634,44964,Senior Analyst,2.0,Operational Research
7,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band B,29634,44964,Senior Policy Officer,1.0,Policy
8,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band B,29634,44964,Publications Manager,1.0,Communications
9,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band C,21096,36061,Inspection Support Manager,1.0,Operational Delivery
10,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band C,21096,36061,Analyst,10.0,Operational Research
11,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band C,21096,36061,Publications/Editiorial Staff,4.0,Operational Delivery
12,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band D,17513,28000,Senior Personal Secretary,1.0,Operational Delivery
13,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band E,15935,22250,Personal Secretary,1.0,Operational Delivery
14,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band E,15935,22250,Publications Assistant,1.0,Operational Delivery
15,Ministry of Justice,HM Inspectorate of Prisons,HM Inspectorate of Prisons,89,Band E,15935,22250,Programme Support Officer,6.0,Operational Delivery
