,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 4 ,25000,35000,Operations - Officer - Band 4,0.8,Operational Delivery
1,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 5 ,20000,30000,Operations - Officer - Band 5,0.92,Operational Delivery
2,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 3 ,35000,45000,Operations - Senior Manager - Band 3,1.4,Operational Delivery
3,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 1 ,70000,90000,Scientist - Band 1,2.0,Science and Engineering
4,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 2 ,45000,70000,Scientist - Band 2,4.21,Science and Engineering
5,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 3 ,35000,45000,Scientist - Band 3,15.6,Science and Engineering
6,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 4 ,25000,35000,Scientist - Band 4,13.2,Science and Engineering
7,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),1038777, BAND 5 ,20000,30000,Scientist - Band 5,1.0,Science and Engineering
8,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 6 ,15000,20000,Operations - Assistant - Band 6,2.92,Operational Delivery
9,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 7 ,10000,15000,Operations - Assistant - Band 7,1.0,Operational Delivery
10,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 4 ,25000,35000,Operations - Officer - Band 4,1.0,Operational Delivery
11,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 5 ,20000,30000,Operations - Officer - Band 5,2.81,Operational Delivery
12,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 3 ,35000,45000,Operations - Senior Manager - Band 3,1.0,Operational Delivery
13,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 1 ,70000,90000,Scientist - Band 1,3.0,Science and Engineering
14,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 2 ,45000,70000,Scientist - Band 2,8.0,Science and Engineering
15,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 3 ,35000,45000,Scientist - Band 3,13.0,Science and Engineering
16,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 4 ,25000,35000,Scientist - Band 4,40.59,Science and Engineering
17,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 5 ,20000,30000,Scientist - Band 5,19.92,Science and Engineering
18,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 6 ,15000,20000,Scientist - Band 6,0.56,Science and Engineering
19,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791, BAND 7 ,10000,15000,Scientist - Band 7,1.0,Science and Engineering
20,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),1038791,HOURLY PAID,0,0,Scientist - Hourly Paid,1.0,Science and Engineering
21,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, NHS ENGL* ,0,0,Clinical Scientist - band NHS,2.0,Science and Engineering
22,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 6 ,15000,20000,Operations - Assistant - Band 6,2.63,Operational Delivery
23,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 5 ,20000,30000,Operations - Officer - Band 5,2.0,Operational Delivery
24,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 3 ,35000,45000,Operations - Senior Manager - Band 3,2.0,Operational Delivery
25,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 2 ,45000,70000,Scientist - Band 2,1.0,Science and Engineering
26,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 3 ,35000,45000,Scientist - Band 3,11.2,Science and Engineering
27,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 4 ,25000,35000,Scientist - Band 4,16.78,Science and Engineering
28,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 5 ,20000,30000,Scientist - Band 5,5.74,Science and Engineering
29,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 6 ,15000,20000,Scientist - Band 6,2.0,Science and Engineering
30,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),1038875, BAND 7 ,10000,15000,Scientist - Band 7,4.52,Science and Engineering
31,Department for Business Innovation and Skills,Medical Research Council ,MRC Centre for Macaques (CFM),1040240, BAND 5 ,20000,30000,Operations - Officer - Band 5,2.0,Operational Delivery
32,Department for Business Innovation and Skills,Medical Research Council ,MRC Centre for Macaques (CFM),1040240, BAND 2 ,45000,70000,Operations - Senior Manager - Band 2,1.0,Operational Delivery
33,Department for Business Innovation and Skills,Medical Research Council ,MRC Centre for Macaques (CFM),1040240, BAND 6 ,15000,20000,Scientist - Band 6,6.0,Science and Engineering
34,Department for Business Innovation and Skills,Medical Research Council ,Cambridge Regional Centre,1038881, BAND 6 ,15000,20000,Operations - Assistant - Band 6,1.0,Operational Delivery
35,Department for Business Innovation and Skills,Medical Research Council ,Cambridge Regional Centre,1038881, BAND 4 ,25000,35000,Operations - Officer - Band 4,1.67,Operational Delivery
36,Department for Business Innovation and Skills,Medical Research Council ,Cambridge Regional Centre,1038881, BAND 5 ,20000,30000,Operations - Officer - Band 5,2.0,Operational Delivery
37,Department for Business Innovation and Skills,Medical Research Council ,Cambridge Regional Centre,1038881, BAND 3 ,35000,45000,Operations - Senior Manager - Band 3,4.83,Operational Delivery
38,Department for Business Innovation and Skills,Medical Research Council ,Cambridge Regional Centre,1038881, BAND 5 ,20000,30000,Scientist - Band 5,1.0,Science and Engineering
39,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Sciences Centre (CSC),1038961, NHS ENGL* ,0,0,Clinical Scientist - band NHS,3.0,Science and Engineering
40,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Sciences Centre (CSC),1038961, BAND 6 ,15000,20000,Operations - Assistant - Band 6,2.69,Operational Delivery
41,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Sciences Centre (CSC),1038961, BAND 4 ,25000,35000,Operations - Officer - Band 4,4.0,Operational Delivery
42,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Sciences Centre (CSC),1038961, BAND 5 ,20000,30000,Operations - Officer - Band 5,1.83,Operational Delivery
43,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Sciences Centre (CSC),1038961, BAND 3 ,35000,45000,Operations - Senior Manager - Band 3,3.0,Operational Delivery
