,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Health,Monitor,Executive office,2,4.0,19000,37550,Business support staff,2.0,Operational Delivery
1,Department of Health,Monitor,Provider Regulation Directorate,3,4.0,19000,37550,Business support staff,5.6,Operational Delivery
2,Department of Health,Monitor,Sector Development Directorate,4,4.0,19000,37550,Business support staff,1.0,Operational Delivery
3,Department of Health,Monitor,Legal Services Directorate,5,4.0,19000,37550,Business support staff,2.0,Law
4,Department of Health,Monitor,Strategic Communications ,6,2.0,68000,116725,Senior managers & lead functional specialist,3.0,Communications
5,Department of Health,Monitor,Strategic Communications ,6,3.0,35000,74095,Managers & functional specialists,11.9,Communications
6,Department of Health,Monitor,Strategic Communications ,6,4.0,19000,37550,Business support staff,8.0,Communications
7,Department of Health,Monitor,Assessment Directorate,8,2.0,68000,116725,Senior managers & lead functional specialist,5.0,Operational Delivery
8,Department of Health,Monitor,Assessment Directorate,8,3.0,35000,74095,Managers & functional specialists,9.0,Operational Delivery
9,Department of Health,Monitor,Assessment Directorate,8,4.0,19000,37550,Business support staff,3.0,Operational Delivery
10,Department of Health,Monitor,Co-operation and Competition,11,2.0,68000,116725,Senior managers & lead functional specialist,2.0,Operational Delivery
11,Department of Health,Monitor,Co-operation and Competition,11,3.0,35000,74095,Managers & functional specialists,11.46,Operational Delivery
12,Department of Health,Monitor,Co-operation and Competition,11,4.0,19000,37550,Business support staff,4.0,Operational Delivery
13,Department of Health,Monitor,Patient & Clinical Engagement,13,4.0,19000,37550,Business support staff,1.0,Operational Delivery
14,Department of Health,Monitor,Organisation Transformation,14,2.0,68000,116725,Senior managers & lead functional specialist,1.0,Operational Delivery
15,Department of Health,Monitor,Organisation Transformation,14,3.0,35000,74095,Managers & functional specialists,1.0,Operational Delivery
16,Department of Health,Monitor,Organisation Transformation,14,4.0,19000,37550,Business support staff,2.0,Operational Delivery
17,Department of Health,Monitor,Sector Development Directorate,15,2.0,68000,116725,Senior managers & lead functional specialist,1.0,Policy
18,Department of Health,Monitor,Sector Development Directorate,15,4.0,19000,37550,Business support staff,3.0,Operational Delivery
19,Department of Health,Monitor,Build Programme,17,3.0,35000,74095,Managers & functional specialists,1.0,Property and asset management
20,Department of Health,Monitor,Build Programme,17,4.0,19000,37550,Business support staff,1.0,Operational Delivery
21,Department of Health,Monitor,Build Programme,17,2.0,68000,116725,Senior managers & lead functional specialist,1.0,Planning
22,Department of Health,Monitor,Build Programme,17,3.0,35000,74095,Managers & functional specialists,3.63,Planning
23,Department of Health,Monitor,Build Programme,17,2.0,68000,116725,Senior managers & lead functional specialist,2.0,Policy
24,Department of Health,Monitor,Build Programme,17,3.0,35000,74095,Managers & functional specialists,1.0,Policy
25,Department of Health,Monitor,Build Programme,17,3.0,35000,74095,Managers & functional specialists,1.0,Programme and Project Management (PPM)
26,Department of Health,Monitor,Sector Development Directorate,18,2.0,68000,116725,Senior managers & lead functional specialist,3.0,Policy
27,Department of Health,Monitor,Sector Development Directorate,18,3.0,35000,74095,Managers & functional specialists,3.2,Policy
28,Department of Health,Monitor,Sector Development Directorate,18,3.0,35000,74095,Business support staff,1.0,Planning
29,Department of Health,Monitor,Sector Development Directorate,18,4.0,19000,37550,Business support staff,3.0,Operational Delivery
30,Department of Health,Monitor,Provider Regulation Directorate,19,4.0,19000,37550,Business support staff,1.0,Operational Delivery
31,Department of Health,Monitor,Provider Regulation Directorate,19,2.0,68000,116725,Senior managers & lead functional specialist,1.0,Operational Delivery
32,Department of Health,Monitor,Executive office,21,4.0,19000,37550,Business support staff,1.0,Operational Delivery
33,Department of Health,Monitor,Assessment Directorate,22,2.0,68000,116725,Senior managers & lead functional specialist,3.0,Operational Delivery
34,Department of Health,Monitor,Assessment Directorate,22,3.0,35000,74095,Managers & functional specialists,12.0,Operational Delivery
35,Department of Health,Monitor,Assessment Directorate,23,2.0,68000,116725,Senior managers & lead functional specialist,3.0,Operational Delivery
36,Department of Health,Monitor,Assessment Directorate,23,3.0,35000,74095,Managers & functional specialists,13.0,Operational Delivery
37,Department of Health,Monitor,Assessment Directorate,24,2.0,68000,116725,Senior managers & lead functional specialist,3.0,Operational Delivery
38,Department of Health,Monitor,Assessment Directorate,24,3.0,35000,74095,Managers & functional specialists,10.6,Operational Delivery
39,Department of Health,Monitor,Provider Regulation Directorate,25,2.0,68000,116725,Senior managers & lead functional specialist,6.7,Operational Delivery
