,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band B,17493,20956,Administrator - Band B,2.0,Operational Delivery
1,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band C,22504,26958,Graduate Trainee,1.0,Science and Engineering
2,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band C,22504,26958,Personal Assistant - Band C,3.0,Operational Delivery
3,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band C,22504,26958,Technician - Band C,1.0,Science and Engineering
4,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band D,27792,34002,Executive Assistant - Band D,1.0,Operational Delivery
5,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band D,27792,34002,Physicist - Band D,12.0,Science and Engineering
6,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band D,27792,34002,Scientist/Engineer - Band D,4.87,Science and Engineering
7,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band D,27792,34002,Technician - Band D,2.0,Science and Engineering
8,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band E,35282,43164,Physicist - Band E,8.0,Science and Engineering
9,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band E,35282,43164,Scientist/Engineer - Band E,13.0,Science and Engineering
10,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band F,42769,54649,Group Leader/Division Head - Science and Engineering - Band F,2.0,Science and Engineering
11,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band F,42769,54649,Physicist - Band F,3.0,Science and Engineering
12,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band F,42769,54649,Scientist/Engineer - Band F,1.0,Science and Engineering
13,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band G,54565,69721,Group Leader/Division Head - Science and Engineering - Band G,2.0,Science and Engineering
14,Department for Business Innovation and Skills,Science and Technology Facilities Council,Accelerator Science and Technology Centre,1043989,Band G,54565,69721,Senior Research Associate/Fellow - Band G,1.0,Science and Engineering
15,Department for Business Innovation and Skills,Science and Technology Facilities Council,Business and Innovation,6000802,Band B,17493,20956,Administrator - Band B,1.59,Operational Delivery
16,Department for Business Innovation and Skills,Science and Technology Facilities Council,Business and Innovation,6000802,Band B,17493,20956,Graduate Intern,6.0,Science and Engineering
17,Department for Business Innovation and Skills,Science and Technology Facilities Council,Business and Innovation,6000802,Band C,22504,26958,Administrator - Band C,3.0,Operational Delivery
18,Department for Business Innovation and Skills,Science and Technology Facilities Council,Business and Innovation,6000802,Band C,22504,26958,Graduate Trainee,1.0,Science and Engineering
19,Department for Business Innovation and Skills,Science and Technology Facilities Council,Business and Innovation,6000802,Band C,22504,26958,Technician - Band C,2.0,Science and Engineering
