,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Health,Department of Health,Research & Development Directorate,RDD-009,G7,45299,61976,Policy Manager,3.8,Policy
1,Department of Health,Department of Health,Research & Development Directorate,RDD-009,EO,21438,30275,Executive Assistant,0.6,Policy
2,Department of Health,Department of Health,Research & Development Directorate,RDD-009,EO,21438,30275,Policy Support Officer,1.0,Policy
3,Department of Health,Department of Health,Research & Development Directorate,RDD-040,G7,45299,61976,Policy Manager,2.0,Policy
4,Department of Health,Department of Health,Research & Development Directorate,RDD-040,SEO,33675,45769,Policy Manager,3.0,Policy
5,Department of Health,Department of Health,Research & Development Directorate,RDD-040,HEO,26492,37316,Policy Support Officer,0.78,Policy
6,Department of Health,Department of Health,Research & Development Directorate,RDD-040,EO,21438,30275,Executive Assistant,1.0,Policy
7,Department of Health,Department of Health,Research & Development Directorate,RDD-039,G6,57075,75035,Policy Manager,2.0,Policy
8,Department of Health,Department of Health,Research & Development Directorate,RDD-039,G7,45299,61976,Policy Manager,2.0,Policy
9,Department of Health,Department of Health,Research & Development Directorate,RDD-039,FS,29992,41546,Policy Manager,1.0,Policy
10,Department of Health,Department of Health,Research & Development Directorate,RDD-039,EO,21438,30275,Executive Assistant,1.0,Policy
11,Department of Health,Department of Health,Research & Development Directorate,RDD-039,EO,21438,30275,Policy Support Officer,1.0,Policy
12,Department of Health,Department of Health,Research & Development Directorate,RDD-039,AO,17209,23567,Admin support,1.0,Policy
13,Department of Health,Department of Health,Research & Development Directorate,RDD-041,G6,57075,75035,Programme Manager,0.8,Policy
14,Department of Health,Department of Health,Research & Development Directorate,RDD-041,G6,57075,75035,Finance Manager,0.8,Policy
15,Department of Health,Department of Health,Research & Development Directorate,RDD-041,G6,57075,75035,Policy Manager,5.0,Policy
16,Department of Health,Department of Health,Research & Development Directorate,RDD-041,G7,45299,61976,Policy Manager,5.4,Policy
17,Department of Health,Department of Health,Research & Development Directorate,RDD-041,G7,45299,61976,Not In Post,1.0,Policy
18,Department of Health,Department of Health,Research & Development Directorate,RDD-041,SEO,33675,45769,Programme Support Officer,3.6,Policy
19,Department of Health,Department of Health,Research & Development Directorate,RDD-041,SEO,33675,45769,Finance Officer,2.0,Policy
20,Department of Health,Department of Health,Research & Development Directorate,RDD-041,HEO,26492,37316,Business Support Officer,2.6,Policy
21,Department of Health,Department of Health,Research & Development Directorate,RDD-041,EO,21438,30275,Finance Support Officer,1.0,Policy
22,Department of Health,Department of Health,Research & Development Directorate,RDD-041,EO,21438,30275,Business Support Officer,1.4,Policy
23,Department of Health,Department of Health,Research & Development Directorate,RDD-041,EO,21438,30275,Executive Assistant,1.0,Policy
24,Department of Health,Department of Health,Research & Development Directorate,RDD-041,AO,17209,23567,Admin support,0.6,Policy
25,Department of Health,Department of Health,Research & Development Directorate,RDD-041,AO,17209,23567,Admin support,1.0,Policy
26,Department of Health,Department of Health,Research & Development Directorate,RDD-037,G7,45299,61976,Policy Manager,2.0,Policy
27,Department of Health,Department of Health,Research & Development Directorate,RDD-037,SEO,33675,45769,Policy Manager,1.0,Policy
28,Department of Health,Department of Health,Research & Development Directorate,RDD-037,HEO,26492,37316,Policy Support Officer,1.0,Policy
29,Department of Health,Department of Health,Research & Development Directorate,RDD-037,EO,21438,30275,Executive Assistant,1.0,Policy
30,Department of Health,Department of Health,Research & Development Directorate,RDD-037,EO,21438,30275,Policy Support Officer,1.0,Policy
31,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-088,G6,57075,75035,Policy Manager,2.0,Policy
32,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-088,G7,45299,61976,Analyst,1.0,Policy
33,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-088,SEO,33675,45769,Policy Manager,1.0,Policy
34,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-088,HEO,26492,37316,Policy Support Officer,1.0,Policy
35,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-088,FS,29992,41546,Policy Manager,1.0,Policy
36,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-088,EO,21438,30275,Executive Assistant,0.5,Policy
37,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-077,G6,57075,75035,Policy Manager,1.0,Policy
38,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-077,G7,45299,61976,Policy Manager,1.0,Policy
39,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-077,SEO,33675,45769,Policy Manager,1.81,Policy
40,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-077,EO,21438,30275,Business Support Officer,0.5,Policy
41,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-078,G7,45299,61976,Policy Manager,3.8,Policy
42,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-078,SEO,33675,45769,Policy Manager,1.0,Policy
43,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-078,EO,21438,30275,Business Support Officer,1.0,Policy
44,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-075,G6,57075,75035,Senior Policy Manager,0.59,Policy
45,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-075,G7,45299,61976,Senior Policy Manager,3.59,Policy
46,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-075,SEO,33675,45769,Policy Support Officer,3.4,Policy
47,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-075,HEO,26492,37316,Policy Manager,1.0,Policy
48,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-075,EO,21438,30275,Policy Support Officer,3.5,Policy
49,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-075,FS,29992,41546,Policy Manager,1.0,Policy
50,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,G6,57075,75035,Policy Adviser,1.0,Policy
51,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,G7,45299,61976,Policy Adviser,3.19,Policy
52,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,SEO,33675,45769,Policy Support Officer,1.0,Policy
53,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,HEO,26492,37316,Policy Support Officer,1.0,Policy
54,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,HEO,26492,37316,Not In Post,1.0,Policy
55,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,EO,21438,30275,Policy Support Officer,1.5,Policy
56,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-202,FS,29992,41546,Not In Post,1.0,Policy
57,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-003,G7,45299,61976,Private Secretary,1.0,Operational Delivery
58,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-003,EO,21438,30275,Diary Manager,1.0,Operational Delivery
59,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-023,EO,21438,30275,Executive Assistant,1.0,Operational Delivery
60,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-024,G6,57075,75035,Not In Post,1.0,Policy
61,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-023,G6,57075,75035,Senior Economist,1.0,Economics
62,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-023,G6,57075,75035,Not In Post,1.0,Economics
63,Department of Health,Department of Health,Social Care Local Government & Care Partnerships,SC-023,G7,45299,61976,Statistician,2.9,Statisticians
