,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Home Office,Civil Service Learning,Policy Profession Support Unit,1CSL01,Grade 7,44656,57553,Policy Profession Advisor,2.0,Policy
1,Home Office,Civil Service Learning,Policy Profession Support Unit,1CSL01,HEO,25297,30989,Policy Support Officer,1.0,Policy
2,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 6,54705,70504,Team Leader,1.0,Human Resources
3,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 6,54705,70504,Team Leader,1.0,Information Technology
4,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 6,54705,70504,Team Leader,1.0,Procurement
5,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 6,54705,70504,Team Leader,1.0,Finance
6,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 6,54705,70504,Team Leader,1.0,Communications
7,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,Strategy and Curriculum Development Lead,1.83,Human Resources
8,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,Marketing Manager,1.2,Communications
9,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,Website & LMS Development Manager,1.0,Information Technology
10,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,Online Learning Manager,1.0,Information Technology
11,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,Evaluation & QA Manager,1.0,Statisticians
12,Home Office,Civil Service Learning,CSL Operations,1CSL02,SEO,32602,39537,Logistics Coordinator,1.0,Procurement
13,Home Office,Civil Service Learning,CSL Operations,1CSL02,SEO,32602,39537,Continuous Improvement Manager,1.0,Human Resources
14,Home Office,Civil Service Learning,CSL Operations,1CSL02,SEO,32602,39537,Business Support Manager,1.0,Human Resources
15,Home Office,Civil Service Learning,CSL Operations,1CSL02,SEO,32602,39537,Procurement & Contract Manager,1.0,Procurement
16,Home Office,Civil Service Learning,CSL Operations,1CSL02,HEO,25297,30989,Online Learning Specialist,1.0,Information Technology
17,Home Office,Civil Service Learning,CSL Operations,1CSL02,HEO-D,23802,33953,Deputy Business Support Manager,1.0,Human Resources
18,Home Office,Civil Service Learning,Operations,1CSL02,EO,20235,24789,Support Officers,6.63,Human Resources
19,Home Office,Civil Service Learning,CSL Services,1CSL03,Grade 6,54705,70504,Team Leader,5.0,Human Resources
20,Home Office,Civil Service Learning,CSL Services,1CSL03,Grade 7,44656,57553,Learning Consultant,16.29,Human Resources
21,Home Office,Civil Service Learning,Operational Delivery Support Unit,1CSL04,Grade 7,44656,57553,Operational Delivery Profession Advisor,2.0,Operational Delivery
22,Home Office,Civil Service Learning,Operational Delivery Support Unit,1CSL04,HEO,25297,30989,Support Officers,0.89,Operational Delivery
23,Home Office,Civil Service Learning,CSL Services,1CSL03,SEO,32602,39537,Apprenticeship Support,2.0,Human Resources
24,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,MI & Analysis Manager,1.0,Statisticians
25,Home Office,Civil Service Learning,CSL Operations,1CSL02,Grade 7,44656,57553,Stakeholder Engagement,1.0,Communications
26,Home Office,Civil Service Learning,CSL Operations,1CSL02,EO,20235,24789,Website Support,1.0,Information Technology
27,Home Office,Civil Service Learning,CSL Operations,1CSL02,Information Officer,28573,34650,Communications Manager,1.0,Communications
28,Home Office,Civil Service Learning,CSL Operations,1CSL02,HEO,25297,30989,Deputy Business Support Manager,1.0,Human Resources
29,Home Office,Civil Service Learning,CSL Services,1CSL03,Grade 7,44656,57553,Professions Advisor,2.8,Human Resources
30,Home Office,Civil Service Learning,CSL Services,1CSL03,Grade 7,44656,57553,Apprenticeship Support,1.0,Human Resources
31,Home Office,Civil Service Learning,Policy Profession Support Unit,1CSL01,Grade 7,44656,57553,Not In Post,1.72,Policy
32,Home Office,Civil Service Learning,Operations,1CSL02,Grade 7,44656,57553,Not In Post,1.0,Communications
33,Home Office,Civil Service Learning,CSL Services,1CSL03,Grade 7,44656,57553,Not In Post,1.0,Human Resources
34,Home Office,Civil Service Learning,CSL Services,1CSL03,Grade 7,44656,57553,Not In Post,1.0,Human Resources
