,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Home Office,Home Office,Private Office,1PO01,Grade 6,54705,70504,Private Secretary,1.0,Policy
1,Home Office,Home Office,Private Office,1PO01,Grade 7,44656,57553,Private Secretary,6.0,Policy
2,Home Office,Home Office,Private Office,1PO01,SEO,32602,39537,Policy Support Officer,1.0,Policy
3,Home Office,Home Office,Private Office,1PO01,SEO,32602,39537,Assistant Private Secretary,3.0,Policy
4,Home Office,Home Office,Private Office,1PO01,SEO,32602,39537,Business Support & Finance Manager,1.0,Other
5,Home Office,Home Office,Private Office,1PO03,HEO,25297,30989,Assistant Private Secretary,3.0,Policy
6,Home Office,Home Office,Private Office,1PO01,HEO,25297,30989,Assistant Private Secretary,5.0,Policy
7,Home Office,Home Office,Private Office,1PO01,HEO,25297,30989,Policy Support Officer,3.0,Policy
8,Home Office,Home Office,Private Office,1PO01,HEO,25297,30989,Diary Manager,2.0,Other
9,Home Office,Home Office,Private Office,1PO03,HEO-D,23802,33953,Assistant Private Secretary,1.0,Policy
10,Home Office,Home Office,Private Office,1PO01,HEO-D,23802,33953,Private Secretary,1.0,Policy
11,Home Office,Home Office,Private Office,1PO01,HEO-D,23802,33953,Assistant Private Secretary,4.0,Policy
12,Home Office,Home Office,Private Office,1PO01,EO,20235,24789,Assistant Private Secretary,3.0,Policy
13,Home Office,Home Office,Private Office,1PO01,EO,20235,24789,Diary Manager ,4.0,Other
14,Home Office,Home Office,Private Office,1PO01,EO,20235,24789,Communications Support,2.0,Communications
15,Home Office,Home Office,Private Office,1PO01,EO,20235,24789,Business Support Officers,1.0,Other
16,Home Office,Home Office,Private Office,1PO03,EO,20235,24789,Diary Manager,1.0,Other
17,Home Office,Home Office,Private Office,1PO01,AO,15386,18657,Diary Manager ,1.0,Other
18,Home Office,Home Office,Private Office,1PO01,AO,15386,18657,Correspondence Officer,4.0,Communications
19,Home Office,Home Office,Private Office,1PO01,AO,15386,18657,Administrative Support,5.0,Other
20,Home Office,Home Office,Private Office,1PO01,Personal Secretary,16023,19234,Personal Assistant,1.0,Other
21,Home Office,Home Office,Private Office,1PO01,Grade 7,44656,57553,Head of Parliamentary and Correspondence Management Team,1.0,Policy
22,Home Office,Home Office,Private Office,1PO04,Grade 6,54705,70504,Policy Adviser,3.0,Policy
23,Home Office,Home Office,Private Office,1PO04,Grade 7,44656,57553,Policy Adviser,3.0,Policy
24,Home Office,Home Office,Private Office,1PO04,HEO-D,23802,33953,Policy Support Officer,1.0,Policy
25,Home Office,Home Office,Private Office,1PO04,EO,20235,24789,Diary Manager,1.0,Other
26,Home Office,Home Office,Private Office,1PO01,HEO,25297,30989,Business Support Officers,1.0,Other
27,Home Office,Home Office,Private Office,1PO03,Grade 7,44656,57553,Assistant Private Secretary,1.0,Policy
28,Home Office,Home Office,Private Office,1PO03,EO,20235,24789,Business Support Officer,1.0,Other
29,Home Office,Home Office,Private Office,2PO01,HEO,25297,30989,Diary Manager,1.0,Other
30,Home Office,Home Office,Private Office,1PO04,SEO,32602,39537,Policy Adviser,1.0,Policy
31,Home Office,Home Office,Private Office,1PO04,HEO,25297,30989,Policy Support Officer,3.0,Policy
32,Home Office,Home Office,Border Force,3BF01,CIO,25816,31948,Operational Manager,1.0,Operational Delivery
33,Home Office,Home Office,Border Force,3BF01,EO,20235,24789,Operational Officer,1.0,Operational Delivery
34,Home Office,Home Office,Border Force,3BF01,Grade 6,54705,70504,Senior Operational Manager,1.83,Operational Delivery
35,Home Office,Home Office,Border Force,3BF01,Grade 7,44656,57553,Senior Operational Manager,1.0,Operational Delivery
36,Home Office,Home Office,Border Force,3BF01,HEO,25297,30989,Operational Manager,1.0,Operational Delivery
37,Home Office,Home Office,Border Force,3BF01,SEO,32602,39537,Operational Manager,2.0,Operational Delivery
38,Home Office,Home Office,e-Borders,2BF01,AO,15386,18657,Operational Manager,3.0,Information Technology
39,Home Office,Home Office,e-Borders,2BF01,CIO,25816,31948,Operational Manager,1.0,Information Technology
40,Home Office,Home Office,e-Borders,2BF01,EO,20235,24789,Operational Officer,13.66,Information Technology
41,Home Office,Home Office,e-Borders,2BF01,Grade 6,54705,70504,Senior Information Manager,1.83,Information Technology
42,Home Office,Home Office,e-Borders,2BF01,Grade 7,44656,57553,Senior Information Manager,9.83,Information Technology
43,Home Office,Home Office,e-Borders,2BF01,HEO,25297,30989,Operational Manager,14.33,Information Technology
44,Home Office,Home Office,e-Borders,2BF01,Immigration Inspector,32602,39537,Operational Officer,1.78,Information Technology
45,Home Office,Home Office,e-Borders,2BF01,SEO,32602,39537,Information Technology Manager,14.5,Information Technology
46,Home Office,Home Office,National Operations & Performance,1BF02,EO,20235,24789,Operational Officer,1.0,Operational Delivery
47,Home Office,Home Office,National Operations & Performance,1BF02,Grade 7,44656,57553,Senior Operational Manager,1.0,Operational Delivery
48,Home Office,Home Office,National Operations & Performance,1BF02,HEO,25297,30989,Operational Manager,1.0,Operational Delivery
49,Home Office,Home Office,E-Borders,1BF11,EO,20235,24789,IT Services manager,1.0,Information Technology
50,Home Office,Home Office,E-Borders,1BF11,Grade 6,54705,70504,Senior Information Manager,2.0,Information Technology
51,Home Office,Home Office,E-Borders,1BF11,HEO,25297,30989,IT Services manager,0.89,Information Technology
52,Home Office,Home Office,E-Borders,1BF11,SEO,32602,39537,Information Technology Manager,4.0,Information Technology
53,Home Office,Home Office,E-Borders,1BF11,CIO,25816,31948,Operational Manager,3.0,Information Technology
54,Home Office,Home Office,E-Borders,1BF11,EO,20235,24789,Operational Officer,2.0,Information Technology
55,Home Office,Home Office,E-Borders,1BF11,Grade 6,54705,70504,Senior Information Manager,2.0,Information Technology
56,Home Office,Home Office,E-Borders,1BF11,Grade 7,44656,57553,Senior Information Manager,4.0,Information Technology
57,Home Office,Home Office,E-Borders,1BF11,HEO,25297,30989,IT Services manager,2.0,Information Technology
58,Home Office,Home Office,E-Borders,1BF11,Immigration Inspector,32602,39537,IT Services manager,8.0,Information Technology
59,Home Office,Home Office,E-Borders,1BF11,SEO,32602,39537,IT Services manager,6.4,Information Technology
60,Home Office,Home Office,Automation Strategy and Delivery,1BF12,EO,20235,24789,Knowledge Information Management Manager,6.48,Information Technology
61,Home Office,Home Office,Automation Strategy and Delivery,1BF12,Grade 6,54705,70504,Senior Information Manager,4.0,Information Technology
62,Home Office,Home Office,Automation Strategy and Delivery,1BF12,Grade 7,44656,57553,Senior Information Manager,5.0,Information Technology
63,Home Office,Home Office,Automation Strategy and Delivery,1BF12,HEO,25297,30989,IT Services manager,8.89,Information Technology
64,Home Office,Home Office,Automation Strategy and Delivery,1BF12,Immigration Inspector,32602,39537,IT Services manager,1.0,Information Technology
65,Home Office,Home Office,Automation Strategy and Delivery,1BF12,IO,21505,26614,Operational Officer,4.0,Information Technology
66,Home Office,Home Office,Automation Strategy and Delivery,1BF12,SEO,32602,39537,Information Technology Manager,10.0,Information Technology
67,Home Office,Home Office,Automation Strategy and Delivery,1BF12,Unknown,0,0,Unknown,15.0,Information Technology
68,Home Office,Home Office,Border Force Chief Operating Officer,2BF03,EO,20235,24789,Operational Officer,1.0,Operational Delivery
69,Home Office,Home Office,Border Force Chief Operating Officer,2BF03,Grade 7,44656,57553,Senior Operational Manager,2.0,Operational Delivery
70,Home Office,Home Office,National Operations & Performance,1BF02,AO,15386,18657,Operational Support Officer,2.0,Operational Delivery
71,Home Office,Home Office,National Operations & Performance,1BF02,CIO,25816,31948,Operational Manager,6.0,Operational Delivery
72,Home Office,Home Office,National Operations & Performance,1BF02,EO,20235,24789,Operational Officer,7.8,Operational Delivery
73,Home Office,Home Office,National Operations & Performance,1BF02,Grade 6,54705,70504,Senior Operational Manager,1.0,Operational Delivery
74,Home Office,Home Office,National Operations & Performance,1BF02,Grade 7,44656,57553,Senior Operational Manager,5.0,Operational Delivery
75,Home Office,Home Office,National Operations & Performance,1BF02,HEO,25297,30989,Operational Manager,9.0,Operational Delivery
76,Home Office,Home Office,National Operations & Performance,1BF02,Immigration Inspector,32602,39537,Operational Manager,2.0,Operational Delivery
77,Home Office,Home Office,National Operations & Performance,1BF02,IO,21505,26614,Operational Officer,1.0,Operational Delivery
78,Home Office,Home Office,National Operations & Performance,1BF02,SEO,32602,39537,Operational Manager,12.69,Operational Delivery
79,Home Office,Home Office,Heathrow,1BF01,AA,14043,15701,Operational Support Officer,20.89,Operational Delivery
80,Home Office,Home Office,Heathrow,1BF01,AIO,15386,18657,Operational Support Officer,272.22,Operational Delivery
81,Home Office,Home Office,Heathrow,1BF01,AO,15386,18657,Operational Support Officer,28.73,Operational Delivery
82,Home Office,Home Office,Heathrow,1BF01,CIO,25816,31948,Operational Manager,171.78,Operational Delivery
83,Home Office,Home Office,Heathrow,1BF01,EO,20235,24789,Operational Officer,19.24,Operational Delivery
84,Home Office,Home Office,Heathrow,1BF01,Grade 6,54705,70504,Senior Operational Manager,2.0,Operational Delivery
85,Home Office,Home Office,Heathrow,1BF01,Grade 7,44656,57553,Operational Officer,10.89,Operational Delivery
86,Home Office,Home Office,Heathrow,1BF01,HEO,25297,30989,Operational Manager,9.06,Operational Delivery
87,Home Office,Home Office,Heathrow,1BF01,Immigration Inspector,32602,39537,Operational Manager,53.6,Operational Delivery
88,Home Office,Home Office,Heathrow,1BF01,IO,21505,26614,Operational Officer,1155.76,Operational Delivery
89,Home Office,Home Office,Heathrow,1BF01,SEO,32602,39537,Operational Manager,5.06,Operational Delivery
90,Home Office,Home Office,Border Force Intelligence,1BF18,AA,14043,15701,Administrative Support Officer,0.71,Planning
91,Home Office,Home Office,Border Force Intelligence,1BF18,AIO,15386,18657,Administrative Support Officer,23.46,Planning
92,Home Office,Home Office,Border Force Intelligence,1BF18,AO,15386,18657,Administrative Support Officer,10.12,Planning
93,Home Office,Home Office,Border Force Intelligence,1BF18,CIO,25816,31948,Administration Team Manager,40.38,Planning
94,Home Office,Home Office,Border Force Intelligence,1BF18,EO,20235,24789,Administrative Officer,28.73,Planning
95,Home Office,Home Office,Border Force Intelligence,1BF18,Grade 6,54705,70504,Senior Knowledge Information Management Manager,2.0,Planning
96,Home Office,Home Office,Border Force Intelligence,1BF18,Grade 7,44656,57553,Senior Knowledge Information Management Manager,8.0,Planning
97,Home Office,Home Office,Border Force Intelligence,1BF18,HEO,25297,30989,Resourcing Manager,50.53,Planning
98,Home Office,Home Office,Border Force Intelligence,1BF18,Immigration Inspector,32602,39537,Operational Manager,12.34,Planning
99,Home Office,Home Office,Border Force Intelligence,1BF18,IO,21505,26614,Operational Officer,384.31,Planning
100,Home Office,Home Office,Border Force Intelligence,1BF18,SEO,32602,39537,Resourcing Manager,19.89,Planning
101,Home Office,Home Office,Border Force Intelligence,1BF18,Unknown,0,0,Unknown,3.0,Planning
102,Home Office,Home Office,Border Force North Region,1BF10,AA,14043,15701,Operational Support Officer,4.51,Operational Delivery
103,Home Office,Home Office,Border Force North Region,1BF10,AIO,15386,18657,Operational Support Officer,154.41,Operational Delivery
104,Home Office,Home Office,Border Force North Region,1BF10,AO,15386,18657,Operational Support Officer,36.42,Operational Delivery
105,Home Office,Home Office,Border Force North Region,1BF10,CIO,25816,31948,Operational Manager,42.23,Operational Delivery
106,Home Office,Home Office,Border Force North Region,1BF10,EO,20235,24789,Operational Officer,18.39,Operational Delivery
107,Home Office,Home Office,Border Force North Region,1BF10,Grade 7,44656,57553,Senior Operational Manager,10.0,Operational Delivery
108,Home Office,Home Office,Border Force North Region,1BF10,HEO,25297,30989,Operational Manager,73.36,Operational Delivery
109,Home Office,Home Office,Border Force North Region,1BF10,Immigration Inspector,32602,39537,Operational Manager,14.51,Operational Delivery
110,Home Office,Home Office,Border Force North Region,1BF10,IO,21505,26614,Operational Officer,695.51,Operational Delivery
111,Home Office,Home Office,Border Force North Region,1BF10,SEO,32602,39537,Operational Manager,13.5,Operational Delivery
