,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Finance,1057079,RC-F,42769,54649,Head of Financial Services,1.0,Finance
1,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Finance,1057079,RC-E,35282,43164,Senior Finance Manager,2.26,Finance
2,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Finance,1057079,RC-D,27792,34002,Finance Manager,5.95,Finance
3,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Finance,1057079,RC-C,22504,26958,Accounting Assistant,3.62,Finance
4,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Finance,1057079,RC-B,17493,20956,Finance Administrator,1.0,Finance
5,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Finance,1057079,RC-B,17493,20956,Year in Industry Student,1.0,Finance
6,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Human Resources ,1057079,RC-F,42769,54649,HR Business Partner,1.0,Human Resources
7,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Human Resources ,1057079,RC-C,22504,26958,HR Support Manager,2.0,Human Resources
8,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Human Resources ,1057079,RC-B,17493,20956,HR Adminstrator,1.0,Human Resources
9,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Human Resources ,1057079,RC-B,17493,20956,Year in Industry Student,1.0,Human Resources
10,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Reprographic Services,1057079,RC-E,35282,43164,Head of Joint Reprographics,1.0,Other
11,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Reprographic Services,1057079,RC-D,27792,34002,Production Manager,1.0,Other
12,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Reprographic Services,1057079,RC-C,22504,26958,Reprogaphics Manager,2.39,Other
13,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Reprographic Services,1057079,RC-B,17493,20956,Reprographics Assistant,11.96,Other
14,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Information Services Unit,1057079,RC-F,42769,54649,Head of Joint Information Services,1.0,Information Technology
15,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Information Services Unit,1057079,RC-E,35282,43164,Senior IT Manager,1.0,Information Technology
16,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Information Services Unit,1057079,RC-D,27792,34002,IT Manager,5.51,Information Technology
17,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Information Services Unit,1057079,RC-E,35282,43164,Senior Information Manager,1.0,Information Technology
18,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Information Services Unit,1057079,RC-D,27792,34002,Information Manager,1.0,Information Technology
19,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Joint Information Services Unit,1057079,RC-B,17493,20956,IT Administrator,0.68,Information Technology
20,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-F,42769,54649,Head of Strategy and Business Planning,0.86,Planning
21,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-E,35282,43164,Senior Strategy Manager,2.95,Planning
22,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-C,22504,26958,Strategy Support Manager,5.0,Planning
23,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-B,17493,20956,Strategy Administrator,2.0,Planning
24,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-G,54565,69721,Head of RCUK Strategy Unit,1.0,Policy
25,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-F,42769,54649,Head of RCUK Theme,4.8,Policy
26,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-E,35282,43164,Senior RCUK Policy Manager,5.81,Policy
27,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-D,27792,34002,RCUK Manager,8.81,Policy
28,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-B,17493,20956,RCUK Adminstrator,5.68,Policy
29,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-F,42769,54649,Head of Performance and Evaluation,1.0,Planning
30,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-E,35282,43164,Senior Evaluation Manager,2.0,Planning
31,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-D,27792,34002,Evaluation Manager,3.0,Planning
32,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-C,22504,26958,Evaluation Support Manager,5.0,Planning
33,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-B,17493,20956,Year in Industry Student,1.0,Planning
34,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-F,42769,54649,Head of Communications & Stakeholder Engagement,1.0,Communications
35,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-E,35282,43164,Senior Communications Manager,3.81,Communications
36,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-D,27792,34002,Communications Manager,5.73,Communications
37,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-C,22504,26958,Communications Support Officer,5.56,Communications
38,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-B,17493,20956,Communications Administrator,4.0,Communications
39,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,"Communications, Information and Strategy ",2000093,RC-B,17493,20956,Year in Industry Student,2.0,Communications
40,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Executive Leadership Team,2000093,RC-G,54565,69721,Associate Director Impact,1.0,Operational Delivery
41,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Executive Leadership Team,2000087,RC-G,54565,69721,Associate Director Capability,1.0,Operational Delivery
42,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Executive Leadership Team,2000087,RC-G,54565,69721,Associate Director Leaders,1.0,Operational Delivery
43,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000087,RC-F,42769,54649,Integrator Leader,4.37,Operational Delivery
44,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000087,RC-E,35282,43164,Senior Portfolio Manager,5.42,Operational Delivery
45,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000087,RC-D,27792,34002,Portfolio Manager,3.42,Operational Delivery
46,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000087,RC-C,22504,26958,Delivery Support Manager,4.81,Operational Delivery
47,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000087,RC-B,17493,20956,Administrators,1.81,Operational Delivery
48,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000087,RC-B,17493,20956,Year in Industry Student,2.0,Operational Delivery
49,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000093,RC-F,42769,54649,Integrator Leader,2.0,Operational Delivery
50,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000093,RC-E,35282,43164,Senior Portfolio Manager,3.0,Operational Delivery
51,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000093,RC-D,27792,34002,Portfolio Manager,1.0,Operational Delivery
52,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Integrators,2000093,RC-B,17493,20956,Administrators,1.0,Operational Delivery
53,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Challenges,2000087,RC-F,42769,54649,Theme Leader,2.5,Operational Delivery
54,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Challenges,2000087,RC-E,35282,43164,Senior Portfolio Manager,6.22,Operational Delivery
55,Department for Business Innovation and Skills,Engineering & Physical Sciences Research Council,Challenges,2000087,RC-D,27792,34002,Portfolio Manager,6.0,Operational Delivery
