,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Work and Pensions,Health and Safety Executive,CCID - 150 DIRECTORATE SUPPORT,CCIDDIRB201,AO - Administration,17103,19973,AO - Administration,1.86,Policy
1,Department for Work and Pensions,Health and Safety Executive,CCID - 150 DIRECTORATE SUPPORT,CCIDDIRB201,EO - Administration,22187,27288,EO - Administration,2.65,Policy
2,Department for Work and Pensions,Health and Safety Executive,CCID - 150 DIRECTORATE SUPPORT,CCIDDIRB201,Grade 7 - Administration,45722,54695,Grade 7 - Administration,2.0,Policy
3,Department for Work and Pensions,Health and Safety Executive,CCID - 150 DIRECTORATE SUPPORT,CCIDDIRB201,HEO - Administration,27113,32937,HEO - Administration,0.88,Policy
4,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,EO - Administration,22187,27288,EO - Administration,4.67,Policy
5,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,Grade 7 - Administration,45722,54695,Grade 7 - Administration,1.5,Policy
6,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,Grade 7 - Factories,45722,54695,Grade 7 - Factories,1.0,Policy
7,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,Grade 7 - Scientific,45722,54695,Grade 7 - Scientific,2.0,Policy
8,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,Grade 7 - Spec Microbiologist,45722,54695,Grade 7 - Spec Microbiologist,1.0,Policy
9,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,Grade 7 - Spec Process Safety,51572,59089,Grade 7 - Spec Process Safety,1.0,Policy
10,Department for Work and Pensions,Health and Safety Executive,CCID - 150 WORK ENVIRONMENT RADIATION AND GAS DIV,CCIDERGB101,HEO - Administration,27113,32937,HEO - Administration,11.92,Policy
