,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,2.0,Operational Delivery
1,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,2.0,Operational Delivery
2,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,1.0,Operational Delivery
3,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,1.5,Operational Delivery
4,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,5.0,Operational Delivery
5,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Adviser,20500,26620,Adviser,3.0,Operational Delivery
6,"Department for Environment, Food and Rural Affairs",Natural England,Board and Executive Services,1,Support Adviser,16500,20390,Support Adviser,1.0,Operational Delivery
7,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Head of,1.0,Operational Delivery
8,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,1.0,Operational Delivery
9,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,4.0,Procurement
10,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,1.0,Operational Delivery
11,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,4.8,Procurement
12,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,2.0,Procurement
13,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,2.0,Operational Delivery
14,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,6.0,Procurement
15,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,8.22,Procurement
16,"Department for Environment, Food and Rural Affairs",Natural England,Estates and Procurement,5,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,1.0,Operational Delivery
17,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,1.82,Finance
18,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,1.0,Internal Audit
19,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,1.0,Finance
20,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,2.0,Finance
21,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,9.82,Finance
22,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,1.0,Internal Audit
23,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,3.0,Finance
24,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Adviser,20500,26620,Adviser,4.69,Finance
25,"Department for Environment, Food and Rural Affairs",Natural England,Finance ,13,Support Adviser,16500,20390,Support Adviser,2.86,Finance
26,"Department for Environment, Food and Rural Affairs",Natural England,Legal,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Head of,1.0,Law
27,"Department for Environment, Food and Rural Affairs",Natural England,Legal,5,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,3.0,Law
28,"Department for Environment, Food and Rural Affairs",Natural England,Legal,5,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,0.87,Law
29,"Department for Environment, Food and Rural Affairs",Natural England,Organisation Development ,25,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,3.0,Human Resources
30,"Department for Environment, Food and Rural Affairs",Natural England,Organisation Development ,25,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,3.0,Human Resources
