,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,C,28500,44999,Head of Collection Services,1.0,Knowledge and Information Management (KIM)
1,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,C,28500,44999,Senior Curator,1.0,Knowledge and Information Management (KIM)
2,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,C,28500,44999,Head of Conservation,1.0,Knowledge and Information Management (KIM)
3,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,D,25000,38999,Metalwork Conservation Officer,1.0,Knowledge and Information Management (KIM)
4,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,D,25000,38999,"Conservation Officer, Reynolds Project",0.8,Knowledge and Information Management (KIM)
5,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,D,25000,38999,Librarian & Archivist,1.0,Knowledge and Information Management (KIM)
6,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,D,25000,38999,Senior Furniture Conservator,1.0,Knowledge and Information Management (KIM)
7,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,D,25000,38999,Curator ,3.69,Knowledge and Information Management (KIM)
8,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,G,20535,27269,Photographer,1.0,Knowledge and Information Management (KIM)
9,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,G,20535,27269,Curatorial Assistant,1.0,Knowledge and Information Management (KIM)
10,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,G,20535,27269,Library Cataloguer,1.0,Knowledge and Information Management (KIM)
11,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,G,20535,27269,Conservation Craftsman,1.0,Knowledge and Information Management (KIM)
12,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,H,20535,25501,Project Archvist,1.0,Knowledge and Information Management (KIM)
13,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,J,17852,20388,Research Assistant,1.0,Knowledge and Information Management (KIM)
14,"Department for Culture, Media and Sport",Wallace Collection,Collections Department,411,H,20535,25501,Picture Librarian,1.0,Communications
15,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,C,28500,44999,Head of Learning,1.0,Communications
16,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,G,20535,27269,Education Officer,0.8,Communications
17,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,H,20535,25501,Education Officer,1.0,Communications
18,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,H,20535,25501,Education Officer,1.0,Communications
19,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,J,17852,20388,Education Assistant,0.6,Communications
20,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,C,28500,44999,Head of Retail & Front of House,1.0,Communications
21,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,C,28500,44999,Head of Events,1.0,Communications
22,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,F,26260,31999,Press & Marketing Manager,1.0,Communications
23,"Department for Culture, Media and Sport",Wallace Collection,Development & Marketing Department,422,G,20535,27269,Front of House & Retail Supervisor,1.0,Communications
