,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 1,13871,21455,Admin/Support,1.0,Science and Engineering
1,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 2,18362,24172,Admin/Support,2.0,Science and Engineering
2,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 2,18362,24172,Waste Management,6.0,Science and Engineering
3,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 3,22219,31720,Admin/Support,1.0,Science and Engineering
4,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 3,22219,31720,Building and Civil,1.0,Science and Engineering
5,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 3,22219,31720,Engineer - Mechanical Design,1.0,Science and Engineering
6,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 3,22219,31720,Engineer - Other,2.0,Science and Engineering
7,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 3,22219,31720,Engineer - Technician Electrical,2.0,Science and Engineering
8,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 3,22219,31720,Waste Management,8.0,Science and Engineering
9,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Building and Civil,1.0,Science and Engineering
10,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Computing,1.0,Science and Engineering
11,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Engineer - Electronics,2.0,Science and Engineering
12,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Engineer - Other,5.0,Science and Engineering
13,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Engineer - Technician Electrical,2.0,Science and Engineering
14,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Engineer - Technician Mechanical,1.0,Science and Engineering
15,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Engineer - Vacuum,0.8,Science and Engineering
16,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Health Physics,1.0,Science and Engineering
17,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Planning,1.0,Science and Engineering
18,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 4,26195,37082,Waste Management,2.0,Science and Engineering
19,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Building and Civil,2.0,Science and Engineering
20,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Engineer - Control and Instrumentation,2.0,Science and Engineering
21,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Engineer - Electrical,1.0,Science and Engineering
22,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Engineer - Electronics,1.0,Science and Engineering
23,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Engineer - Mechanical Design,2.0,Science and Engineering
24,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Engineer - Other,3.0,Science and Engineering
25,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Engineer - Vacuum,6.0,Science and Engineering
26,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Safety/Health/Environment/Security,0.61,Science and Engineering
27,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 5,32978,46916,Waste Management,4.0,Science and Engineering
28,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 6,41122,59861,Engineer - Electrical,2.0,Science and Engineering
29,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 6,41122,59861,Engineer - Operations,1.0,Science and Engineering
30,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 6,41122,59861,Project Management,1.0,Science and Engineering
31,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 6,41122,59861,Waste Management,2.0,Science and Engineering
32,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Level 7,52566,74745,Engineer - Other,1.0,Science and Engineering
33,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Admin/Support,1.0,Science and Engineering
34,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Building and Civil,5.0,Science and Engineering
35,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Engineer - Electrical,1.6,Science and Engineering
36,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Engineer - Electronics,1.0,Science and Engineering
37,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Engineer - Mechanical Design,1.0,Science and Engineering
38,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Engineer - Technician Electrical,3.0,Science and Engineering
39,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Engineer - Technician Mechanical,2.0,Science and Engineering
40,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Engineer - Vacuum,1.5,Science and Engineering
41,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Planning,1.0,Science and Engineering
42,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Safety/Health/Environment/Security,1.0,Science and Engineering
43,Department for Business Innovation and Skills,UK Atomic Energy Authority,Active Operations Department,14000083,Agency Supplied Worker,14000,105000,Waste Management,4.0,Science and Engineering
44,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 1,13871,21455,Admin/Support,1.0,Science and Engineering
45,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 2,18362,24172,Admin/Support,1.91,Science and Engineering
46,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 2,18362,24172,Records Management,0.97,Science and Engineering
47,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 3,22219,31720,Safety/Health/Environment/Security,1.0,Science and Engineering
48,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 4,26195,37082,Health Physics,1.0,Science and Engineering
49,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 4,26195,37082,QA,2.0,Science and Engineering
50,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 4,26195,37082,Safety/Health/Environment/Security,4.0,Science and Engineering
51,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 5,32978,46916,Health Physics,2.0,Science and Engineering
52,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 5,32978,46916,QA,4.0,Science and Engineering
53,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 5,32978,46916,Safety/Health/Environment/Security,1.0,Science and Engineering
54,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 6,41122,59861,Engineer - Electrical,0.81,Science and Engineering
55,Department for Business Innovation and Skills,UK Atomic Energy Authority,Assurance Division,14000000,Level 6,41122,59861,Health Physics,1.0,Science and Engineering
