,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",The British Library,Chief Executive's Office,1,A,35082,44500,Executive Assistant,1.0,Operational Delivery
1,"Department for Culture, Media and Sport",The British Library,Chief Executive's Office,1,B,28030,35554,Executive Assistant,1.0,Operational Delivery
2,"Department for Culture, Media and Sport",The British Library,Chief Executive's Office,1,D,18947,22810,Secretary,1.0,Operational Delivery
3,"Department for Culture, Media and Sport",The British Library,Finance,2,C,22507,28549,Secretary,1.0,Finance
4,"Department for Culture, Media and Sport",The British Library,Collections,3,A,35082,44500,Project Manager,1.0,Programme and Project Management (PPM)
5,"Department for Culture, Media and Sport",The British Library,Collections,3,C,22507,28549,Secretary,1.0,Knowledge and Information Management (KIM)
6,"Department for Culture, Media and Sport",The British Library,Audiences,5,A,35082,44500,Senior Communications Manager,2.0,Communications
7,"Department for Culture, Media and Sport",The British Library,Audiences,5,C,22507,28549,Communications Support Officer,1.0,Communications
8,"Department for Culture, Media and Sport",The British Library,Operations,9,SB4,43691,55420,Senior Operational Manager,1.0,Programme and Project Management (PPM)
9,"Department for Culture, Media and Sport",The British Library,Operations,9,B,28030,35554,Operations Officer,3.0,Operational Delivery
10,"Department for Culture, Media and Sport",The British Library,Operations,9,C,22507,28549,Operations Officer,3.0,Operational Delivery
11,"Department for Culture, Media and Sport",The British Library,Operations,9,D,18947,22810,Operations Support Officer,0.8,Operational Delivery
12,"Department for Culture, Media and Sport",The British Library,Chief Executive's Office,10,D,18947,22810,Secretary,1.0,Operational Delivery
13,"Department for Culture, Media and Sport",The British Library,Financial Operations,11,A,35082,44500,Senior Finance Manager,5.0,Finance
14,"Department for Culture, Media and Sport",The British Library,Financial Operations,11,B,28030,35554,Finance Officer,4.4,Finance
15,"Department for Culture, Media and Sport",The British Library,Financial Operations,11,C,22507,28549,Finance Officer,4.8,Finance
16,"Department for Culture, Media and Sport",The British Library,Financial Operations,11,D,18947,22810,Finance Support Officer,9.0,Finance
