,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,M4,57902,74902,,6.1,Other
1,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R5,43285,52739,,10.0,Other
2,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R4A,32239,39275,,15.0,Other
3,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R4B,37084,44298,,16.6,Other
4,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R3A,26476,32251,,19.0,Other
5,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R3B,30746,36722,,17.6,Other
6,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R2A,20724,26775,,13.0,Other
7,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R2B,23801,30756,,3.6,Other
8,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,R1B,20961,24543,,0.56,Other
9,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,S4,27263,33210,,1.0,Other
10,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,S3,23330,29570,,7.0,Other
11,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,S2,18793,22001,,16.0,Other
12,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,C3C,26820,32669,,5.0,Other
13,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,C5C,42567,55034,,1.0,Other
14,"Department for Culture, Media and Sport",British Museum,Income Generation and Administration,4184,Transfer Grade,21000,50000,,13.49,Other
15,"Department for Culture, Media and Sport",British Museum,Collections,4185,M4,57902,74902,,10.0,Other
16,"Department for Culture, Media and Sport",British Museum,Collections,4185,M3,35585,44220,,1.0,Other
17,"Department for Culture, Media and Sport",British Museum,Collections,4185,R4A,32239,39275,,5.0,Other
18,"Department for Culture, Media and Sport",British Museum,Collections,4185,R4B,37084,44298,,1.0,Other
19,"Department for Culture, Media and Sport",British Museum,Collections,4185,R3A,26476,32251,,23.26,Other
20,"Department for Culture, Media and Sport",British Museum,Collections,4185,R2B,23801,30756,,2.0,Other
21,"Department for Culture, Media and Sport",British Museum,Collections,4185,R2A,20724,26775,,5.2,Other
