,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Equalities Office,DCMS2005,A,46751,55686,Senior Policy Adviser,26.32,Policy
1,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Equalities Office,DCMS2005,A(U),53494,66005,Senior Policy Adviser,7.0,Policy
2,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Equalities Office,DCMS2005,B,30745,37131,Policy Adviser,41.4,Policy
3,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Equalities Office,DCMS2005,C,23663,26211,Policy Adviser,10.0,Policy
4,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Equalities Office,DCMS2005,D,20234,21023,Policy Adviser,1.0,Policy
5,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications",DCMS2004,A,46751,55686,Senior Policy Adviser,23.9,Policy
6,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications",DCMS2004,A(U),53494,66005,Senior Policy Adviser,4.0,Policy
7,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications",DCMS2004,B,30745,37131,Policy Adviser,18.99,Policy
8,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications",DCMS2004,C,23663,26211,Policy Adviser,2.58,Policy
9,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications",DCMS2004,D,20234,21023,Policy Adviser,3.0,Policy
10,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment",DCMS2006,A,46751,55686,Senior Finance  Manager,1.0,Finance
11,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment",DCMS2006,A(U),53494,66005,Senior Finance  Manager,3.0,Finance
12,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment",DCMS2006,B,30745,37131,Finance Officer,6.0,Finance
13,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment",DCMS2006,C,23663,26211,Finance Officer,5.0,Finance
14,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment",DCMS2006,D,20234,21023,Finance Support Officer,2.0,Finance
15,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment",DCMS2006,Fast Stream,28366,29876,Finance Officer,1.0,Finance
16,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Flexible Resourcing Pool,DCMS2999,A,46751,55686,Senior Policy Adviser,54.44,Policy
17,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Flexible Resourcing Pool,DCMS2999,A(U),53494,66005,Senior Policy Adviser,2.0,Policy
18,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Flexible Resourcing Pool,DCMS2999,B,30745,37131,Policy Adviser,44.69,Policy
19,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Flexible Resourcing Pool,DCMS2999,C,23663,26211,Policy Adviser,28.83,Policy
20,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Flexible Resourcing Pool,DCMS2999,D,20234,21023,Policy Adviser,30.89,Policy
21,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Flexible Resourcing Pool,DCMS2999,Fast Stream,28366,29876,Policy Adviser,3.0,Policy
22,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Art Collection,DCMS2001,A,46751,55686,Senior Policy Adviser,1.0,Policy
23,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Art Collection,DCMS2001,B,30745,37131,Policy Adviser,5.0,Policy
24,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Government Art Collection,DCMS2001,C,23663,26211,Policy Adviser,6.14,Policy
25,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,DCMS2001,A,46751,55686,Senior HR Manager,1.0,Human Resources
26,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,DCMS2001,B,30745,37131,HR Officer,2.46,Human Resources
27,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,DCMS2001,C,23663,26211,HR Officer,1.0,Human Resources
28,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,DCMS2001,D,20234,21023,HR Support Officer,1.0,Human Resources
29,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Public Appointments,DCMS2001,B,30745,37131,Policy Adviser,5.0,Policy
30,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Public Appointments,DCMS2001,C,23663,26211,Policy Adviser,1.0,Policy
