,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for International Development,DFID,Corporate Performance ,A2,A1 (G6),61381,70290,Administrator,2.0,Policy
1,Department for International Development,DFID,Corporate Performance ,A2,A2 (G7),49410,58160,Administrator,4.8,Policy
2,Department for International Development,DFID,Corporate Performance ,A21,A1 (G6),61381,70290,Administrator,1.0,Finance
3,Department for International Development,DFID,Corporate Performance ,A21,A2(L) (SEO),41218,45380,Administrator,1.0,Finance
4,Department for International Development,DFID,Corporate Performance ,A21,A2 (G7),49410,58160,Administrator,0.5,Policy
5,Department for International Development,DFID,Corporate Performance ,A21,B1 (HEO),31320,35680,Administrator,2.0,Policy
6,Department for International Development,DFID,Corporate Performance ,A21,B2 (EO),23930,28210,Administrator,4.5,Policy
7,Department for International Development,DFID,Corporate Performance ,A21,C1 (AO),19500,23275,Administrator,7.8,Policy
8,Department for International Development,DFID,Corporate Performance ,A21,C2 (AA),16080,20090,Administrator,1.0,Policy
9,Department for International Development,DFID,Corporate Performance ,A27,A1 (G6),61381,70290,Administrator,12.0,Human Resources
10,Department for International Development,DFID,Corporate Performance ,A27,A2 (G7),49410,58160,Administrator,5.0,Human Resources
11,Department for International Development,DFID,Corporate Performance ,A27,B1 (HEO),31320,35680,Administrator,1.0,Human Resources
12,Department for International Development,DFID,Corporate Performance ,A27,B2 (EO),23930,28210,Administrator,8.6,Human Resources
13,Department for International Development,DFID,Corporate Performance ,B105,A1 (G6),61381,70290,Administrator,2.0,Finance
14,Department for International Development,DFID,Corporate Performance ,B105,A2 (G7),49410,58160,Administrator,2.0,Finance
15,Department for International Development,DFID,Corporate Performance ,B105,A2(L) (SEO),41218,45380,Administrator,7.0,Finance
16,Department for International Development,DFID,Corporate Performance ,B105,B1 (HEO),31320,35680,Administrator,3.8,Finance
17,Department for International Development,DFID,Corporate Performance ,B105,B2 (EO),23930,28210,Administrator,6.8,Finance
18,Department for International Development,DFID,Corporate Performance ,B105,C1 (AO),19500,23275,Administrator,14.3,Finance
19,Department for International Development,DFID,Corporate Performance ,B109,A1 (G6),61381,70290,Administrator,1.0,Policy
20,Department for International Development,DFID,Corporate Performance ,B109,A2 (G7),49410,58160,Administrator,4.0,Policy
21,Department for International Development,DFID,Corporate Performance ,B109,A2(L) (SEO),41218,45380,Administrator,5.0,Policy
22,Department for International Development,DFID,Corporate Performance ,B109,B1 (HEO),31320,35680,Administrator,4.0,Policy
23,Department for International Development,DFID,Corporate Performance ,B109,B1D (Faststream),26800,37195,Administrator,1.0,Policy
24,Department for International Development,DFID,Corporate Performance ,B109,B2 (EO),23930,28210,Administrator,1.0,Policy
25,Department for International Development,DFID,Corporate Performance ,B123,A1 (G6),61381,70290,Administrator,4.0,Finance
26,Department for International Development,DFID,Corporate Performance ,B123,A2 (G7),49410,58160,Administrator,13.0,Finance
27,Department for International Development,DFID,Corporate Performance ,B123,A2(L) (SEO),41218,45380,Administrator,4.4,Finance
28,Department for International Development,DFID,Corporate Performance ,B123,B1 (HEO),31320,35680,Administrator,4.8,Finance
29,Department for International Development,DFID,Corporate Performance ,B123,B1D (Faststream),26800,37195,Administrator,4.0,Finance
30,Department for International Development,DFID,Corporate Performance ,B123,B2 (EO),23930,28210,Administrator,4.8,Finance
31,Department for International Development,DFID,Corporate Performance ,B134,A1 (G6),61381,70290,Administrator,2.0,Policy
32,Department for International Development,DFID,Corporate Performance ,B134,A2 (G7),49410,58160,Administrator,8.0,Policy
33,Department for International Development,DFID,Corporate Performance ,B134,A2(L) (SEO),41218,45380,Administrator,18.9,Policy
34,Department for International Development,DFID,Corporate Performance ,B134,B1 (HEO),31320,35680,Administrator,9.6,Policy
35,Department for International Development,DFID,Corporate Performance ,B134,B2 (EO),23930,28210,Administrator,5.0,Policy
36,Department for International Development,DFID,Corporate Performance ,B134,C1 (AO),19500,23275,Administrator,3.4,Policy
37,Department for International Development,DFID,Corporate Performance ,B139,A2 (G7),49410,58160,Administrator,3.0,Communications
38,Department for International Development,DFID,Corporate Performance ,B139,A2(L) (SEO),41218,45380,Administrator,5.0,Communications
39,Department for International Development,DFID,Corporate Performance ,B139,B1 (HEO),31320,35680,Administrator,3.0,Communications
40,Department for International Development,DFID,Corporate Performance ,B139,B1D (Faststream),26800,37195,Administrator,1.0,Communications
41,Department for International Development,DFID,Corporate Performance ,B139,B2 (EO),23930,28210,Administrator,1.0,Communications
42,Department for International Development,DFID,Corporate Performance ,B38,A1 (G6),61381,70290,Administrator,6.0,Communications
43,Department for International Development,DFID,Corporate Performance ,B38,A2 (G7),49410,58160,Administrator,8.8,Communications
44,Department for International Development,DFID,Corporate Performance ,B38,A2(L) (SEO),41218,45380,Administrator,8.0,Communications
