,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Education,Department For Education,Permanent Secretary’s Office,DFE-1001,SEO,33200,49008,Senior Executive Officer - Legal Advisors.,6.0,Law
1,Department for Education,Department For Education,Permanent Secretary’s Office,DFE-1001,HEO,26800,40828,Higher Executive Officer - Legal Advisors.,2.0,Law
2,Department for Education,Department For Education,Permanent Secretary’s Office,DFE-1001,EO,21916,32232,Executive Officer - Legal Advisors.,3.0,Law
3,Department for Education,Department For Education,Permanent Secretary’s Office,DFE-1001,GRADE 6,55431,69187,Manager - Legal Advisors.,1.0,Law
4,Department for Education,Department For Education,Permanent Secretary’s Office,DFE-1001,GRADE 7,45300,57223,Manager - Legal Advisors.,2.0,Law
5,Department for Education,Department For Education,Systems and Accountability,DFE-1003,EO,21916,32232,Executive Officer - policy,1.0,policy
6,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications ",DFE-1005,EO,21916,32232,Executive Officer - other,2.0,other
7,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications ",DFE-1005,HEO,26800,40828,Higher Executive Officer - policy,1.0,policy
8,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications ",DFE-1005,EA AO,15516,22939,Executive Assistant - policy,1.0,policy
9,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications ",DFE-1005,SEO,33200,49008,Senior Executive Officer - policy,2.0,policy
10,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications ",DFE-1005,GRADE 6,55431,69187,Manager - policy,1.0,policy
11,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications ",DFE-1005,GRADE 7,45300,57223,Manager - policy,0.6,policy
12,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",DFE-1006,EO,21916,32232,Executive Officer - policy,1.0,policy
13,Department for Education,Department For Education,Education Funding Group,DFE-1007,EO,21916,32232,Executive Officer - policy,6.81,policy
14,Department for Education,Department For Education,Education Funding Group,DFE-1007,SEO,33200,49008,Senior Executive Officer - policy,4.6,policy
15,Department for Education,Department For Education,Education Funding Group,DFE-1007,EA AO,15516,22939,Executive Assistant - policy,1.0,policy
16,Department for Education,Department For Education,Education Funding Group,DFE-1007,GRADE 6,55431,69187,Manager - policy,3.0,policy
17,Department for Education,Department For Education,Education Funding Group,DFE-1007,GRADE 7,45300,57223,Manager - policy,7.0,policy
18,Department for Education,Department For Education,Education Funding Group,DFE-1007,HEO,26800,40828,Higher Executive Officer - policy,1.0,policy
19,Department for Education,Department For Education,Care and Adoption Group,DFE-1008,HEO,26800,40828,Higher Executive Officer - other,1.0,other
20,Department for Education,Department For Education,Care and Adoption Group,DFE-1008,EO,21916,32232,Executive Officer - policy,1.0,policy
21,Department for Education,Department For Education,Care and Adoption Group,DFE-1008,GRADE 7,45300,57223,Manager - policy,2.0,policy
22,Department for Education,Department For Education,Care and Adoption Group,DFE-1008,GRADE 6,55431,69187,Manager - policy,1.0,policy
23,Department for Education,Department For Education,Care and Adoption Group,DFE-1008,SEO,33200,49008,Senior Executive Officer - policy,1.0,policy
24,Department for Education,Department For Education,Finance and Commercial Group ,DFE-1009,SEO,33200,49008,Senior Executive Officer - Internal Audinformation technology,13.5,Internal Audit
25,Department for Education,Department For Education,Finance and Commercial Group ,DFE-1009,GRADE 7,45300,57223,Manager - Internal Audinformation technology,3.49,Internal Audit
26,Department for Education,Department For Education,Finance and Commercial Group ,DFE-1009,HEO,26800,40828,Higher Executive Officer - Internal Audinformation technology,2.0,Internal Audit
27,Department for Education,Department For Education,Finance and Commercial Group ,DFE-1009,EO,21916,32232,Executive Officer - Internal Audinformation technology,2.0,Internal Audit
28,Department for Education,Department For Education,Finance and Commercial Group ,DFE-1009,GRADE 6,55431,69187,Manager - Internal Audinformation technology,1.0,Internal Audit
29,Department for Education,Department For Education,Participation and Vocational Education Group,DFE-1010,SEO,33200,49008,Senior Executive Officer - policy,1.0,policy
30,Department for Education,Department For Education,Participation and Vocational Education Group,DFE-1010,GRADE 6,55431,69187,Manager - policy,2.0,policy
31,Department for Education,Department For Education,Participation and Vocational Education Group,DFE-1010,HEO,26800,40828,Higher Executive Officer - policy,1.0,policy
32,Department for Education,Department For Education,Participation and Vocational Education Group,DFE-1010,EO,21916,32232,Executive Officer - policy,3.0,policy
