,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Anglian Office,AN_EARA001v3,AS2,16387,20983,Administration Officer,0.54,Operational Delivery
1,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Anglian Office,AN_EARA001v3,AS3,20301,25645,Diary Manager,1.0,Operational Delivery
2,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS2,16387,20983,Business Support Officer,2.0,Operational Delivery
3,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS2,16387,20983,Environment Support Officer,1.0,Operational Delivery
4,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS3,20301,25645,Communications Support Officer,1.0,Communications
5,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS3,20301,25645,Diary Manager,1.0,Operational Delivery
6,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS3,20301,25645,Environmental Monitoring Officer,1.0,Operational Delivery
7,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS3,20301,25645,Planning Officer,3.0,Operational Delivery
8,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS4,24530,31907,Business Planning Officer,3.0,Planning
9,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS4,24530,31907,Communications Officer,1.8,Communications
10,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS4,24530,31907,Communications Support Officer,2.0,Communications
11,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS4,24530,31907,Planning Officer,6.0,Planning
12,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS4,24530,31907,Technical Officer,7.0,Operational Delivery
13,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Business Planning Officer,1.65,Planning
14,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Planning Officer,9.0,Planning
15,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Principal Officer,15.0,Operational Delivery
16,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Project Manager,1.0,Operational Delivery
17,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Team Leader,1.0,Operational Delivery
18,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Technical Adviser,2.0,Operational Delivery
19,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS5,31030,40465,Technical Specialist,7.0,Operational Delivery
20,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Business Manager,1.0,Operational Delivery
21,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Communications Manager,2.0,Communications
22,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Operational Manager,5.0,Operational Delivery
23,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Project Manager,1.0,Programme and Project Management (PPM)
24,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Project Officer,1.0,Operational Delivery
25,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Technical Adviser,2.0,Operational Delivery
26,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS6,39570,52407,Technical Specialist,2.0,Operational Delivery
27,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS7,49660,65445,Communications Manager,1.0,Communications
28,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS7,49660,65445,Operational Manager,2.0,Operational Delivery
29,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Environment Performance Manager,AN_REP1000v2,AS7,49660,65445,Programme Manager,1.0,Operational Delivery
30,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Business Support Officer,1.6,Operational Delivery
31,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Contractor,1.9,Operational Delivery
32,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Diary Manager,3.8,Operational Delivery
33,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Environment Support Officer,5.0,Operational Delivery
34,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Environmental Monitoring Support Officer,7.5,Operational Delivery
35,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Flood Risk Support Officer,2.0,Science and Engineering
36,"Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Central,AN_EACA001v2,AS2,16387,20983,Planning Support Officer,1.0,Planning
