,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,SMS1,60000,117800,Policy Adviser,4.0,Policy
1,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,D7,54883,68539,Policy Adviser,7.27,Policy
2,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,D6,43514,56339,Policy Adviser,13.0,Policy
3,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,C5,33075,40905,Policy Adviser,15.0,Policy
4,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,C4,26363,32834,Policy Adviser,29.6,Policy
5,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,B3,21646,28118,Policy Adviser,24.0,Policy
6,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,A2,19437,21912,Policy Adviser,22.0,Policy
7,Foreign and Commonwealth Office,Foreign and Commonwealth Office,National Security Directorate,12000,A1,18156,18156,Policy Adviser,2.5,Policy
8,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,SMS1,60000,117800,Policy Adviser,4.0,Policy
9,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,D7,54883,68539,Policy Adviser,10.0,Policy
10,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,D6,43514,56339,Policy Adviser,19.0,Policy
11,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,C5,33075,40905,Policy Adviser,9.0,Policy
12,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,C4,26363,32834,Policy Adviser,31.0,Policy
13,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,B3,21646,28118,Policy Adviser,19.2,Policy
14,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and International Security Directorate,12000,A2,19437,21912,Policy Adviser,22.6,Policy
15,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe & Globalisation,13000,C4,26363,32834,Policy Adviser,1.0,Policy
16,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe & Globalisation,13000,B3,21646,28118,Policy Adviser,2.0,Policy
17,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,SMS1,60000,117800,Policy Adviser,25.0,Policy
18,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,D7,54883,68539,Policy Adviser,34.0,Policy
19,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,D6,43514,56339,Policy Adviser,38.9,Policy
20,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,C5,33075,40905,Policy Adviser,18.0,Policy
21,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,C4,26363,32834,Policy Adviser,80.0,Policy
22,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,B3,21646,28118,Policy Adviser,34.0,Policy
23,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13000,A2,19437,21912,Policy Adviser,23.0,Policy
24,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,SMS1,60000,117800,Policy Adviser,1.0,Policy
25,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,D7,54883,68539,Policy Adviser,2.0,Policy
26,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,D6,43514,56339,Policy Adviser,6.0,Policy
27,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,C5,33075,40905,Policy Adviser,8.0,Policy
28,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,C4,26363,32834,Policy Adviser,14.0,Policy
29,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,B3,21646,28118,Policy Adviser,3.0,Policy
30,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,A2,19437,21912,Policy Adviser,3.0,Policy
31,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13000,SMS1,60000,117800,Policy Adviser,51.0,Policy
32,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13000,D7,54883,68539,Policy Adviser,47.8,Policy
33,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13000,D6,43514,56339,Policy Adviser,104.9,Policy
34,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13000,C5,33075,40905,Policy Adviser,27.9,Policy
35,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13000,C4,26363,32834,Policy Adviser,114.0,Policy
