,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Transport,High Speed 2 Ltd,CEO & Programme Office,HS2001,Adviser,25543,38914,Project Manager,5.0,Programme and Project Management (PPM)
1,Department for Transport,High Speed 2 Ltd,CEO & Programme Office,HS2001,Assistant,17000,28245,Personal Assistant,3.0,Other
2,Department for Transport,High Speed 2 Ltd,CEO & Programme Office,HS2001,Manager,35000,49952,Project Manager,2.0,Programme and Project Management (PPM)
3,Department for Transport,High Speed 2 Ltd,CEO & Programme Office,HS2001,Senior Manager,45010,76293,Senior Project Manager,1.0,Programme and Project Management (PPM)
4,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Adviser,25543,38914,Acquisition Support Officer,7.0,Property and asset management
5,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Adviser,25543,38914,Procurement Officer,1.0,Procurement
6,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Adviser,25543,38914,Procurement Support Officer ,1.0,Procurement
7,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Adviser,25543,38914,Strategy Support Officer,6.0,Statisticians
8,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Assistant,17000,28245,Acquisition Support Officer,3.0,Property and asset management
9,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Assistant,17000,28245,Personal Assistant,2.0,Other
10,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Head of Function,64090,116877,Acquisition Manager,1.0,Property and asset management
11,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Head of Function,64090,116877,Senior Procurement Officer,1.0,Procurement
12,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Head of Function,64090,116877,Strategy Manager,1.0,Statisticians
13,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Senior Manager,45010,76293,Acquisition Manager,2.0,Property and asset management
14,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Acquisition Officer,9.0,Property and asset management
15,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Engineer,1.0,Science and Engineering
16,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Finance Officer,1.0,Property and asset management
17,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Not In Post,1.0,Other
18,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Procurement Officer,4.0,Procurement
19,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Project Manager,2.0,Programme and Project Management (PPM)
20,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Manager,35000,49952,Strategy Officer,5.0,Statisticians
21,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Senior Manager,45010,76293,Acquisition Manager,8.0,Property and asset management
22,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Senior Manager,45010,76293,Not In Post,1.0,Other
23,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Senior Manager,45010,76293,Senior Procurement Officer,4.0,Procurement
24,Department for Transport,High Speed 2 Ltd,Commercial,HS2095,Senior Manager,45010,76293,Strategy Officer,6.8,Statisticians
25,Department for Transport,High Speed 2 Ltd,External & Parliamentary Relations,HS2111,Adviser,25543,38914,Communications Support Officer,10.0,Communications
26,Department for Transport,High Speed 2 Ltd,External & Parliamentary Relations,HS2111,Adviser,25543,38914,Community & Stakeholder Adviser,24.0,Communications
27,Department for Transport,High Speed 2 Ltd,External & Parliamentary Relations,HS2111,Adviser,25543,38914,Consultation Adviser,6.0,Communications
28,Department for Transport,High Speed 2 Ltd,External & Parliamentary Relations,HS2111,Adviser,25543,38914,Press Officer,4.0,Communications
