,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,9a,AO (N),17855,19907,Policy Support Officer,1.68,Policy
1,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,9a,EO (N),22337,25903,Policy Adviser,0.59,Policy
2,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,9a,HEO (N),26745,30923,Policy Adviser,3.0,Policy
3,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,9a,SEO (N),33072,39404,Policy Adviser,2.0,Policy
4,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,9a,G6 (N) ,52708,63170,Senior Policy Adviser,1.0,Policy
5,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,9a,G7 (N),43221,51814,Senior Policy Adviser,1.0,Policy
6,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,British Cattle Movement Service,11,AO (N),17855,19907,Operations Support Officer,116.09,Operational Delivery
7,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,British Cattle Movement Service,11,EO (N),22337,25903,Operational Manager,19.14,Operational Delivery
8,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,British Cattle Movement Service,11,HEO (N),26745,30923,Operational Manager,3.96,Operational Delivery
9,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,British Cattle Movement Service,11,SEO (N),33072,39404,Operational Manager,1.81,Operational Delivery
10,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,British Cattle Movement Service,11,G7 (N),43221,51814,Senior Operational Manager,1.0,Operational Delivery
11,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Complaints Resolution Team,11,EO (N),22337,25903,Operations Support Officer,13.56,Operational Delivery
12,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Complaints Resolution Team,11,HEO (N),26745,30923,Operational Manager,3.11,Operational Delivery
13,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Complaints Resolution Team,11,SEO (N),33072,39404,Operational Manager,1.0,Operational Delivery
14,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Registration & Document System Services,11,AO (N),17855,19907,Operations Support Officer,58.83,Operational Delivery
15,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Registration & Document System Services,11,EO (N),22337,25903,Operational Manager,8.75,Operational Delivery
16,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Registration & Document System Services,11,HEO (N),26745,30923,Operational Manager,2.0,Operational Delivery
17,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Registration & Document System Services,11,SEO (N),33072,39404,Operational Manager,1.0,Operational Delivery
18,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Registration & Document System Services,11,G7 (N),43221,51814,Senior Operational Manager,1.0,Operational Delivery
19,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Service Centre,11,AO (N),17855,19907,Operations Support Officer,59.38,Operational Delivery
20,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Service Centre,11,EO (N),22337,25903,Operational Manager,8.35,Operational Delivery
21,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Service Centre,11,HEO (N),26745,30923,Operational Manager,2.0,Operational Delivery
22,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Service Centre,11,SEO (N),33072,39404,Operational Manager,1.0,Operational Delivery
23,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer Service Centre,11,G7 (N),43221,51814,Senior Operational Manager,1.0,Operational Delivery
24,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Farm Inspectors - North,11,EO (N),22337,25903,Operations Support Officer,93.88,Operational Delivery
25,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Farm Inspectors - North,11,HEO (N),26745,30923,Operational Manager,7.86,Operational Delivery
