,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,9.0,25000,33600,Finance Systems Administrator,1.0,Finance
1,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,12.0,35148,47167,Archive And Records Manager,1.0,Knowledge and Information Management (KIM)
2,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,11.0,30500,41000,Business Systems Officer,1.0,Information Technology
3,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,7.0,21600,29100,Finance Assistant,1.0,Finance
4,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,11.0,30500,41000,Foi/dpa Team Leader,1.0,Knowledge and Information Management (KIM)
5,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,9.0,25000,33600,Freedom Of Information Officer,2.0,Knowledge and Information Management (KIM)
6,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,15.0,56560,74235,Head Of Finance,1.0,Finance
7,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,15.0,56560,74235,Head Of Ict & Transformation,1.0,Information Technology
8,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,14.0,51409,69084,Ict Security & Ia Manager,1.0,Information Technology
9,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,11.0,30500,41000,Ict Security Officer,1.0,Information Technology
10,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,14.0,51409,69084,Ict Services Manager,1.0,Information Technology
11,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,9.0,25000,33600,Ict Support Officer,1.0,Information Technology
12,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,11.0,30500,41000,Management Accountant,1.0,Finance
13,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DFIT,12.0,35148,47167,Management Accountant,3.0,Finance
14,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,6.0,19100,25600,Business Support Assistant,1.0,Other
15,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,14.0,51409,69084,Deputy Head Of Facilities,0.91,Property and asset management
16,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,7.0,21600,29100,Facilities Administrator,2.0,Property and asset management
17,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,6.0,19100,25600,Facilities Assistant,3.81,Property and asset management
18,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,10.0,27600,37000,Facilities Coordinator,2.77,Property and asset management
19,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,12.0,35148,47167,Facilities Manager,1.0,Property and asset management
20,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,10.0,27600,37000,Facilities Officer,1.0,Property and asset management
21,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,11.0,30500,41000,Facilities/health & Safety Officer,1.0,Property and asset management
22,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,7.0,21600,29100,Hr Administrator,2.0,Human Resources
23,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,10.0,27600,37000,Hr Advisor - Recruitment,1.0,Human Resources
24,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,10.0,27600,37000,Hr Advisor,1.0,Human Resources
25,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,13.0,42824,57570,Hr Business Partner,1.0,Human Resources
26,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,10.0,27600,37000,Hr Systems & Information Officer,1.0,Human Resources
27,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,13.0,42824,57570,Hr Systems And Information Manager,1.0,Human Resources
28,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,12.0,35148,47167,Project Manger,1.0,Programme and Project Management (PPM)
29,Home Office,Independent Police Complaints Commission,Business Services Directorate,01-DHPE,7.0,21600,29100,Receptionist,1.0,Other
