,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Transport,Passenger Focus,Passenger Focus,CEO,Band A,13295,17660,Passenger Focus Assistant,1.0,Operational Delivery
1,Department for Transport,Passenger Focus,Passenger Focus,CEO,Band C,23169,35374,Passenger Focus Co-ordinator,3.0,Operational Delivery
2,Department for Transport,Passenger Focus,Passenger Focus,CEO,Band D,33132,49889,Passenger Focus Policy Executive,2.0,Policy
3,Department for Transport,Passenger Focus,Passenger Focus,CEO,Band D,33132,49889,Passenger Focus Researcher,6.8,Operational Research
4,Department for Transport,Passenger Focus,Passenger Focus,CEO,Band E,47109,65924,Passenger Focus Manager,7.0,Operational Delivery
5,Department for Transport,Passenger Focus,Passenger Focus,PTD2011,Band C,23169,35374,Passenger Focus Adviser,6.8,Operational Delivery
6,Department for Transport,Passenger Focus,Passenger Focus,PTD2011,Band C,23169,35374,Passenger Focus Co-ordinator,4.0,Programme and Project Management (PPM)
7,Department for Transport,Passenger Focus,Passenger Focus,PTD2011,Band D,33132,49889,Passenger Focus Executive,2.0,Operational Delivery
8,Department for Transport,Passenger Focus,Passenger Focus,PTD2011,Band E,47109,65924,Passenger Focus Manager,3.0,Operational Delivery
9,Department for Transport,Passenger Focus,Passenger Focus,RPCFD,Band C,23169,35374,Passenger Focus Co-ordinator,0.8,Finance
10,Department for Transport,Passenger Focus,Passenger Focus,RPCFD,Band D,33132,49889,Passenger Focus Executive,1.0,Finance
11,Department for Transport,Passenger Focus,Passenger Focus,RPCFD,Band C,23169,35374,Passenger Focus Co-ordinator,1.0,Operational Delivery
12,Department for Transport,Passenger Focus,Passenger Focus,RPCFD,Band D,33132,49889,Passenger Focus Executive,1.0,Operational Delivery
