,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Chief Executive,1,Administrative staff,0,0,Office Manager,1.0,Operational Delivery
1,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Operations,1,Operations staff,0,0,Programme Manager,1.0,Operational Delivery
2,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Operations,1,Operations staff,0,0,Senior Operational Manager,1.0,Operational Delivery
3,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Operations,1,Operations staff,0,0,Analyst,1.0,Operational Delivery
4,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Finance,3,IT staff,0,0,IT Manager,1.0,Information Technology
5,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Finance,3,IT staff,0,0,IT Support Officer,0.6,Information Technology
6,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Finance,3,Finance staff,0,0,Senior Finance  Manager,0.6,Finance
7,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Finance,3,Finance staff,0,0,Finance Officer,1.0,Finance
8,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Finance,3,Finance staff,0,0,Finance Officer,1.0,Finance
9,"Department for Culture, Media and Sport",Horserace Betting Levy Board,Finance,3,Finance staff,0,0,Finance Officer,1.0,Finance
