,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",5,Grade 7,43129,52382,Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
1,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",3,Grade 7,43129,52382,Programme Manager,1.0,Programme and Project Management (PPM)
2,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",20,EO,20133,23781,Programme Support Officer,1.0,Operational Delivery
3,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",3,SEO,30885,37417,Programme Manager,1.0,Programme and Project Management (PPM)
4,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",6,HEO,25152,29527,Programme Manager,1.0,Programme and Project Management (PPM)
5,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",6,HEO,25152,29527,Operational Manager,1.0,Operational Delivery
6,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",6,HEO,25152,29527,Programme Manager,1.0,Programme and Project Management (PPM)
7,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",7,HEO,25152,29527,Programme Manager,1.0,Operational Delivery
8,Department for Business Innovation and Skills,UK Space Agency,"Technology, Science and Exploration",9,SEO,30885,37417,Programme Manager,1.0,Programme and Project Management (PPM)
9,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,10,SEO,30885,37417,Senior Policy Adviser,1.0,Policy
10,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,12,SEO,30885,37417,Senior Policy Adviser,1.0,Policy
11,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,12,HEO,25152,29527,Operational Manager,1.0,Operational Delivery
12,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,14,HEO,25152,29527,Press Officer,1.0,Communications
13,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,14,EO,20133,23781,Project Manager,1.0,Operational Delivery
14,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,14,EA (London),20017,22126,Communications Support Officer,1.0,Communications
15,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,15,Grade 7,43129,52382,Senior Finance  Manager,1.0,Finance
16,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,15,SEO,30885,37417,Finance Officer,1.0,Finance
17,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,15,SEO,30885,37417,Finance Officer,1.0,Finance
18,Department for Business Innovation and Skills,UK Space Agency,Policy and Operations,15,EO,20133,23781,Finance Officer,1.0,Finance
19,Department for Business Innovation and Skills,UK Space Agency,Growth Applications and EU Programmes,17,Grade 7 (London),46629,55882,Senior Policy Adviser,1.0,Policy
20,Department for Business Innovation and Skills,UK Space Agency,Growth Applications and EU Programmes,17,SEO,30885,37417,Programme Manager,1.0,Programme and Project Management (PPM)
