body_title,graph,senior_csv_filepath,junior_csv_filepath,xls_filepath,senior_posts_count,junior_posts_count
Animal Health and Veterinary Laboratories Agency,2011-03-31,data/dgu/csv-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-03-31-organogram.xls,12,219
Appointments Commission,2011-03-31,data/dgu/csv-from-triplestore/appointments_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/appointments_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/appointments_commission-2011-03-31-organogram.xls,3,13
Asset Protection Agency,2011-03-31,data/dgu/csv-from-triplestore/asset_protection_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/asset_protection_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/asset_protection_agency-2011-03-31-organogram.xls,18,8
Attorney General's Office,2011-03-31,data/dgu/csv-from-triplestore/attorney_generals_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/attorney_generals_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/attorney_generals_office-2011-03-31-organogram.xls,6,20
Audit Commission,2011-03-31,data/dgu/csv-from-triplestore/audit_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/audit_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/audit_commission-2011-03-31-organogram.xls,25,166
BIG Lottery Fund,2011-03-31,data/dgu/csv-from-triplestore/big_lottery_fund-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/big_lottery_fund-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/big_lottery_fund-2011-03-31-organogram.xls,21,37
British Transport Police Authority,2011-03-31,data/dgu/csv-from-triplestore/british_transport_police_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/british_transport_police_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/british_transport_police_authority-2011-03-31-organogram.xls,17,5
Cabinet Office,2011-03-31,data/dgu/csv-from-triplestore/cabinet_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/cabinet_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/cabinet_office-2011-03-31-organogram.xls,216,763
Care Quality Commission,2011-03-31,data/dgu/csv-from-triplestore/care_quality_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/care_quality_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/care_quality_commission-2011-03-31-organogram.xls,46,312
Child Maintenance and Enforcement Commission,2011-03-31,data/dgu/csv-from-triplestore/child_maintenance_and_enforcement_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/child_maintenance_and_enforcement_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/child_maintenance_and_enforcement_commission-2011-03-31-organogram.xls,39,298
Children and Family Court Advisory and Support Service,2011-03-31,data/dgu/csv-from-triplestore/children_and_family_court_advisory_and_support_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/children_and_family_court_advisory_and_support_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/children_and_family_court_advisory_and_support_service-2011-03-31-organogram.xls,9,78
Children's Workforce Development Council,2011-03-31,data/dgu/csv-from-triplestore/childrens_workforce_development_council-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/childrens_workforce_development_council-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/childrens_workforce_development_council-2011-03-31-organogram.xls,7,68
Coal Authority,2011-03-31,data/dgu/csv-from-triplestore/coal_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/coal_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/coal_authority-2011-03-31-organogram.xls,6,89
Competition Commission,2011-03-31,data/dgu/csv-from-triplestore/competition_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/competition_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/competition_commission-2011-03-31-organogram.xls,20,47
