,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30136,36333,Direct Military Support,2.0,Operational Delivery
1,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30136,36333,Estate Advice ,1.0,Property and asset management
2,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30136,36333,Range Management ,2.0,Property and asset management
3,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30136,36333,Reporting and Controls,1.0,Finance
4,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Retired Offr 2,30136,36333,Soft Facilities Management,1.0,Property and asset management
5,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Fast Stream Grade Band C1,35648,44268,Business Management,1.0,Operational Delivery
6,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Fast Stream Grade Band C1,35648,44268,Decision Support,1.0,Finance
7,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Skill Zone 4,22150,24930,Estate Advice ,2.0,Property and asset management
8,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Skill Zone 4,22150,24930,Project Management,1.0,Programme and Project Management (PPM)
9,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,Skill Zone 4,22150,24930,Technical [Trades] ,85.39,Science and Engineering
10,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Administrative Support,2.0,Operational Delivery
11,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Audit and Assurance,1.0,Internal Audit
12,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Business Management,2.0,Operational Delivery
13,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Commercial Operations,6.0,Procurement
14,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Decision Support,2.0,Finance
15,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,EnvironmentalManagementAssessm,1.0,Operational Delivery
16,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Estate Planning ,0.77,Property and asset management
17,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Estate Surveying ,1.0,Property and asset management
18,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Estates Management ,8.0,Property and asset management
19,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Heritage ,1.0,Operational Delivery
20,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Knowledge Info Management,2.0,Knowledge and Information Management (KIM)
21,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Legal ,1.8,Law
22,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Programme Management,5.0,Programme and Project Management (PPM)
23,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Project Management,10.0,Programme and Project Management (PPM)
24,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Reporting and Controls,1.0,Finance
25,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,"Safety,Health,Enviroment&Fire",1.0,Operational Delivery
26,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Secretariat & Private Office,1.0,Operational Delivery
27,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,26677,B1,56436,72185,Soft Facilities Management,2.0,Property and asset management
