,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B1,56436,72185,Training and Education ,2.0,Programme and Project Management (PPM)
1,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B1,56436,72185,Business Manager,1.0,Internal Audit
2,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B1,56436,72185,Business Manager,1.0,Other
3,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B1,56436,72185,Not In Post,1.0,Internal Audit
4,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Training and Education ,5.0,Programme and Project Management (PPM)
5,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Business Management and Improvement ,3.0,Internal Audit
6,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Business Manager,1.0,Internal Audit
7,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Not In Post,1.0,Programme and Project Management (PPM)
8,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Business Manager,1.0,Internal Audit
9,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Not In Post,1.0,Other
10,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Business Management and Improvement ,1.0,Other
11,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Trainer,1.0,Other
12,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,B2,47942,59535,Business Manager,1.0,Other
13,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,Burnham Lecturer 2 (C2 Equiv) - 2606/2606001,30136,43188,Trainer,2.0,Other
14,Ministry of Defence,Ministry of Defence,Joint Forces Command,1671070,C1,35648,44268,Business Manager,1.0,Finance
