,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,Account Manager,3.0,Operational Delivery
1,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Senior Account Manger,1.0,Operational Delivery
2,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,1,Grade 6,0,0,Commercial Director,1.0,Operational Delivery
3,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Assistant Accountant,1.0,Operational Delivery
4,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,AA/AO,0,0,AV Administrator,1.0,Operational Delivery
5,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,AVPM,5.0,Operational Delivery
6,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,AV Sales Manager,1.0,Operational Delivery
7,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,AV Technician,3.0,Operational Delivery
8,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Senior AV Technician,1.0,Operational Delivery
9,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,Business Centre Manager,1.0,Operational Delivery
10,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Revenue & Commercial Manager,1.0,Operational Delivery
11,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,AA/AO,0,0,Credit Control Clerk,1.0,Operational Delivery
12,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Event Manager,6.0,Operational Delivery
13,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,1,SEO,0,0,Event Operations Manager,1.0,Operational Delivery
14,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,1,Grade 6,0,0,Finance Director,1.0,Operational Delivery
15,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,1,Grade 7,0,0,HR Director,1.0,Operational Delivery
16,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,HR Executive,1.0,Operational Delivery
17,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,ICT Support Engineer,1.0,Operational Delivery
18,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,Senior ICT Engineer,1.0,Operational Delivery
19,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Head of Dept AV Tech,3.0,Operational Delivery
20,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Marketing Manager,1.0,Operational Delivery
21,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,EO,0,0,Operations Executive,1.0,Operational Delivery
22,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,1,EO,0,0,PA to Chief Executive,1.0,Operational Delivery
23,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,1,SEO,0,0,Production Manager,1.0,Operational Delivery
24,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,AA/AO,0,0,Purchase Ledger ,1.0,Operational Delivery
25,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,AA/AO,0,0,Sales & Marketing Administrator,1.0,Operational Delivery
26,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,HEO,0,0,Security Inspector,1.0,Operational Delivery
27,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,SEO,0,0,ICT Operations Manager,1.0,Operational Delivery
28,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,AA/AO,0,0,Junior ICT Engineer,1.0,Operational Delivery
29,Department for Communities and Local Government,The Queen Elizabeth II Conference Centre,The Queen Elizabeth II Conference Centre,-1,AA/AO,0,0,Account Executive,1.0,Operational Delivery
