,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Crown Advocate (Lon),50660,63814,Duty Prosecutor,3.86,Operational Delivery
1,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Crown Advocate (Nat),47605,59285,Duty Prosecutor,5.0,Operational Delivery
2,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Crown Advocate CPSD (Lon),50660,63752,Duty Prosecutor,3.0,Operational Delivery
3,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Crown Advocate CPSD (Nat),47605,59285,Duty Prosecutor,8.89,Operational Delivery
4,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level A2 (Nat),15949,19684,Administrative Officer,8.0,Operational Delivery
5,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B1 (Nat),20277,25888,Communications Officer,1.0,Operational Delivery
6,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B1 (Nat),20277,25888,Finance Manager,2.0,Operational Delivery
7,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B1 (Nat),20277,25888,Performance Manager,1.0,Operational Delivery
8,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B1 (Nat),20277,25888,Senior Personal Assistant,1.0,Operational Delivery
9,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B1 (Nat),20277,25888,Workforce Officer,1.0,Operational Delivery
10,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B2 (Nat),25972,30616,HR Advisor,1.0,Operational Delivery
11,Crown Prosecution Service,Crown Prosecution Service,CPS DIRECT,CPS-G-018,Level B3 (Nat),32228,39876,Area Operations Manager,1.0,Operational Delivery
