,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band E,17200,21800,Administrative Services Officer,2.0,Operational Delivery
1,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FKIT,Band B,30800,49300,Assistant Economist,3.0,Economics
2,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FRFI,Band B,30800,49300,Assistant Economist,2.0,Economics
3,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GGRE,Band B,30800,49300,Assistant Economist,1.0,Economics
4,Department for Business Innovation and Skills,Competition Commission,Professional Groups,JKCO,Band B,30800,49300,Assistant Economist,3.0,Economics
5,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,Assistant to Secretariat,1.0,Operational Delivery
6,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,Business Analyst and Application Developer,1.0,Information Technology
7,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,Copy Editor / Graphic Designer,1.67,Communications
8,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Shadow Band A,56300,77300,Deputy Director of Corporate Services,1.0,Operational Delivery
9,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,Deputy Head of HR,1.0,Human Resources
10,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FDRO,Shadow Band A,56300,77300,Director of Financial and Business Analysis,0.9,Programme and Project Management (PPM)
11,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FKIT,Band A,42000,63800,Economic Adviser,1.0,Economics
12,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FRFI,Band A,42000,63800,Economic Adviser,1.0,Economics
13,Department for Business Innovation and Skills,Competition Commission,Professional Groups,JKCO,Band A,42000,63800,Economic Adviser,0.81,Economics
14,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FKIT,Shadow Band A,56300,77300,Economic Adviser,2.81,Economics
15,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FRFI,Shadow Band A,56300,77300,Economic Adviser,3.72,Economics
16,Department for Business Innovation and Skills,Competition Commission,Professional Groups,JKCO,Shadow Band A,56300,77300,Economic Adviser,3.81,Economics
17,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FKIT,Band A,42000,63800,Economic Adviser Band A,1.0,Economics
18,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FRFI,Band A,42000,63800,Economic Adviser Band A,2.0,Economics
19,Department for Business Innovation and Skills,Competition Commission,Professional Groups,JKCO,Band A,42000,63800,Economic Adviser Band A,2.0,Economics
20,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FKIT,Band E,17200,21800,Economics Researcher,2.0,Economics
21,Department for Business Innovation and Skills,Competition Commission,Professional Groups,JKCO,Band E,17200,21800,Economics Researcher,1.0,Economics
22,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band E,17200,21800,Facilities Assistant,2.0,Operational Delivery
23,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,Facilities Coordinator,1.0,Operational Delivery
24,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,Finance Officer,2.0,Finance
25,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,Finance Procurement Officer,1.0,Finance
26,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GALA,Shadow Band A,56300,77300,Financial and Business Adviser,5.0,Programme and Project Management (PPM)
27,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GGRE,Shadow Band A,56300,77300,Financial and Business Adviser,4.0,Programme and Project Management (PPM)
28,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GLBE,Shadow Band A,56300,77300,Financial and Business Adviser,1.6,Programme and Project Management (PPM)
29,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band A,42000,63800,Head of Finance and Facilities,1.0,Finance
30,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band A,42000,63800,Head of HR,1.0,Human Resources
31,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band A,42000,63800,Head of Planning,1.0,Planning
32,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FDGO,Shadow Band A,56300,77300,Head of Statistics,1.0,Statisticians
33,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,HR Adviser and Payroll Manager,1.0,Human Resources
34,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,HR Manager,1.0,Human Resources
35,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,HR Officer,1.0,Human Resources
36,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,ICT Network and Security Administrator,1.0,Information Technology
37,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,ICT Senior Network and Security Infrastructure Administrator,1.0,Information Technology
38,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,ICT Network and Security Manager,1.0,Information Technology
39,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,Senior ICT Server Infrastructure Administrator,2.0,Information Technology
40,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,ICT Server Infrastructure Manager,1.0,Information Technology
41,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,ICT Service Delivery Manager,1.0,Information Technology
42,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,ICT Service Desk Analyst (1st & 2nd line),3.0,Information Technology
43,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,ICT Service Desk Team Leader,1.0,Information Technology
44,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,ICT Technical Project Support,1.0,Information Technology
45,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,Information and Records Officer,2.0,Operational Delivery
46,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band B,30800,49300,Information Centre Manager,1.0,Operational Delivery
47,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FCWA,Band D,20200,29100,Inquiry Administrator,1.0,Programme and Project Management (PPM)
48,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,GALA,Band D,20200,29100,Inquiry Administrator,1.0,Programme and Project Management (PPM)
49,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FCWA,Band C,26400,34700,Inquiry Co-ordinator,3.0,Programme and Project Management (PPM)
50,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FMBE,Band C,26400,34700,Inquiry Co-ordinator,2.0,Programme and Project Management (PPM)
51,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FMRA,Band C,26400,34700,Inquiry Co-ordinator,1.0,Programme and Project Management (PPM)
52,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FTJA,Band C,26400,34700,Inquiry Co-ordinator,1.0,Programme and Project Management (PPM)
53,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FMRA,Band A,42000,63800,Inquiry Director,1.0,Programme and Project Management (PPM)
54,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FCWA,Band A,42000,63800,Inquiry Manager,2.0,Programme and Project Management (PPM)
55,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FMBE,Band A,42000,63800,Inquiry Manager,1.0,Programme and Project Management (PPM)
56,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FMRA,Band A,42000,63800,Inquiry Manager,2.0,Programme and Project Management (PPM)
57,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,FTJA,Band A,42000,63800,Inquiry Manager,3.83,Programme and Project Management (PPM)
58,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,GDCO,Band A,42000,63800,Inquiry Manager,3.6,Programme and Project Management (PPM)
59,Department for Business Innovation and Skills,Competition Commission,Inquiry Teams,GPBA,Band A,42000,63800,Inquiry Manager,1.0,Programme and Project Management (PPM)
60,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,ICT Service Desk Analyst & Procurement Officer,1.0,Information Technology
61,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FCBE,Shadow Band A,56300,77300,Legal Adviser,3.22,Law
62,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GMHA,Shadow Band A,56300,77300,Legal Adviser,1.0,Law
63,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GSJO,Shadow Band A,56300,77300,Legal Adviser,3.83,Law
64,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FCBE,Band A,42000,63800,Legal Assistant,1.0,Law
65,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GMHA,Band A,42000,63800,Legal Assistant,2.94,Law
66,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GMHA,Band E,17200,21800,Legal Researcher,2.0,Law
67,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FJKI,Band C,26400,34700,Media Officer,1.0,Communications
68,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FJKI,Band A,42000,63800,Media Relations Manager,1.0,Communications
69,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FDGO,Band D,20200,29100,PA in the Secretariat and Economist Group,1.0,Operational Delivery
70,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FRGR,Band D,20200,29100,PA to Chief Legal Adviser & Legal Team,1.0,Operational Delivery
71,Department for Business Innovation and Skills,Competition Commission,Professional Groups,GMHA,Band C,26400,34700,Paralegal,1.0,Law
72,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band D,20200,29100,Planning Assistant,1.0,Planning
73,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FJKI,Band A,42000,63800,Policy Adviser,1.0,Policy
74,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FJKI,Band A,42000,63800,Policy Adviser,0.89,Policy
75,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,PS to Chief Executive,1.0,Operational Delivery
76,Department for Business Innovation and Skills,Competition Commission,Corporate Services & Secretariat,FRLA,Band C,26400,34700,Publishing Manager,1.0,Communications
77,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FDRO,Band C,26400,34700,Remedies Coordinator,0.61,Programme and Project Management (PPM)
78,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FDRO,Shadow Band A,56300,77300,Senior Business Adviser,1.0,Programme and Project Management (PPM)
79,Department for Business Innovation and Skills,Competition Commission,Professional Groups,FDGO,Band A,42000,63800,Statistician,0.67,Statisticians
