,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 10k-25k,10000,25000,Finance Support Assistant,11.0,Finance
1,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 10k-25k,10000,25000,Finance Support Officer,8.53,Finance
2,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 25k-40k,25000,40000,Accountant,2.0,Finance
3,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 25k-40k,25000,40000,Finance Manager,2.0,Finance
4,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 25k-40k,25000,40000,Finance Officer,2.0,Finance
5,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 25k-40k,25000,40000,Finance Support Officer,1.0,Finance
6,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 40k-55k,40000,55000,Finance Manager,3.0,Finance
7,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 40k-55k,40000,55000,Senior Accountant,1.0,Finance
8,"Department for Culture, Media and Sport",Science Museum Group,Finance,1,Salary Band 55k-70k,55000,70000,Senior Accountant,2.0,Finance
9,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,2,Salary Band 10k-25k,10000,25000,Assistant Curator,2.6,Science and Engineering
10,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,2,Salary Band 10k-25k,10000,25000,Curatorial/Conservation Assistant,4.07,Science and Engineering
11,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,2,Salary Band 10k-25k,10000,25000,Curatorial/Conservation Manager,1.0,Science and Engineering
12,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,2,Salary Band 10k-25k,10000,25000,Curatorial/Conservation Officer,0.46,Science and Engineering
13,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,2,Salary Band 10k-25k,10000,25000,Engineer,4.0,Science and Engineering
14,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,2,Salary Band 10k-25k,10000,25000,"Exhibitions, Design and Programmes Officer",5.5,Operational Delivery
