,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,1,AO,15631,17767,Administrative Officer,1.0,Operational Delivery
1,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,1,Grade 6,48867,67360,Grade 6,1.0,Operational Delivery
2,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,1,Grade 7,43333,60342,Grade 7,2.0,Operational Delivery
3,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,1,Grade 7,43333,60342,Grade 7,1.0,Statisticians
4,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,1,HEO,25460,34680,Higher Executive Officer,2.0,Operational Delivery
5,UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,1,SEO,30995,41613,Senior Executive Officer,1.0,Operational Delivery
6,UK Statistics Authority,UK Statistics Authority,Corporate Centre,2,EO,20239,29147,Executive Officer,4.0,Operational Delivery
7,UK Statistics Authority,UK Statistics Authority,Corporate Centre,2,Grade 7,43333,60342,Grade 7,3.0,Operational Delivery
8,UK Statistics Authority,UK Statistics Authority,Corporate Centre,2,HEO,25460,34680,Higher Executive Officer,1.0,Finance
9,UK Statistics Authority,UK Statistics Authority,Corporate Centre,2,HEO,25460,34680,Higher Executive Officer,1.0,Operational Delivery
10,UK Statistics Authority,UK Statistics Authority,Corporate Centre,2,HEO Specialist,25460,35333,Research Officer,1.0,Operational Delivery
11,UK Statistics Authority,UK Statistics Authority,Corporate Centre,2,SEO,30995,41613,Senior Executive Officer,1.0,Operational Delivery
12,UK Statistics Authority,UK Statistics Authority,Population and Demography Directorate,5,AO,15631,17767,Administrative Officer,0.65,Operational Delivery
13,UK Statistics Authority,UK Statistics Authority,Population and Demography Directorate,5,EO,20239,29147,Executive Officer,3.0,Operational Delivery
14,UK Statistics Authority,UK Statistics Authority,Population and Demography Directorate,5,Grade 7,43333,60342,Grade 7,1.0,Operational Delivery
15,UK Statistics Authority,UK Statistics Authority,Population and Demography Directorate,5,HEO,25460,34680,Higher Executive Officer,1.0,Operational Delivery
16,UK Statistics Authority,UK Statistics Authority,Population and Demography Directorate,5,SEO,30995,41613,Senior Executive Officer,2.0,Operational Delivery
17,UK Statistics Authority,UK Statistics Authority,Analysis and Dissemination Directorate,6,EO,20239,29147,Executive Officer,1.81,Operational Delivery
18,UK Statistics Authority,UK Statistics Authority,Analysis and Dissemination Directorate,6,Grade 6,48867,67360,Grade 6,1.0,Operational Delivery
19,UK Statistics Authority,UK Statistics Authority,Analysis and Dissemination Directorate,6,Grade 7,43333,60342,Grade 7,1.0,Operational Delivery
20,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,AO,15631,17767,Administrative Officer,4.57,Operational Delivery
21,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,EO,20239,29147,Executive Officer,1.0,Communications
22,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,EO,20239,29147,Executive Officer,2.49,Operational Delivery
23,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,Grade 6,48867,67360,Grade 6,1.0,Operational Delivery
24,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,Grade 7,43333,60342,Grade 7,2.0,Communications
25,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,HEO,25460,34680,Higher Executive Officer,3.81,Communications
26,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,HEO,25460,34680,Higher Executive Officer,4.0,Operational Delivery
27,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,SEO,30995,41613,Senior Executive Officer,4.0,Communications
28,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,12,SEO,30995,41613,Senior Executive Officer,1.0,Operational Delivery
29,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,AO,15631,17767,Administrative Officer,2.95,Operational Delivery
30,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,HEO Specialist,25460,35333,Assistant Statistician,2.0,Operational Delivery
31,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,EO,20239,29147,Executive Officer,4.0,Operational Delivery
32,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 6,48867,67360,Grade 6,0.59,Operational Delivery
33,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 6,48867,67360,Grade 6,1.0,Social Research
34,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 7,43333,60342,Grade 7,1.0,Human Resources
35,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 7,43333,60342,Grade 7,2.81,Operational Delivery
36,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 7,43333,60342,Grade 7,1.0,Policy
37,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 7,43333,60342,Grade 7,1.0,Social Research
38,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,Grade 7,43333,60342,Grade 7,4.0,Statisticians
39,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,HEO,25460,34680,Higher Executive Officer,1.0,Human Resources
40,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,HEO,25460,34680,Higher Executive Officer,3.21,Operational Delivery
41,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,SEO Specialist,32754,42445,Methodologist,1.0,Statisticians
42,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,SEO,30995,41613,Senior Executive Officer,1.0,Human Resources
43,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,14,SEO,30995,41613,Senior Executive Officer,3.0,Operational Delivery
44,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,AO,15631,17767,Administrative Officer,4.0,Operational Delivery
45,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,Fast Stream,28960,35333,Economic Assistant,5.0,Economics
46,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,Fast Stream,28960,35333,Economic Assistant,4.0,Operational Delivery
47,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,Grade 7,43333,60342,Grade 7,4.69,Economics
48,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,HEO,25460,34680,Higher Executive Officer,1.0,Economics
49,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,HEO,25460,34680,Higher Executive Officer,1.0,Operational Delivery
50,UK Statistics Authority,UK Statistics Authority,OCEA Division,15,HEO Specialist,25460,35333,Research Officer,1.0,Operational Delivery
