,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Wales Office,Wales Office,Director's Office,161,Band D,18688,30800,Executive Assistant,1.0,Policy
1,Wales Office,Wales Office,Constitution & Corporate Services,162,Band A,42034,78164,Legal Adviser,1.8,Policy
2,Wales Office,Wales Office,Constitution & Corporate Services,162,Band A,42034,78164,Policy Team Leader,1.0,Policy
3,Wales Office,Wales Office,Constitution & Corporate Services,162,Band B,29634,51709,Senior Policy Adviser,1.0,Policy
4,Wales Office,Wales Office,Constitution & Corporate Services,162,Band D,18688,30800,Policy Officer,1.0,Policy
5,Wales Office,Wales Office,Constitution & Corporate Services,162,Band A,42034,78164,Chief Accountant,1.0,Finance
6,Wales Office,Wales Office,Constitution & Corporate Services,162,Band A,42034,78164,Head of Finance,1.0,Finance
7,Wales Office,Wales Office,Constitution & Corporate Services,162,Band C,21096,39667,Trainee Accountant,1.0,Finance
8,Wales Office,Wales Office,Constitution & Corporate Services,162,Band E/F,14144,22250,Apprentice,1.0,Finance
9,Wales Office,Wales Office,Constitution & Corporate Services,162,Band A,42034,78164,Head of Human Resources,1.0,Human Resources
10,Wales Office,Wales Office,Constitution & Corporate Services,162,Band D,18688,30800,HR Officer,1.0,Human Resources
11,Wales Office,Wales Office,Constitution & Corporate Services,162,Band C,21096,39667,Corporate Services Manager,1.0,Operational Delivery
12,Wales Office,Wales Office,Constitution & Corporate Services,162,Band E/F,14144,22250,Corporate Services Officer,1.0,Operational Delivery
13,Wales Office,Wales Office,Constitution & Corporate Services,162,Band E/F,14144,22250,Messenger,0.6,Operational Delivery
14,Wales Office,Wales Office,Constitution & Corporate Services,162,Band E/F,14144,22250,Apprentice,1.0,Operational Delivery
15,Wales Office,Wales Office,Private Office,163,Band A,42034,78164,Head of Communications,1.0,Communications
16,Wales Office,Wales Office,Private Office,163,Band B,29634,51709,Senior Information Officer,1.0,Communications
17,Wales Office,Wales Office,Private Office,163,Band D,18688,30800,Assistant Information Officer,1.0,Communications
18,Wales Office,Wales Office,Private Office,163,Band A,42034,78164,Private Secretary,1.0,Policy
19,Wales Office,Wales Office,Private Office,163,Band B,29634,51709,Private Secretary,1.0,Policy
20,Wales Office,Wales Office,Private Office,163,Band D,18688,30800,Diary Manager,1.0,Policy
21,Wales Office,Wales Office,Private Office,163,Band C,21096,39667,Correspondence Manager,1.0,Policy
22,Wales Office,Wales Office,Private Office,163,Band E/F,14144,22250,Diary Assistant,2.0,Policy
23,Wales Office,Wales Office,Private Office,163,Band E/F,14144,22250,Correspondence Clerk,2.0,Policy
24,Wales Office,Wales Office,Private Office,163,Band E/F,14144,22250,Not In Post,1.0,Policy
25,Wales Office,Wales Office,Policy,164,Band A,42034,78164,Economist,1.0,Economics
26,Wales Office,Wales Office,Policy,164,Band A,42034,78164,Policy Team Leader,1.0,Policy
27,Wales Office,Wales Office,Policy,164,Band B,29634,51709,Senior Policy Adviser,2.0,Policy
28,Wales Office,Wales Office,Policy,164,Band B,29634,51709,Not In Post,1.0,Policy
29,Wales Office,Wales Office,Policy,164,Band C,21096,39667,Policy Adviser,5.0,Policy
30,Wales Office,Wales Office,Policy,164,Band C,21096,39667,Not In Post,1.0,Economics
31,Wales Office,Wales Office,Policy,164,Band C,21096,39667,Not In Post,1.0,Policy
32,Wales Office,Wales Office,Policy,164,Band D,18688,30800,Policy Officer,1.0,Policy
33,Wales Office,Wales Office,Policy,164,Band E/F,14144,22250,Policy Support Officer,1.0,Policy
