,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Business Support Manager,38380,57346,Senior Finance  Manager,1.0,Finance
1,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Professional,29500,50005,Finance Officer,1.0,Finance
2,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Professional,29500,50005,Finance Officer,1.0,Finance
3,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Business Adviser,21300,37991,Finance Officer,2.0,Finance
4,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Business Adviser,21300,37991,Finance Officer,2.0,Finance
5,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Business Adviser,21300,37991,Finance Officer,0.8,Finance
6,Department for Business Innovation and Skills,Student Loans Company,Accounting Systems & Operations,SLC7,Business Support 2,15142,18941,Finance Support Officer,4.5,Finance
7,Department for Business Innovation and Skills,Student Loans Company,Assessment Services,SLC6,Customer Manager,38380,57346,Operational Manager,1.0,Operational Delivery
8,Department for Business Innovation and Skills,Student Loans Company,Assessment Services,SLC6,People Manager 2,29500,50005,Operational Manager,5.0,Operational Delivery
9,Department for Business Innovation and Skills,Student Loans Company,Assessment Services,SLC6,People Manager 1,21300,37991,Review Team Leader,26.0,Operational Delivery
10,Department for Business Innovation and Skills,Student Loans Company,Assessment Services,SLC6,Customer Support 2,15142,18941,Operations Support Officer,295.4,Operational Delivery
11,Department for Business Innovation and Skills,Student Loans Company,Assessment Services,SLC6,Customer Support 2,15142,18941,Operations Support Officer,7.6,Operational Delivery
12,Department for Business Innovation and Skills,Student Loans Company,Assessment Services,SLC6,Customer Support 1,13678,18028,Operations Support Officer,11.0,Operational Delivery
13,Department for Business Innovation and Skills,Student Loans Company,Business Analysis,SLC6,Business Support Manager,38380,57346,Senior Project Manager,1.0,Programme and Project Management (PPM)
14,Department for Business Innovation and Skills,Student Loans Company,Business Analysis,SLC6,Professional,29500,50005,Project Manager,6.0,Programme and Project Management (PPM)
15,Department for Business Innovation and Skills,Student Loans Company,Business Analysis,SLC6,Professional,29500,50005,Finance Officer,3.0,Finance
16,Department for Business Innovation and Skills,Student Loans Company,Business Analysis,SLC6,Professional,29500,50005,Project Manager,1.0,Programme and Project Management (PPM)
17,Department for Business Innovation and Skills,Student Loans Company,Business Analysis,SLC6,Business Adviser,21300,37991,Technical Adviser,4.0,Programme and Project Management (PPM)
18,Department for Business Innovation and Skills,Student Loans Company,Business Development,SLC2,Senior Manager,47203,67709,Senior Operational Manager,1.0,Operational Delivery
19,Department for Business Innovation and Skills,Student Loans Company,Business Development,SLC2,Business Support Manager,38380,57346,Business Manager,1.0,Operational Delivery
