,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Delivery,5,Grade 06,54621,69964,Director of Delivery,5.51,Operational Delivery
1,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Delivery,5,Grade 07,41868,57773,Assistant Director of Delivery,15.68,Operational Delivery
2,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Delivery,5,Grade 08,32484,44033,Individual Conciliator/Senior Advisor,83.2,Operational Delivery
3,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Delivery,5,Grade 09,25176,35810,Conciliator/Trainer/Helpline Manager,305.41,Operational Delivery
4,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Delivery,5,Grade 10,19985,28326,Helpline Advisor,206.44,Operational Delivery
5,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Delivery,5,Grade 11,17040,23313,Administrator,47.4,Operational Delivery
6,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Strategy,9,Grade 06,54621,69964,Head of Strategy,0.01,Knowledge and Information Management (KIM)
7,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Strategy,9,Grade 07,41868,57773,Head of Communications/Information,7.33,Knowledge and Information Management (KIM)
8,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Strategy,9,Grade 08,32484,44033,Senior Policy Adviser,12.54,Knowledge and Information Management (KIM)
9,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Strategy,9,Grade 09,25176,35810,Policy Adviser,9.0,Knowledge and Information Management (KIM)
10,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Strategy,9,Grade 10,19985,28326,Policy Support Officer,6.0,Knowledge and Information Management (KIM)
11,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Strategy,9,Grade 11,17040,23313,Administrator,0.01,Knowledge and Information Management (KIM)
12,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service","ICT, Finance, HR & Estates",1,Grade 06,54621,69964,Director HR/Finance/ICT,3.0,Operational Delivery
13,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service","ICT, Finance, HR & Estates",1,Grade 07,41868,57773,Assistant Director HR/Finance/ICT,5.0,Operational Delivery
14,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service","ICT, Finance, HR & Estates",1,Grade 08,32484,44033,Senior HR/Finance/ICT/Estates Manager,12.95,Operational Delivery
15,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service","ICT, Finance, HR & Estates",1,Grade 09,25176,35810,HR/Finance/ICT/Estates Manager,13.2,Operational Delivery
16,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service","ICT, Finance, HR & Estates",1,Grade 10,19985,28326,HR/Finance/ICT/Estates Advisor,21.11,Operational Delivery
17,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service","ICT, Finance, HR & Estates",1,Grade 11,17040,23313,Administrator,8.3,Operational Delivery
18,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,20,Grade 06,54621,69964,Not In Post,0.01,Operational Delivery
19,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,20,Grade 07,41868,57773,Not In Post,0.01,Operational Delivery
20,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,20,Grade 08,32484,44033,Operational Manager,1.0,Operational Delivery
21,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,20,Grade 09,25176,35810,Case Manager,3.8,Operational Delivery
22,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,20,Grade 10,19985,28326,Assistant Case Manager,1.0,Operational Delivery
23,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,20,Grade 11,17040,23313,Administrator,1.0,Operational Delivery
24,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Central Arbitration Committee,1028,Grade 07,41868,57773,Assistant Certification Officer,1.0,Operational Delivery
25,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Certification Office,1028,Grade 08,32484,44033,Operational Manager,2.0,Operational Delivery
26,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Certification Office,1028,Grade 09,25176,35810,Not In Post,0.01,Operational Delivery
27,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Certification Office,1028,Grade 10,19985,28326,Liason Officer,3.0,Operational Delivery
28,Department for Business Innovation and Skills,"Advisory, Conciliation and Arbitration Service",Certification Office,1028,Grade 11,17040,23313,Administrator,1.0,Operational Delivery
