,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Cabinet Office,Cabinet Office,Civil Service HR ,33,B1/BAND B1,23793,30093,Executive Assistant,1.0,Human Resources
1,Cabinet Office,Cabinet Office,Civil Service HR ,82,A/BAND A,44743,60484,Head of Corporate Talent Management,1.0,Human Resources
2,Cabinet Office,Cabinet Office,Civil Service HR ,82,A/BAND A,44743,60484,Head of Director Talent ,1.0,Human Resources
3,Cabinet Office,Cabinet Office,Civil Service HR ,82,A/BAND A,44743,60484,Talent Adviser ,1.0,Human Resources
4,Cabinet Office,Cabinet Office,Civil Service HR ,82,B2/BAND B2,30117,38484,Talent Management Liaison,2.0,Human Resources
5,Cabinet Office,Cabinet Office,Civil Service HR ,82,C/BAND C,19790,24430,HR Support Officer,1.0,Human Resources
6,Cabinet Office,Cabinet Office,Civil Service HR ,102,A/BAND A,44743,60484,Senior Policy Adviser,2.0,Human Resources
7,Cabinet Office,Cabinet Office,Civil Service HR ,102,B1/BAND B1,23793,30093,Executive Assistant,1.0,Human Resources
8,Cabinet Office,Cabinet Office,Civil Service HR ,102,B2/BAND B2,30117,38484,Policy Adviser,3.0,Human Resources
9,Cabinet Office,Cabinet Office,Civil Service Reform,31,A/BAND A,44743,60484,Senior Policy Adviser,1.0,Economics
10,Cabinet Office,Cabinet Office,Civil Service Reform,31,A/BAND A,44743,60484,Senior Policy Adviser,1.0,Human Resources
11,Cabinet Office,Cabinet Office,Civil Service Reform,31,B2/BAND B2,30117,38484,Policy Adviser,1.0,Human Resources
12,Cabinet Office,Cabinet Office,Civil Service Reform,225,B1/BAND B1,23793,30093,Policy Adviser,1.0,Policy
13,Cabinet Office,Cabinet Office,Civil Service Reform,225,B2/BAND B2,30117,38484,Policy Adviser,1.0,Policy
14,Cabinet Office,Cabinet Office,Civil Service Reform,225,C/BAND C,19790,24430,Policy Adviser,0.5,Policy
15,Cabinet Office,Cabinet Office,Civil Service Reform,277,B2/BAND B2,30117,38484,Policy Adviser,3.0,Policy
16,Cabinet Office,Cabinet Office,Civil Service Reform,303,A/BAND A,44743,60484,Head of Sector,3.8,Policy
17,Cabinet Office,Cabinet Office,Civil Service Reform,303,B/Faststream,27270,36175,Account Manager,1.0,Policy
18,Cabinet Office,Cabinet Office,Civil Service Reform,303,B2/BAND B2,30117,38484,Account Manager,1.0,Policy
19,Cabinet Office,Cabinet Office,Civil Service Reform,303,C/BAND C,19790,24430,Diary Manager,1.0,Policy
20,Cabinet Office,Cabinet Office,Civil Service Reform,305,A/BAND A,44743,60484,Senior Policy Adviser,2.0,Human Resources
21,Cabinet Office,Cabinet Office,Civil Service Reform,305,B/Faststream,27270,36175,Policy Adviser,2.0,Human Resources
22,Cabinet Office,Cabinet Office,Civil Service Reform,305,B2/BAND B2,30117,38484,Policy Adviser,2.0,Human Resources
23,Cabinet Office,Cabinet Office,Civil Service Reform,305,B2/BAND B2,30117,38484,Policy Adviser,1.0,Policy
24,Cabinet Office,Cabinet Office,Civil Service Reform,353,A/BAND A,44743,60484,Principal Private Secretary,1.0,Other
25,Cabinet Office,Cabinet Office,Civil Service Reform,353,B2/BAND B2,30117,38484,Private Secretary,1.0,Other
