,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,2,Grade 6 (national),53236,63802,Head of Section,3.0,Human Resources
1,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,2,Grade 7 (national),43654,52333,Head of Team,6.0,Human Resources
2,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,2,SEO (national),33403,39799,Senior Executive Officer/Principal Marine Officer,15.0,Human Resources
3,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,2,HEO (national),27013,31233,Higher Executive Officer/Senior Marine Officer,14.0,Human Resources
4,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,2,EO (national),22925,26163,Executive Officer/Marine Officer,17.0,Human Resources
5,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,2,AO (national),18582,20107,Administrative Officer,6.0,Human Resources
6,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Corporate Services,3,Grade 6 (national),53236,63802,Head of Section,1.0,Communications
7,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Customers and Partnerships,3,Grade 7 (national),43654,52333,Head of Team,5.0,Communications
8,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Customers and Partnerships,3,SEO (national),33403,39799,Senior Executive Officer/Principal Marine Officer,4.0,Communications
9,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Customers and Partnerships,3,HEO (national),27013,31233,Higher Executive Officer/Senior Marine Officer,5.0,Communications
10,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Customers and Partnerships,3,EO (national),22925,26163,Executive Officer/Marine Officer,2.0,Communications
11,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Customers and Partnerships,3,AO (national),18582,20107,Administrative Officer,3.0,Communications
12,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,Grade 6 (national),53236,63802,Head of Section,2.0,Operational delivery
13,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,Grade 7 (national),43654,52333,Head of Team,11.0,Operational delivery
14,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,SEO (national),33403,39799,Senior Executive Officer/Principal Marine Officer,13.0,Operational delivery
15,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,HEO (national),27013,31233,Higher Executive Officer/Senior Marine Officer,26.0,Operational delivery
16,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,EO (national),22925,26163,Executive Officer/Marine Officer,59.0,Operational delivery
17,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,AO (national),18582,20107,Administrative Officer,35.0,Operational delivery
18,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,Grade 6 (London),58516,69680,Head of Section,1.0,Operational delivery
19,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,Grade 7 (London),48326,58007,Head of Team,1.0,Operational delivery
20,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,SEO (London),35946,42968,Senior Executive Officer/Principal Marine Officer,3.0,Operational delivery
21,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,HEO (London),30147,34930,Higher Executive Officer/Senior Marine Officer,4.0,Operational delivery
22,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,EO (London),25617,29354,Executive Officer/Marine Officer,4.0,Operational delivery
23,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,4,AO (London),21235,23045,Administrative Officer,1.0,Operational delivery
24,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Operations,5,Grade 6 (national),53236,63802,Head of Section,3.0,Operational delivery
25,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Marine Development,5,Grade 7 (national),43654,52333,Head of Team,9.0,Programme and Project Management (PPM)
26,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Marine Development,5,SEO (national),33403,39799,Senior Executive Officer/Principal Marine Officer,14.0,Programme and Project Management (PPM)
27,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Marine Development,5,HEO (national),27013,31233,Higher Executive Officer/Senior Marine Officer,23.0,Programme and Project Management (PPM)
28,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Marine Development,5,EO (national),22925,26163,Executive Officer/Marine Officer,29.0,Programme and Project Management (PPM)
29,"Department for Environment, Food and Rural Affairs",Marine Management Organisation,Marine Development,5,AO (national),18582,20107,Administrative Officer,5.0,Programme and Project Management (PPM)
