,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,AIO (London),0,0,Divisional Support Officer,1.0,Operational Delivery
1,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,AO (London),19538,21677,Administrative Officer,1.0,Operational Delivery
2,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,EO (London),24093,27809,Business Management Officer,2.0,Operational Delivery
3,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,EO (London),24093,27809,Effective Practice Adviser,1.0,Operational Delivery
4,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,G7 (London),49526,60573,Head of Youth Justice Strategy,1.0,Operational Delivery
5,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,G7 (London),49526,60573,Head of Safeguarding and Child Protection,1.0,Operational Delivery
6,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,G7 (London),49526,60573,Head of Research,0.86,Operational Delivery
7,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,G7 (London),49526,60573,Project Manager - Assessment and Planning Interventions: Review and Redesign Project,1.0,Programme and Project Management (PPM)
8,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,G7 (London),49526,60573,Development Manager,1.0,Operational Delivery
9,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,G7 (London),49526,60573,Effective Practice Manager,1.0,Operational Delivery
10,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,HEO (London),29365,34009,Development Adviser,2.0,Operational Delivery
11,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,HEO (London),29365,34009,Senior Effective Practice Adviser,1.0,Operational Delivery
12,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,RO (London),0,0,Research Officer,1.0,Operational Delivery
13,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,SEO (London),36973,42557,Business Change Adviser,1.0,Operational Delivery
14,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,SEO (London),36973,42557,Safeguarding and Child Protection Senior Adviser,1.0,Operational Delivery
15,Ministry of Justice,Youth Justice Board,Effective Practice Division,15,SEO (National),32602,37964,Project Manager - Resettlement Consortia,1.0,Programme and Project Management (PPM)
