,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band B (London Inner),20380,21970,Operational Support Officer,1.0,Operational Delivery
1,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band B (National),16420,17350,Operational Support Officer,3.74,Operational Delivery
2,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band C (London Inner),24430,28710,Operational Support Officer,5.64,Operational Delivery
3,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band C (National),21760,24730,Operational Support Officer,3.54,Operational Delivery
4,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band D (London Inner),28830,34210,Operational Support Officer,9.66,Operational Delivery
5,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band D (National),25160,30410,Operational Support Officer,8.6,Operational Delivery
6,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band E (London Inner),35090,41260,Operational Manager,5.56,Operational Delivery
7,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band E (National),31100,37240,Operational Manager,7.51,Operational Delivery
8,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band F (London Inner),48520,59250,Operational Manager,3.0,Operational Delivery
9,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band F (National),44080,54570,Operational Manager,1.92,Operational Delivery
10,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band F Qualified Accountant (London Inner),52330,62970,Operational Manager,1.0,Operational Delivery
11,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band G (London Inner),59430,72150,Senior Operational Manager,0.94,Operational Delivery
12,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP34,Band G (National),54440,66770,Senior Operational Manager,1.0,Operational Delivery
13,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band B (National),16420,17350,Operational Support Officer,1.0,Operational Delivery
14,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band C (London Inner),24430,28710,Operational Support Officer,0.61,Operational Delivery
15,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band C (National),21760,24730,Operational Support Officer,3.65,Operational Delivery
16,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band D (London Inner),28830,34210,Operational Support Officer,1.0,Operational Delivery
17,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band D (National),25160,30410,Operational Support Officer,10.0,Operational Delivery
18,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band D Information Officer (London Inner),30710,38150,Operational Support Officer,0.97,Operational Delivery
19,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band E (National),31100,37240,Operational Manager,3.91,Operational Delivery
20,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band F (London Inner),48520,59250,Operational Manager,3.94,Operational Delivery
21,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band F (London Other),47390,58130,Operational Manager,1.0,Operational Delivery
22,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band F (National),44080,54570,Operational Manager,4.0,Operational Delivery
23,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band F Qualified Accountant (National),47280,57970,Operational Manager,1.0,Operational Delivery
24,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,DWP18,Band G (London Inner),59430,72150,Senior Operational Manager,1.0,Operational Delivery
