"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 07 N","41868","53201","Area Director, Birmingham","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts2"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 08 N","32484","39597","Adviser","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts3"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 08 N","32484","39597","Adviser - Good Practise Services","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts4"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 08 N","32484","39597","Conciliation Manager","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts5"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 09 N","25176","31455","Admin Manager","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts6"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 09 N","25176","31455","Equality & Diversity Adviser","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts7"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 09 N","25176","31455","Helpline Manager","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts8"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 09 N","25176","31455","Individual Conciliator","16.8","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts9"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 09 N","25176","31455","Individual Conciliator - Pre Claims Conciliation","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts10"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 09 N","25176","31455","Trainer","1.76","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts11"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 10 N","19985","24046","Admin Team Leader","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts12"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 10 N","19985","24046","Helpline Adviser","11.98","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts13"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 10 N","19985","24046","Individual Conciliator - Fast Track","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts14"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 11 N","15930","18773","Admin Officer","7.54","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts15"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 11 N","15930","18773","Personnel Assistant","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts16"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BIRMINGHAM","2","Grade 08 N","32484","39597","Collective Conciliator","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts17"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 06 N","54621","65271","Regional Director of Operational Delivery","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts18"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 07 N","41868","53201","Area Director, Bristol","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts19"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 08 N","32484","39597","Adviser - Good Practise Services","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts20"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 08 N","32484","39597","CIWM Manager","0.41","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts21"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 08 N","32484","39597","Conciliation Manager","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts22"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 09 N","25176","31455","Admin Manager","0.86","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts23"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 09 N","25176","31455","Helpline Manager","1.39","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts24"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 09 N","25176","31455","Individual Conciliator","16.99","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts25"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 09 N","25176","31455","Marketing & Publicity Manager","1","Communications","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts26"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 09 N","25176","31455","Regional Media Specialist","0.6","Communications","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts27"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 09 N","25176","31455","Trainer","2","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts28"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 10 N","19985","24046","Admin Team Leader","1","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts29"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 10 N","19985","24046","Helpline Adviser","13.7","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts30"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BRISTOL","2","Grade 11 N","15930","18773","Admin Officer","3.81","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts31"
"Department for Business Innovation and Skills","Advisory, Conciliation and Arbitration Service","BURY ST EDMUNDS","2","Grade 08 N","32484","39597","Adviser - Good Practise Services","3","Operational delivery","/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls","juniorPosts32"
