"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","A","52150","63380","Grade 6","1.6","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","B","42950","53400","Grade 7","6.17","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","C","33750","48560","Senior Scientific Officer","19.3","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","D","26590","32430","Higher Scientific Officer","21.49","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","E","20960","27630","Scientific Officer","23.78","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","F","17640","23740","Assistant Scientific Officer","20.64","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Bacteriology","5","G","14310","18560","Laboratory Attendant","2.5","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","A","52150","63380","Grade 6","2.72","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","B","42950","53400","Grade 7","5.82","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","C","33750","48560","Senior Scientific Officer","16.8","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","D","26590","32430","Higher Scientific Officer","15.34","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","E","20960","27630","Scientific Officer","6.32","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","F","17640","23740","Assistant Scientific Officer","5.25","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Centre for Epidemiology and Risk Analysis","5","G","14310","18560","Laboratory Attendant","1.44","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Scientist","5","A","52150","63380","Grade 6","1.5","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial","4","A","52150","63380","Grade 6","1","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial","4","B","42950","53400","Grade 7","1","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial","4","C","33750","48560","Senior Executive Officer","2.44","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial","4","D","26590","32430","Higher Executive Officer","2","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts20"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial","4","E","20960","27630","Executive Officer","2","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts21"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial","4","F","17640","23740","Administrative Officer","2","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts22"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial (Quality Assurance Unit)","4","C","33750","48560","Senior Scientific Officer","1","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts23"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial (Quality Assurance Unit)","4","D","26590","32430","Higher Scientific Officer","1","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts24"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial (Quality Assurance Unit)","4","E","20960","27630","Scientific Officer","2","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts25"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial (Quality Assurance Unit)","4","F","17640","23740","Assistant Scientific Officer","5","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts26"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Commercial (Quality Assurance Unit)","4","G","14310","18560","Laboratory Attendant","2","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts27"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Communications","7","C","33750","48560","Senior Executive Officer","1","Communications","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts28"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Communications","7","D","26590","32430","Higher Executive Officer","1.83","Communications","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts29"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Communications","7","E","20960","27630","Executive Officer","5","Communications","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts30"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Communications","7","F","17640","23740","Administrative Officer","1","Communications","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts31"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Customer Accounts and Programme Support","4","B","42950","53400","Grade 7","1","Programme and Project Management (PPM)","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts32"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Customer Accounts and Programme Support","4","C","33750","48560","Senior Executive Officer","1","Programme and Project Management (PPM)","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts33"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Customer Accounts and Programme Support","4","D","26590","32430","Higher Executive Officer","3","Programme and Project Management (PPM)","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts34"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Customer Accounts and Programme Support","4","E","20960","27630","Executive Officer","9.31","Programme and Project Management (PPM)","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts35"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Customer Accounts and Programme Support","4","F","17640","23740","Administrative Officer","1.69","Programme and Project Management (PPM)","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts36"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Data Systems Group (CERA 3)","4","B","42950","53400","Grade 7","1","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts37"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Data Systems Group (CERA 3)","4","C","33750","48560","Senior Scientific Officer","3","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts38"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Data Systems Group (CERA 3)","4","D","26590","32430","Higher Scientific Officer","8","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts39"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Data Systems Group (CERA 3)","4","E","20960","27630","Scientific Officer","4.19","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts40"
"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Data Systems Group (CERA 3)","4","F","17640","23740","Administrative Officer","3.11","Science and Engineering","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts41"
