"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Programmes","5861","G6","54565","69721","Associate Director","1.7","Operational delivery","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts2"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Programmes","5861","G7","42769","54648","Senior Manager","3","Operational delivery","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts3"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Programmes","5861","S level","33781","43164","Manager","6.8","Operational delivery","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts4"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Programmes","5861","H Level","26609","34001","Manager","7.6","Operational delivery","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts5"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Programmes","5861","EO","21097","26958","Officer/Coordinator","16.1","Operational delivery","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts6"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Programmes","5861","AO","16400","20956","Admin Assistant","2.3","Knowledge and Information Management (KIM)","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts7"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Resources","7670","G6","54565","69721","Associate Director","0.6","Human resources","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts8"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Resources","7670","G7","42769","54648","Head of Department","3","Finance","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts9"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Resources","7670","S level","33781","43164","Manager","1","Knowledge and Information Management (KIM)","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts10"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Resources","7670","H Level","26609","34001","Manager","4","Finance","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts11"
"Department for Business Innovation and Skills","Arts and Humanities Research Council","Resources","7670","EO","21097","26958","Assistant","5.5","Operational delivery","/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls","juniorPosts12"
