"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Attorney General's Office","Attorney General's Office","Head of Attorney General's Office","AGO1","AO","20030","21541","Operations Support Officer","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts2"
"Attorney General's Office","Attorney General's Office","Civil Law","AGO2","G6","58600","68881","Senior Legal Adviser","5","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts3"
"Attorney General's Office","Attorney General's Office","Civil Law","AGO2","AO","20030","21541","Legal Support Officer","1","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts4"
"Attorney General's Office","Attorney General's Office","Criminal Law","AGO3","G6","58600","68881","Senior Legal Adviser","5","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts5"
"Attorney General's Office","Attorney General's Office","Criminal Law","AGO3","G7","46620","54802","Legal Adviser","2","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts6"
"Attorney General's Office","Attorney General's Office","Criminal Law","AGO3","SEO","34470","38784","Legal Support Officer","1","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts7"
"Attorney General's Office","Attorney General's Office","Criminal Law","AGO3","EO","23890","26874","Legal Support Officer","1","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts8"
"Attorney General's Office","Attorney General's Office","Criminal Law","AGO3","AO","20030","21541","Legal Support Officer","1","Law","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts9"
"Attorney General's Office","Attorney General's Office","Finance and Strategy","AGO4","G6","58600","68881","Senior Operational Manager","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts10"
"Attorney General's Office","Attorney General's Office","Finance and Strategy","AGO4","G7","46620","54802","Operational Manager","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts11"
"Attorney General's Office","Attorney General's Office","Finance and Strategy","AGO4","SEO","34470","38784","Operational Manager","3","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts12"
"Attorney General's Office","Attorney General's Office","Finance and Strategy","AGO4","HEO","28180","31714","Operational Manager","2","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts13"
"Attorney General's Office","Attorney General's Office","Finance and Strategy","AGO4","EO","23890","26874","Operational Manager","4","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts14"
"Attorney General's Office","Attorney General's Office","Finance and Strategy","AGO4","AO","20030","21541","Operations Support Officer","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts15"
"Attorney General's Office","Attorney General's Office","Business Support Team","AGO1","G7","46620","54802","Operational Manager","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts16"
"Attorney General's Office","Attorney General's Office","Business Support Team","AGO1","SEO","34470","38784","Operational Manager","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts17"
"Attorney General's Office","Attorney General's Office","Business Support Team","AGO1","EO","23890","26874","Operational Manager","1","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts18"
"Attorney General's Office","Attorney General's Office","Business Support Team","AGO1","AO","20030","21541","Operations Support Officer","1.67","Operational delivery","/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls","juniorPosts19"
