"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","93110","Functional Level 1","71072","106501","Head of Function","2.69","Policy","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts2"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","93110","Functional level 2","50735","76725","Snr Mgr/Snr Functional Specialist","7.83","Policy","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts3"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","93110","Functional level 3","33928","57925","Functional Mgr/Functional Specialist","10.86","Policy","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts4"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","93110","Functional level 4","22545","41416","Advisor/Team Leader/Directors Secretary/PA","2","Policy","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts5"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","93110","Functional Level 5","18355","30495","Support Specialist/ Secretary/ Administrator","2.45","Policy","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts6"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","21737","District Auditor","78897","106501","District Auditor","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts7"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","21737","Audit Manager","48287","75104","Audit Manager","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts8"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","21737","Principal Auditor","30495","51958","Principal Auditor","4","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts9"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","21737","Functional level 3","33928","57925","Functional Mgr/Functional Specialist","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts10"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","21737","Performance Specialist","33928","81192","Performance Specialist","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts11"
"Department for Communities and Local Government","Audit Commission","Audit Policy & Practice","21737","Trainee Auditor","23099","30495","Trainee Auditor","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts12"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Audit Manager","48287","75104","Audit Manager","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts13"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Comprehensive Area Assessment Lead","78897","106501","Comprehensive Area Assessment Lead","6","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts14"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Functional Level 1","71072","106501","Head of Function","2","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts15"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Functional level 2","50735","76725","Snr Mgr/Snr Functional Specialist","3","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts16"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Functional level 3","33928","57925","Functional Mgr/Functional Specialist","8.91","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts17"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Functional level 4","22545","41416","Advisor/Team Leader/Directors Secretary/PA","8.8","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts18"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Functional Level 5","18355","30495","Support Specialist/ Secretary/ Administrator","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts19"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Functional level 6","12947","21985","Support Assistant/Receptionist/Post Room Assistant","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts20"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Head of Housing","71072","106501","Head of Housing","1","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts21"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Performance Specialist","33928","81192","Performance Specialist","8.53","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts22"
"Department for Communities and Local Government","Audit Commission","Audit Practice","87808","Performance Manager","54411","75104","Performance Manager","3","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts23"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Audit Manager","48287","75104","Audit Manager","21","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts24"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Principal Auditor","30495","51958","Principal Auditor","1.91","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts25"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Functional Level 1","71072","106501","Head of Function","2","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts26"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Functional level 2","50735","76725","Snr Mgr/Snr Functional Specialist","4","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts27"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Functional level 3","33928","57925","Functional Mgr/Functional Specialist","7.69","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts28"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Functional level 4","22545","41416","Advisor/Team Leader/Directors Secretary/PA","3","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts29"
"Department for Communities and Local Government","Audit Commission","Audit Practice","70628","Functional Level 5","18355","30495","Support Specialist/ Secretary/ Administrator","7.28","Operational Delivery","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","juniorPosts30"
