"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","BIG Lottery Fund","Communications and Marketing","4","Grade 2","16152","25554","Assistant","5","Communications","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts2"
"Department for Culture, Media and Sport","BIG Lottery Fund","Communications and Marketing","4","Grade 3","20905","32027","Officer","19","Communications","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts3"
"Department for Culture, Media and Sport","BIG Lottery Fund","Communications and Marketing","4","Grade 4","26393","41404","Manager","6","Communications","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts4"
"Department for Culture, Media and Sport","BIG Lottery Fund","Communications and Marketing","4","Grade 5","36580","48710","Middle Manager","5","Communications","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts5"
"Department for Culture, Media and Sport","BIG Lottery Fund","Communications and Marketing","4","Grade 6","41172","61096","Head of Department","4","Communications","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts6"
"Department for Culture, Media and Sport","BIG Lottery Fund","England","2","Grade 1","12143","20488","Administrator","35","Operational Delivery","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts7"
"Department for Culture, Media and Sport","BIG Lottery Fund","England","2","Grade 2","16152","25554","Assistant","86","Operational Delivery","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts8"
"Department for Culture, Media and Sport","BIG Lottery Fund","England","2","Grade 3","20905","32027","Officer","199","Operational Delivery","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts9"
"Department for Culture, Media and Sport","BIG Lottery Fund","England","2","Grade 4","26393","41404","Manager","143","Operational Delivery","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts10"
"Department for Culture, Media and Sport","BIG Lottery Fund","England","2","Grade 5","36580","48710","Middle Manager","26","Operational Delivery","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts11"
"Department for Culture, Media and Sport","BIG Lottery Fund","England","2","Grade 6","41172","61096","Head of Department","10","Operational Delivery","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts12"
"Department for Culture, Media and Sport","BIG Lottery Fund","Finance and Corporate Services","5","Grade 1","12143","20488","Administrator","1","Finance","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts13"
"Department for Culture, Media and Sport","BIG Lottery Fund","Finance and Corporate Services","5","Grade 2","16152","25554","Assistant","32","Finance","/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls","juniorPosts14"
