"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","PC2","66000","85280","Scientist","1","Science and Engineering","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts2"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","A","13185","16947","Admin Assistant","1","Operational delivery","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts3"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","A","13185","16947","Cleaner","10.5","Operational delivery","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts4"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","A","13185","16947","Admin Assistant","2","Procurement","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts5"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","A","13185","16947","Engineer","2","Property and Asset Management","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts6"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","A","13185","16947","Scientist","2","Science and Engineering","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts7"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","HR Officer","2","Human resources","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts8"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","Admin Assistant","0.6","Operational delivery","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts9"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","Cleaner","2","Operational delivery","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts10"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","Microbiological Services Technician","2","Operational delivery","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts11"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","Admin Assistant","2","Procurement","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts12"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","Animal Technician","25","Property and Asset Management","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts13"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","B","16400","20956","Engineer","1","Property and Asset Management","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts14"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","C","21098","26958","Finance Officer","3","Finance","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts15"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","C","21098","26958","HR Officer","0.6","Human resources","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts16"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","C","21098","26958","IT Support Officer","3.6","Information Technology","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts17"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","C","21098","26958","Librarian","2","Knowledge and Information Management (KIM)","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts18"
"Department for Business Innovation and Skills","Biotechnology and Biological Sciences Research Council","Institute for Animal Health","IAH1","C","21098","26958","Admin Assistant","7.6","Operational delivery","/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls","juniorPosts19"
