"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","British Tourist Authority","Chief Executives Office","1287","Green","19013","35708","Executive","1","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts2"
"Department for Culture, Media and Sport","British Tourist Authority","Chief Executives Office","1287","Purple","29793","58598","Manager","1","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts3"
"Department for Culture, Media and Sport","British Tourist Authority","Chief Executives Office","1287","Blue","51789","109754","Secretary to the Board","1","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts4"
"Department for Culture, Media and Sport","British Tourist Authority","Business Services","1291","Orange","14455","23311","Assistant","1","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts5"
"Department for Culture, Media and Sport","British Tourist Authority","Business Services","1291","Green","19013","35708","Executive","26","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts6"
"Department for Culture, Media and Sport","British Tourist Authority","Business Services","1291","Purple","29793","58598","Manager","5","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts7"
"Department for Culture, Media and Sport","British Tourist Authority","Business Services","1291","Blue","51789","109754","Head of Department","4","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts8"
"Department for Culture, Media and Sport","British Tourist Authority","Overseas Network","2212","Green","19013","35708","Executive","17","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts9"
"Department for Culture, Media and Sport","British Tourist Authority","Overseas Network","2212","Purple","29793","58598","Manager","9","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts10"
"Department for Culture, Media and Sport","British Tourist Authority","Overseas Network","2212","Blue","51789","109754","Head of Department","3","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts11"
"Department for Culture, Media and Sport","British Tourist Authority","Britain Marketing","1403","Green","19013","35708","Executive","10.5","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts12"
"Department for Culture, Media and Sport","British Tourist Authority","Britain Marketing","1403","Purple","29793","58598","Manager","11","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts13"
"Department for Culture, Media and Sport","British Tourist Authority","Britain Marketing","1403","Blue","51789","109754","Head of Department","2","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts14"
"Department for Culture, Media and Sport","British Tourist Authority","Strategy & Communications","1348","Green","19013","35708","Executive","6","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts15"
"Department for Culture, Media and Sport","British Tourist Authority","Strategy & Communications","1348","Purple","29793","58598","Manager","2","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts16"
"Department for Culture, Media and Sport","British Tourist Authority","Strategy & Communications","1348","Blue","51789","109754","Head of Department","2","Operational delivery","/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls","juniorPosts17"
