"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Business Support","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts2"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Estates Manager","3","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts3"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","policy adviser","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts4"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","senior finance manager","1.5","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts5"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","senior finance manager","11","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts6"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","senior policy adviser","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts7"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Senior Procurement Management","2","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts8"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Senior Procurement Officer","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts9"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Business Support","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts10"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Estates Manager","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts11"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Estates Officer","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts12"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Officer","1.6","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts13"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Officer","2","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts14"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Support Officer","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts15"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Support Officer","3","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts16"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Legal Support Officer","0.72","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts17"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Operations Support Officer","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts18"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Procurement Officer","2.77","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts19"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Procurement Support Officer","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts20"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Procurement Support Officer","3","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts21"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Business Manager","4","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts22"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Business Manager","2","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts23"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Business Support","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts24"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Estates Manager","1","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts25"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Estates Officer","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts26"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Estates Officer","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts27"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Executive Assistant","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts28"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Finance Officer","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts29"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Finance Officer","10.6","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts30"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Finance Officer","1","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts31"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Operational manager","1","Programme and Project Management (PPM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts32"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","policy adviser","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts33"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","policy adviser","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts34"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Procurement Officer","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts35"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Procurement Officer","4","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts36"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Procurement Support Officer","3","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts37"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","C/BAND C","19594","23831","Business Manager","1","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts38"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","C/BAND C","19594","23831","Finance Support Officer","1.5","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts39"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","C/BAND C","19594","23831","Finance Support Officer","3.26","Finance","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts40"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","C/BAND C","19594","23831","Procurement Support Officer","1","Procurement","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts41"
"Cabinet Office","Cabinet Office","Human Resources","37","TIS3","36371","46470","Communications Manager","1.6","Communications","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts42"
"Cabinet Office","Cabinet Office","Human Resources","37","TIS2","30842","39405","Communications Manager","2","Communications","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts43"
"Cabinet Office","Cabinet Office","Human Resources","37","A/BAND A","44300","59000","Programme Manager","0.66","Programme and Project Management (PPM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts44"
"Cabinet Office","Cabinet Office","Human Resources","37","A/BAND A","44300","59000","Senior Communications Manager","0.62","Communications","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts45"
"Cabinet Office","Cabinet Office","Human Resources","37","A/BAND A","44300","59000","Senior HR Manager","5.23","Human Resources","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts46"
"Cabinet Office","Cabinet Office","Human Resources","37","B1/BAND B1","23557","29355","HR Officer","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts47"
"Cabinet Office","Cabinet Office","Human Resources","37","B2/BAND B2","29819","38103","HR Officer","1.5","Human Resources","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts48"
"Cabinet Office","Cabinet Office","Human Resources","37","C/BAND C","19594","23831","Communications Support Officer","0.72","Communications","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts49"
"Cabinet Office","Cabinet Office","Human Resources","37","C/BAND C","19594","23831","HR support officer","1","Human Resources","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts50"
"Cabinet Office","Cabinet Office","Human Resources","145","A/BAND A","44300","59000","Senior Analyst","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts51"
"Cabinet Office","Cabinet Office","Human Resources","145","A/BAND A","44300","59000","Senior HR Manager","3","Human Resources","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts52"
"Cabinet Office","Cabinet Office","Human Resources","145","B1/BAND B1","23557","29355","HR Officer","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts53"
"Cabinet Office","Cabinet Office","Human Resources","145","B1/BAND B1","23557","29355","HR Officer","4","Human Resources","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts54"
"Cabinet Office","Cabinet Office","Human Resources","145","B1/BAND B1","23557","29355","junior analyst","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts55"
"Cabinet Office","Cabinet Office","Human Resources","145","B2/BAND B2","29819","38103","Analyst","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts56"
"Cabinet Office","Cabinet Office","Human Resources","145","B2/BAND B2","29819","38103","HR Officer","4","Human Resources","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts57"
"Cabinet Office","Cabinet Office","Human Resources","145","C/BAND C","19594","23831","HR support officer","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts58"
"Cabinet Office","Cabinet Office","Corporate Services Group","126","A/BAND A","44300","59000","IT Manager","2","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts59"
"Cabinet Office","Cabinet Office","Corporate Services Group","126","A/BAND A","44300","59000","Not In Post","1","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts60"
"Cabinet Office","Cabinet Office","Corporate Services Group","126","A/BAND A","44300","59000","Programme Manager","1","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts61"
"Cabinet Office","Cabinet Office","Corporate Services Group","126","B1/BAND B1","23557","29355","IT Support Officer","1","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts62"
"Cabinet Office","Cabinet Office","Corporate Services Group","126","B2/BAND B2","29819","38103","IT Support Officer","3","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts63"
"Cabinet Office","Cabinet Office","Corporate Services Group","126","B2/BAND B2","29819","38103","Project Manager","1","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts64"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","TIS3","36371","46470","Communications Manager","0.6","Communications","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts65"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","A/BAND A","44300","59000","Senior Knowledge Information Management Manager","3","Knowledge and Information Management (KIM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts66"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","B1/BAND B1","23557","29355","Executive Assistant","0.8","Knowledge and Information Management (KIM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts67"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","B1/BAND B1","23557","29355","IT Manager","1","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts68"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","B1/BAND B1","23557","29355","Knowledge Information Management Manager","6.6","Knowledge and Information Management (KIM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts69"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","B2/BAND B2","29819","38103","IT Manager","1","Information Technology","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts70"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","B2/BAND B2","29819","38103","Knowledge Information Management Manager","6","Knowledge and Information Management (KIM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts71"
"Cabinet Office","Cabinet Office","Knowledge and Information Management","140","C/BAND C","19594","23831","Knowledge Information Management Support Officer","3.42","Knowledge and Information Management (KIM)","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts72"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","A/BAND A","44300","59000","Operations Support Officer","1","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts73"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","A/BAND A","44300","59000","Private Secretary","1","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts74"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","A/BAND A","44300","59000","Senior IT Manager","1.81","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts75"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","B1/BAND B1","23557","29355","IT Support Officer","2","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts76"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","B1/BAND B1","23557","29355","Operations Support Officer","5","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts77"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","B2/BAND B2","29819","38103","Operations Support Officer","2","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts78"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","100","C/BAND C","19594","23831","Operations Support Officer","3","Operational Delivery","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts79"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","111","A/BAND A","44300","59000","Private Secretary","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts80"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","111","B1/BAND B1","23557","29355","diary manager","4.89","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts81"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","111","B1/BAND B1","23557","29355","Operational manager","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts82"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","111","B2/BAND B2","29819","38103","Private Secretary","3","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts83"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","111","C/BAND C","19594","23831","Office Manager","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts84"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","111","C/BAND C","19594","23831","Operations Support Officer","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts85"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","A/BAND A","44300","59000","Private Secretary","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts86"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","B1/BAND B1","23557","29355","diary manager","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts87"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","B1/BAND B1","23557","29355","Office Manager","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts88"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","B1/BAND B1","23557","29355","Operational manager","6","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts89"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","B2/BAND B2","29819","38103","Office Manager","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts90"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","B2/BAND B2","29819","38103","Private Secretary","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts91"
"Cabinet Office","Cabinet Office","Office of the Parliamentary Counsel","141","C/BAND C","19594","23831","Operations Support Officer","15.48","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts92"
"Cabinet Office","Cabinet Office","Private Office Group","57","A/BAND A","44300","59000","senior operational manager","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts93"
"Cabinet Office","Cabinet Office","Private Office Group","57","A/BAND A","44300","59000","senior policy adviser","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts94"
"Cabinet Office","Cabinet Office","Private Office Group","57","A/BAND A","44300","59000","senior policy adviser","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts95"
"Cabinet Office","Cabinet Office","Private Office Group","57","B1/BAND B1","23557","29355","Operational manager","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts96"
"Cabinet Office","Cabinet Office","Private Office Group","57","B2/BAND B2","29819","38103","policy adviser","1","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts97"
"Cabinet Office","Cabinet Office","Private Office Group","57","B2/BAND B2","29819","38103","Private Secretary","2","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts98"
"Cabinet Office","Cabinet Office","Private Office Group","57","C/BAND C","19594","23831","Operations Support Officer","3","Policy","/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls","juniorPosts99"
