"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","A/BAND A","44300","59885","Press Officer","1","Operational delivery","/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls","juniorPosts2"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","38","TIS3","36371","47167","Department Co-ordinator","1","Communications","/data/cabinet-office/2011-09-30/Cabinet-Office-staff-and-Salary-data-SEPT-2011-FINAL_.xls","juniorPosts2"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B2/BAND B2","29819","38103","Business Manager","1","Operational delivery","/data/cabinet-office/2011-09-30/Independent-Office-staff-and-salary-data-FINAL-TEMPLATE.xls","juniorPosts2"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","A/BAND A","44300","59885","Senior Operational Manager","2","Operational delivery","/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls","juniorPosts3"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","38","B2/BAND B2","29819","38103","Regional Researcher","5.72","Communications","/data/cabinet-office/2011-09-30/Cabinet-Office-staff-and-Salary-data-SEPT-2011-FINAL_.xls","juniorPosts3"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","C/BAND C","19594","24188","Correspondence Manager","1","Policy","/data/cabinet-office/2011-09-30/Independent-Office-staff-and-salary-data-FINAL-TEMPLATE.xls","juniorPosts3"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","A/BAND A","44300","59885","Senior Technical Adviser","1","Operational delivery","/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls","juniorPosts4"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","38","C/BAND C","19594","24188","Department Assistant","1","Communications","/data/cabinet-office/2011-09-30/Cabinet-Office-staff-and-Salary-data-SEPT-2011-FINAL_.xls","juniorPosts4"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B1/BAND B1","23557","29795","Executive Assistant","1","Policy","/data/cabinet-office/2011-09-30/Independent-Office-staff-and-salary-data-FINAL-TEMPLATE.xls","juniorPosts4"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B2/BAND B2","29819","38103","Communications Manager","1","Communications","/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls","juniorPosts5"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","Digital Campaigns Manager","1","Communications","/data/cabinet-office/2011-09-30/Cabinet-Office-staff-and-Salary-data-SEPT-2011-FINAL_.xls","juniorPosts5"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","C/BAND C","19594","24188","Finance Support Officer","0.56","Finance","/data/cabinet-office/2011-09-30/Independent-Office-staff-and-salary-data-FINAL-TEMPLATE.xls","juniorPosts5"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B2/BAND B2","29819","38103","Office Manager","1","Operational delivery","/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls","juniorPosts6"
