"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","Care Quality Commission","Finance and Corporate Services","7183577","Tier 5 and below","13000","47000","Personal Assistant","1","Other","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts2"
"Department of Health","Care Quality Commission","Finance and Corporate Services","7183577","Tier 4","47000","75000","Business Manager","1","Planning","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts3"
"Department of Health","Care Quality Commission","Finance and Corporate Services","7183577","Tier 5 and below","13000","47000","Business Coordinator","2","Other","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts4"
"Department of Health","Care Quality Commission","Finance and Corporate Services","7183577","Tier 5 and below","13000","47000","Project Support Officer","1","Other","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts5"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 4","47000","75000","Estates and Facilities Manager","1","Property and Asset Management","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts6"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 5 and below","13000","47000","Building Manager","2","Property and Asset Management","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts7"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 5 and below","13000","47000","Occupational Health & Safety and Home Working Officer","1","Human resources","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts8"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 5 and below","13000","47000","Facilities Assistant","4","Property and Asset Management","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts9"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 5 and below","13000","47000","Receptionist","2","Property and Asset Management","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts10"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 5 and below","13000","47000","Contracts Manager","4","Procurement","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts11"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 5 and below","13000","47000","Procurement Administrator","1.68","Procurement","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts12"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 4","47000","75000","Business Systems Manager","1","Information Technology","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts13"
"Department of Health","Care Quality Commission","Finance and Corporate Services","8543537","Tier 4","47000","75000","Programme Manager","2.6","Information Technology","/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls","juniorPosts14"
