"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB2","13652","15769","Administrative Officer","7","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB3","15804","19007","Administrative Officer","25.17","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB4","19505","24049","Scientist","30.97","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB5","24036","29300","Scientist","22.33","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB6","30403","37727","Scientist","15.5","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB7","40831","50882","Senior Operational Researcher","14","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Aquatic Health & Hygiene","3","PB8","51320","61066","Senior Project Manager","3","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB2","13652","15769","Administrative Officer","1.81","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB3","15804","19007","Operations Support Officer","10.81","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB4","19505","24049","Executive Officer","11.35","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB5","24036","29300","Business Manager","5.21","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB6","30403","37727","Senior Operational Manager","12.81","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB7","40831","50882","Senior Operational Manager","4","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Corporate","2","PB8","51320","61066","Senior Operational Manager","1","Operational delivery","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Environment & Ecosystems","3","PB2","13652","15769","Operations Support Officer","1.81","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Environment & Ecosystems","3","PB3","15804","19007","Scientist","14.49","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Environment & Ecosystems","3","PB4","19505","24049","Executive Officer","25.99","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Environment & Ecosystems","3","PB5","24036","29300","Scientist","38.48","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries & Aquaculture Science","Environment & Ecosystems","3","PB6","30403","37727","Scientist","39.91","Science and Engineering","/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls","juniorPosts20"
