"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","2","E/SEO CMC..London Inner","34390","40440","Executive Assistant","2","Policy","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts2"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","2","C/EO CMC..London Inner","23940","28130","diary manager","1","Policy","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts3"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","2","B/AO CMC..London Inner","19450","21530","Executive Assistant","2","Policy","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts4"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","2","F/Grade 7.CMC Communications.London Inner","49330","60300","Office Manager","1","Policy","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts5"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","2","Team Member","0","0","diary manager","1","Policy","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts6"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","G/Grade 6 CMC..National","53360","65440","Senior Project Manager","8","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts7"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","G/Grade 6 CMC.Accountant (Qualified).National","58940","68410","Programme Manager","1","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts8"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","F/Grade 7 CMC..National","43200","53480","Senior Project Manager","7","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts9"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","F/Grade 7 CMC.Communications.National","44920","55580","Programme Officer/Manager","1","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts10"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","Manager","0","0","Programme Officer/Manager","1","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts11"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","Manager","0","0","Senior Project Manager","6.86","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts12"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","E/SEO CMC..National","30480","36500","Programme Support Officer","3.81","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts13"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","E/SEO CMC..National","30480","36500","Project Manager","1","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts14"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","E/SEO CMC..National","30480","36500","Project support officer","6","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts15"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","D/HEO CMC..National","24660","29800","Project support officer","3.43","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts16"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","C/EO CMC..National","20800","24230","Project support officer","4","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts17"
"Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","4","Team Leader","0","0","Project Manager","5","Programme and Project Management (PPM)","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","juniorPosts18"
