"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 1","13117","15336","Administrator","6.59","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts2"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 1","13117","15336","Data Input Clerk","14","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts3"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 2","16896","19250","Administrator","78.6","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts4"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 2","16896","19250","Specialist Staff","3","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts5"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 3","22629","24710","Administrator","1.94","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts6"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 3","22629","24710","Data Input Supervisor","2","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts7"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 3","22629","24710","Family Support Worker","50.8","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts8"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 3","22629","24710","Specialist Staff","4.49","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts9"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 4","27591","31836","Newly Qual Social Worker","6.41","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts10"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 4","27591","31836","Office Manager","8.86","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts11"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 4","27591","31836","Specialist Staff","2","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts12"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 5","31888","36050","Office Manager","1","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts13"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 6","36154","40316","Family Court Adviser","462.75","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts14"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","Band 7","42656","46818","Service Manager","52.4","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts15"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","SM 4","60000","67500","Head of Service","8","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts16"
"Department for Education","Children and Family Court Advisory and Support Service","Central Operations","CAFCASS-1003","SM 5","58366","63672","Business Trans Manager","1","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts17"
"Department for Education","Children and Family Court Advisory and Support Service","Chief Executive's Office","CAFCASS-1002","Band 2","16896","19250","Specialist Staff","1","Planning","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts18"
"Department for Education","Children and Family Court Advisory and Support Service","Chief Executive's Office","CAFCASS-1002","Band 3","22629","24710","Specialist Staff","2","Planning","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts19"
"Department for Education","Children and Family Court Advisory and Support Service","Chief Executive's Office","CAFCASS-1002","Band 4","27591","31836","Specialist Staff","1","Planning","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts20"
"Department for Education","Children and Family Court Advisory and Support Service","Chief Executive's Office","CAFCASS-1002","Band 5","31888","36050","Specialist Staff","1","Planning","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts21"
"Department for Education","Children and Family Court Advisory and Support Service","Chief Executive's Office","CAFCASS-1002","Band 8","52020","57222","Specialist Staff","1","Planning","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts22"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 1","13117","15336","Administrator","1","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts23"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 2","16896","19250","Administrator","2.32","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts24"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 2","16896","19250","Specialist Staff","1","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts25"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 3","22629","24710","Specialist Staff","4","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts26"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 4","27591","31836","Specialist Staff","8.03","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts27"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 5","31888","36050","Specialist Staff","4","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts28"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 6","36154","40316","Specialist Staff","5.2","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts29"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 7","42656","46818","Specialist Staff","1","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts30"
"Department for Education","Children and Family Court Advisory and Support Service","Finance","CAFCASS-1005","Band 8","52020","57222","Specialist Staff","1","Finance","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts31"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 1","13117","15336","Specialist Staff","3","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts32"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 2","16896","19250","Specialist Staff","5","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts33"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 3","22629","24710","Specialist Staff","2","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts34"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 4","27591","31836","Specialist Staff","8","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts35"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 5","31888","36050","Specialist Staff","2","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts36"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 6","36154","40316","Specialist Staff","7.4","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts37"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","Band 7","42656","46818","Specialist Staff","1","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts38"
"Department for Education","Children and Family Court Advisory and Support Service","Human Resources","CAFCASS-1006","SM 5","58366","63672","Senior HR Manager","2","Human resources","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts39"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","Band 2","16896","19250","Administrator","1","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts40"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","Band 4","27591","31836","Specialist Staff","1","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts41"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","Band 5","31888","36050","Specialist Staff","3","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts42"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","Band 6","36154","40316","Specialist Staff","2","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts43"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","Band 7","42656","46818","Specialist Staff","2","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts44"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","SM 2","74285","74285","Head of IT","1","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts45"
"Department for Education","Children and Family Court Advisory and Support Service","IT/BT","CAFCASS-1005","SM 5","58366","63672","IT Programme Manager","1","Information Technology","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts46"
"Department for Education","Children and Family Court Advisory and Support Service","Legal","CAFCASS-1009","Band 2","16896","19250","Specialist Staff","1","Law","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts47"
"Department for Education","Children and Family Court Advisory and Support Service","Legal","CAFCASS-1009","Band 3","22629","24710","Specialist Staff","2","Law","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts48"
"Department for Education","Children and Family Court Advisory and Support Service","Legal","CAFCASS-1009","Band 4","27591","31836","Specialist Staff","1","Law","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts49"
"Department for Education","Children and Family Court Advisory and Support Service","Legal","CAFCASS-1009","Band 5","31888","36050","Specialist Staff","1","Law","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts50"
"Department for Education","Children and Family Court Advisory and Support Service","Legal","CAFCASS-1009","Band 7","42656","46818","Specialist Staff","1","Law","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts51"
"Department for Education","Children and Family Court Advisory and Support Service","Legal","CAFCASS-1009","Band 8","52020","57222","Specialist Staff","3","Law","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts52"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 1","13117","15336","Administrator","1","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts53"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 1","13117","15336","Office Cleaner","1.7","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts54"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 2","16896","19250","Administrator","49.12","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts55"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 3","22629","24710","Family Support Worker","18.3","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts56"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 3","22629","24710","Specialist Staff","5","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts57"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 4","27591","31836","Newly Qual Social Worker","2","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts58"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 4","27591","31836","Office Manager","6","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts59"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 4","27591","31836","Specialist Staff","4","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts60"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 6","36154","40316","Family Court Adviser","288.62","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts61"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 7","42656","46818","Service Manager","27","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts62"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","Band 8","52020","57222","Operational Manager","1","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts63"
"Department for Education","Children and Family Court Advisory and Support Service","North Operations","CAFCASS-1010","SM 4","60000","67500","Head of Service","5","Operational delivery","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts64"
"Department for Education","Children and Family Court Advisory and Support Service","Policy","CAFCASS-1011","Band 2","16896","19250","Administrator","1","Policy","/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls","juniorPosts65"
